Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
L,"[0.5135620832443237, 0.8474465608596802, 1.5690684449509718e-06]","[0.5605794191360474, 0.7997922897338867, -0.1354432851076126]","[0.5546776056289673, 0.7082396745681763, -0.18007118999958038]","[0.4843370020389557, 0.6274107694625854, -0.1997750848531723]","[0.42099273204803467, 0.5594616532325745, -0.21590442955493927]","[0.6060248017311096, 0.5594195127487183, -0.09302777796983719]","[0.6495938897132874, 0.4493386745452881, -0.10769049823284149]","[0.6797633767127991, 0.3705926239490509, -0.12883250415325165]","[0.7051219940185547, 0.30563241243362427, -0.14951369166374207]","[0.5366377830505371, 0.541723370552063, -0.04826831445097923]","[0.554683268070221, 0.4071696996688843, -0.038731928914785385]","[0.5642943978309631, 0.3309006094932556, -0.059304915368556976]","[0.5758087038993835, 0.2562713623046875, -0.08351341634988785]","[0.4761624038219452, 0.5550382733345032, -0.018314605578780174]","[0.4505369961261749, 0.43280941247940063, -0.04169800505042076]","[0.43402060866355896, 0.3672873377799988, -0.10127945989370346]","[0.4167822599411011, 0.30945518612861633, -0.14616888761520386]","[0.4268614649772644, 0.5982773900032043, 0.0007076737238094211]","[0.4182255268096924, 0.5227901935577393, -0.03943600878119469]","[0.4317493140697479, 0.5432634353637695, -0.0779765397310257]","[0.43643516302108765, 0.5853542685508728, -0.1077125295996666]"
R,"[0.4963020980358124, 0.8337377309799194, -6.6467564785455124e-09]","[0.40901756286621094, 0.7867238521575928, -0.06257379800081253]","[0.385884165763855, 0.6775690913200378, -0.07438617944717407]","[0.4338557720184326, 0.5873388648033142, -0.07703522592782974]","[0.5015621185302734, 0.5417705774307251, -0.0782691240310669]","[0.3808739483356476, 0.5597954988479614, -0.015902547165751457]","[0.3362188935279846, 0.45726287364959717, -0.03445231914520264]","[0.3133832812309265, 0.38980573415756226, -0.05510016530752182]","[0.30014756321907043, 0.32712554931640625, -0.07360143214464188]","[0.4478090703487396, 0.5468189716339111, -0.010203483514487743]","[0.45095741748809814, 0.42393869161605835, -0.022300302982330322]","[0.4547165334224701, 0.34937766194343567, -0.04033901169896126]","[0.45814043283462524, 0.2853826582431793, -0.055316999554634094]","[0.5054462552070618, 0.5603729486465454, -0.01534983329474926]","[0.5363523364067078, 0.4466937780380249, -0.05683811753988266]","[0.5528613924980164, 0.3689118027687073, -0.09734892100095749]","[0.5690857172012329, 0.3014705777168274, -0.12375576794147491]","[0.5540344715118408, 0.5927326679229736, -0.024444494396448135]","[0.5403627157211304, 0.5057700276374817, -0.0776616781949997]","[0.5090462565422058, 0.5280662775039673, -0.09547408670186996]","[0.4828110933303833, 0.5687958002090454, -0.10374681651592255]"
R,"[0.4968748688697815, 0.8776909112930298, 9.627878228002373e-08]","[0.42364662885665894, 0.8317245841026306, -0.13055218756198883]","[0.4192030727863312, 0.7252630591392517, -0.1615314930677414]","[0.48573026061058044, 0.6384620666503906, -0.16613416373729706]","[0.5483117699623108, 0.5564268827438354, -0.16718517243862152]","[0.3811289668083191, 0.5614611506462097, -0.0933331698179245]","[0.3220252990722656, 0.43699073791503906, -0.12485259771347046]","[0.29571831226348877, 0.3557896912097931, -0.15431660413742065]","[0.2804277539253235, 0.2835015654563904, -0.1800110787153244]","[0.45627933740615845, 0.5463078618049622, -0.056887153536081314]","[0.4387343227863312, 0.39616647362709045, -0.07402480393648148]","[0.4352833330631256, 0.3056930601596832, -0.09940855950117111]","[0.43148043751716614, 0.2321971356868744, -0.12328831851482391]","[0.5234875082969666, 0.5610909461975098, -0.03612038865685463]","[0.5530434846878052, 0.4352113604545593, -0.08953041583299637]","[0.5736415982246399, 0.3516618609428406, -0.1535375565290451]","[0.5906497836112976, 0.2668690085411072, -0.20069357752799988]","[0.5837838053703308, 0.598495602607727, -0.02376033365726471]","[0.575499415397644, 0.541402280330658, -0.09978339076042175]","[0.5628488063812256, 0.5661062002182007, -0.14423134922981262]","[0.5486820340156555, 0.5891350507736206, -0.17332090437412262]"
R,"[0.4865020215511322, 0.8773245215415955, -5.640288591735043e-08]","[0.42424094676971436, 0.8246824741363525, -0.10680526494979858]","[0.432207316160202, 0.7078886032104492, -0.12338533997535706]","[0.504097044467926, 0.6067174673080444, -0.11654908955097198]","[0.5730582475662231, 0.5413984060287476, -0.10582415014505386]","[0.37346673011779785, 0.5615126490592957, -0.05641649290919304]","[0.32632696628570557, 0.4326969385147095, -0.0731431245803833]","[0.30080533027648926, 0.3552783131599426, -0.0939243957400322]","[0.2835942208766937, 0.2798982262611389, -0.11448157578706741]","[0.44671308994293213, 0.5478063225746155, -0.024776333943009377]","[0.43198487162590027, 0.40393710136413574, -0.03262786194682121]","[0.42740026116371155, 0.32504987716674805, -0.05440773442387581]","[0.42107367515563965, 0.2525714337825775, -0.0749678909778595]","[0.5146669745445251, 0.5603126287460327, -0.006050535943359137]","[0.5487553477287292, 0.440903902053833, -0.04936034977436066]","[0.5700541734695435, 0.36504384875297546, -0.10061030834913254]","[0.5863258838653564, 0.2818372845649719, -0.13743098080158234]","[0.5724321007728577, 0.5939845442771912, 0.006458756048232317]","[0.5751081705093384, 0.5203714370727539, -0.050984952598810196]","[0.5593953728675842, 0.5585051774978638, -0.0744323804974556]","[0.5402863025665283, 0.5978171229362488, -0.08835713565349579]"
L,"[0.5135633945465088, 0.7458838224411011, 1.3293350775711588e-06]","[0.5675675272941589, 0.7410896420478821, -0.08573523908853531]","[0.5939438939094543, 0.6762880086898804, -0.12113754451274872]","[0.5551053285598755, 0.6017323136329651, -0.13940729200839996]","[0.4938927888870239, 0.5435625314712524, -0.15817007422447205]","[0.6116062998771667, 0.5484773516654968, -0.09343796223402023]","[0.6546465158462524, 0.450336217880249, -0.12469570338726044]","[0.676405131816864, 0.38907429575920105, -0.1510455459356308]","[0.6962202787399292, 0.3311132788658142, -0.17133677005767822]","[0.5466169118881226, 0.5270941257476807, -0.07713969051837921]","[0.5487205386161804, 0.41135039925575256, -0.10581036657094955]","[0.5441596508026123, 0.3381370007991791, -0.13939955830574036]","[0.5398808121681213, 0.2767083942890167, -0.16300153732299805]","[0.49248939752578735, 0.5371124744415283, -0.06566446274518967]","[0.46820783615112305, 0.42937520146369934, -0.11528141051530838]","[0.4478941857814789, 0.37163978815078735, -0.15479770302772522]","[0.4309118986129761, 0.31813740730285645, -0.1782885044813156]","[0.44342702627182007, 0.5710839629173279, -0.058277033269405365]","[0.45120957493782043, 0.512734591960907, -0.11084304004907608]","[0.46600526571273804, 0.5433946251869202, -0.12449349462985992]","[0.47412919998168945, 0.5839546918869019, -0.1282908022403717]"
L,"[0.49846917390823364, 0.8158342838287354, 9.228234603142482e-07]","[0.56865394115448, 0.7713528275489807, -0.06816372275352478]","[0.5884640216827393, 0.6787505745887756, -0.0821002647280693]","[0.5313634872436523, 0.5985146760940552, -0.08387449383735657]","[0.4640275239944458, 0.5502133965492249, -0.08391069620847702]","[0.6027646660804749, 0.5551300048828125, -0.044912852346897125]","[0.6460927724838257, 0.4505937397480011, -0.050929948687553406]","[0.6667277812957764, 0.3882256746292114, -0.061251699924468994]","[0.6877907514572144, 0.3275982737541199, -0.07349994033575058]","[0.5377138257026672, 0.5374332070350647, -0.032606709748506546]","[0.5411167144775391, 0.41178572177886963, -0.03123709000647068]","[0.5408315658569336, 0.33893847465515137, -0.05052516609430313]","[0.5398823022842407, 0.2747184634208679, -0.06971071660518646]","[0.47896355390548706, 0.5504662394523621, -0.027660170570015907]","[0.4573736786842346, 0.43634694814682007, -0.055315155535936356]","[0.44483447074890137, 0.37141337990760803, -0.09792060405015945]","[0.4319217801094055, 0.3056858777999878, -0.1267039179801941]","[0.43070584535598755, 0.5920759439468384, -0.027344850823283195]","[0.4382854700088501, 0.5179851651191711, -0.05938570946455002]","[0.46098023653030396, 0.5467311143875122, -0.07729829847812653]","[0.46939048171043396, 0.5892229676246643, -0.08922556787729263]"
R,"[0.5127012133598328, 0.8832336664199829, -8.256760963831766e-08]","[0.4182146191596985, 0.8268080353736877, -0.036964330822229385]","[0.36888760328292847, 0.7283218502998352, -0.041813213378190994]","[0.4060647487640381, 0.6274935007095337, -0.04171660169959068]","[0.47878286242485046, 0.5836008191108704, -0.03865330293774605]","[0.3937067985534668, 0.564443826675415, -0.006448136642575264]","[0.3427615761756897, 0.4444294273853302, -0.027692856267094612]","[0.3151625990867615, 0.3693321943283081, -0.049103766679763794]","[0.2977626621723175, 0.30268871784210205, -0.0664859265089035]","[0.46528685092926025, 0.5526920557022095, -0.014532091096043587]","[0.4731508195400238, 0.40573298931121826, -0.0408039316534996]","[0.4808858036994934, 0.3182728886604309, -0.0579383485019207]","[0.4839387536048889, 0.24537047743797302, -0.06606543809175491]","[0.5221319794654846, 0.5760757923126221, -0.03040582686662674]","[0.55954509973526, 0.44391515851020813, -0.079963818192482]","[0.5739032030105591, 0.3558969497680664, -0.10996945947408676]","[0.5834957361221313, 0.27822360396385193, -0.12148268520832062]","[0.5631544589996338, 0.6390408277511597, -0.0472186915576458]","[0.5591288208961487, 0.5157305598258972, -0.07997415214776993]","[0.5270431637763977, 0.53221595287323, -0.07070089876651764]","[0.49785226583480835, 0.5855757594108582, -0.05898028612136841]"
R,"[0.4865342676639557, 0.8026130795478821, 2.3340584220932215e-07]","[0.42824432253837585, 0.7497265934944153, -0.09583961963653564]","[0.4187777638435364, 0.6640141606330872, -0.12154895812273026]","[0.4701099991798401, 0.5901037454605103, -0.13150018453598022]","[0.5291227102279663, 0.5358836650848389, -0.13855762779712677]","[0.38835349678993225, 0.5454741716384888, -0.03662785887718201]","[0.3484632670879364, 0.4522870182991028, -0.053899407386779785]","[0.32882899045944214, 0.3875965476036072, -0.07414452731609344]","[0.31425154209136963, 0.3333872854709625, -0.09231356531381607]","[0.4482259750366211, 0.5382298231124878, -0.011209498159587383]","[0.44169726967811584, 0.4262906312942505, -0.01702294498682022]","[0.4401234984397888, 0.3571329116821289, -0.03486558049917221]","[0.43744897842407227, 0.29698246717453003, -0.051766764372587204]","[0.5033561587333679, 0.5531250238418579, -0.0001684804738033563]","[0.5341960787773132, 0.4521113932132721, -0.03684914484620094]","[0.5489675998687744, 0.3854604661464691, -0.08468396216630936]","[0.5590353608131409, 0.3238038420677185, -0.11895142495632172]","[0.5510581731796265, 0.5803062915802002, 0.004021366126835346]","[0.5488297343254089, 0.5153658390045166, -0.05082907900214195]","[0.5315693020820618, 0.5331120491027832, -0.082352414727211]","[0.5133723020553589, 0.5606618523597717, -0.10221858322620392]"
R,"[0.49261170625686646, 0.8459486365318298, 2.5516873947140084e-08]","[0.4136487543582916, 0.7979428768157959, -0.08092956990003586]","[0.4035061299800873, 0.691359281539917, -0.09344720095396042]","[0.46939173340797424, 0.6039998531341553, -0.08922825753688812]","[0.5379259586334229, 0.5462879538536072, -0.08349402248859406]","[0.3738294839859009, 0.5549006462097168, -0.045474037528038025]","[0.3240450620651245, 0.4432382583618164, -0.0664975494146347]","[0.30053848028182983, 0.373975932598114, -0.08857722580432892]","[0.288183331489563, 0.3097904920578003, -0.1080174669623375]","[0.44435256719589233, 0.5427602529525757, -0.02774634025990963]","[0.4316224157810211, 0.4102678894996643, -0.037610385566949844]","[0.4339376389980316, 0.33222025632858276, -0.0549951046705246]","[0.43548423051834106, 0.26448649168014526, -0.07167302072048187]","[0.5055528283119202, 0.5557597279548645, -0.02138521894812584]","[0.5305158495903015, 0.4441038966178894, -0.06373732537031174]","[0.549973726272583, 0.37105846405029297, -0.11060628294944763]","[0.5686525106430054, 0.298551470041275, -0.1440906673669815]","[0.5594448447227478, 0.5911639928817749, -0.019649682566523552]","[0.5552685260772705, 0.5299516916275024, -0.07665076851844788]","[0.542457103729248, 0.5657364130020142, -0.10099507123231888]","[0.5333274602890015, 0.6050871014595032, -0.11538216471672058]"
R,"[0.49455270171165466, 0.8477908372879028, -2.6730725721790805e-07]","[0.4304249882698059, 0.8060635924339294, -0.08050869405269623]","[0.42204010486602783, 0.7063246965408325, -0.095059834420681]","[0.48649099469184875, 0.6218345165252686, -0.09288199245929718]","[0.5522583723068237, 0.5667411088943481, -0.08842151612043381]","[0.3908490538597107, 0.5591403245925903, -0.05247640609741211]","[0.3414038419723511, 0.4415108859539032, -0.07830126583576202]","[0.31788209080696106, 0.371921181678772, -0.10256138443946838]","[0.3021343946456909, 0.3086206614971161, -0.12322518229484558]","[0.46076706051826477, 0.5444596409797668, -0.036137089133262634]","[0.45043981075286865, 0.4014080762863159, -0.05838557705283165]","[0.44361719489097595, 0.32587987184524536, -0.08129261434078217]","[0.43783968687057495, 0.2604713439941406, -0.09817885607481003]","[0.5241220593452454, 0.5576645731925964, -0.029209565371274948]","[0.5555069446563721, 0.43454253673553467, -0.07968541979789734]","[0.5705505013465881, 0.3625699281692505, -0.12145035713911057]","[0.5871257185935974, 0.2889246940612793, -0.1479620635509491]","[0.5779842138290405, 0.5996883511543274, -0.026204584166407585]","[0.5731715559959412, 0.5261749625205994, -0.08082053810358047]","[0.5578432679176331, 0.552771270275116, -0.09583687037229538]","[0.5444998741149902, 0.5848709940910339, -0.10223199427127838]"
