Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.5025054216384888, 0.8101847767829895, -1.7868593715775205e-07]","[0.5997868776321411, 0.754563570022583, -0.026816437020897865]","[0.6518212556838989, 0.65168297290802, -0.03572748228907585]","[0.6570478677749634, 0.563476026058197, -0.04875535890460014]","[0.6648175716400146, 0.4911212623119354, -0.055525362491607666]","[0.5976820588111877, 0.5715284943580627, -0.002859853208065033]","[0.6533722877502441, 0.5238397121429443, -0.0593639500439167]","[0.6515510082244873, 0.5980820059776306, -0.08474072813987732]","[0.634410560131073, 0.6592192649841309, -0.08770904690027237]","[0.5469614863395691, 0.5724260807037354, -0.010915570892393589]","[0.6098172068595886, 0.5288335680961609, -0.07754913717508316]","[0.6051347255706787, 0.6272889971733093, -0.0962834507226944]","[0.5855914354324341, 0.6955249905586243, -0.09012607485055923]","[0.49080002307891846, 0.5812945365905762, -0.027771566063165665]","[0.552592396736145, 0.5457940697669983, -0.09883193671703339]","[0.5515323281288147, 0.6509220004081726, -0.09320010244846344]","[0.5302128195762634, 0.7168723940849304, -0.06589385122060776]","[0.4255750775337219, 0.5971759557723999, -0.04577522724866867]","[0.4863593578338623, 0.5576093196868896, -0.09045613557100296]","[0.5020695328712463, 0.6215157508850098, -0.07889153063297272]","[0.4917847514152527, 0.6682173013687134, -0.05580088496208191]"
"[0.46652084589004517, 0.8378182649612427, 6.730026314016868e-08]","[0.6080027222633362, 0.7676547765731812, -0.037284400314092636]","[0.6758528351783752, 0.6652745604515076, -0.04223676025867462]","[0.7020913362503052, 0.5684866905212402, -0.049091968685388565]","[0.6989809274673462, 0.4938945174217224, -0.04830013960599899]","[0.6237294673919678, 0.6015124917030334, 0.029356317594647408]","[0.6095892786979675, 0.5324863195419312, -0.032089632004499435]","[0.5932223200798035, 0.609241783618927, -0.07861548662185669]","[0.5962399244308472, 0.6682440638542175, -0.09992028027772903]","[0.5469465255737305, 0.6088095307350159, 0.029253989458084106]","[0.533579409122467, 0.5436303019523621, -0.055029843002557755]","[0.5325797200202942, 0.6499348878860474, -0.10488849133253098]","[0.533359169960022, 0.7219011783599854, -0.11939776688814163]","[0.4778432548046112, 0.6252341866493225, 0.017940150573849678]","[0.45650163292884827, 0.5727770328521729, -0.06160874292254448]","[0.47265076637268066, 0.6756230592727661, -0.08149111270904541]","[0.4842222332954407, 0.7397234439849854, -0.07120560109615326]","[0.41480299830436707, 0.639610767364502, 0.004013129975646734]","[0.40777695178985596, 0.5936051607131958, -0.04095926880836487]","[0.4189280569553375, 0.6467030644416809, -0.047267597168684006]","[0.43795841932296753, 0.6872976422309875, -0.03855891898274422]"
"[0.47075286507606506, 0.8737221956253052, -1.3497160011866072e-07]","[0.5959993600845337, 0.8034197688102722, -0.0684172585606575]","[0.6639866828918457, 0.6854454874992371, -0.08282996714115143]","[0.6982420086860657, 0.5715038776397705, -0.09301858395338058]","[0.7165669798851013, 0.4803772568702698, -0.09298651665449142]","[0.620604395866394, 0.5863522887229919, 0.022134874016046524]","[0.5932922959327698, 0.5277817249298096, -0.04358493164181709]","[0.5691235661506653, 0.6245108842849731, -0.08888643980026245]","[0.5722039341926575, 0.696016252040863, -0.1055423691868782]","[0.5420013070106506, 0.5964313745498657, 0.03923329338431358]","[0.5096829533576965, 0.5511440634727478, -0.04998883977532387]","[0.5113518238067627, 0.6758155822753906, -0.09888411313295364]","[0.5220069885253906, 0.7564517259597778, -0.10913430899381638]","[0.46853339672088623, 0.6154083609580994, 0.04112287238240242]","[0.43117597699165344, 0.5793551802635193, -0.048719994723796844]","[0.45246875286102295, 0.6996361017227173, -0.07073693722486496]","[0.47427114844322205, 0.7725108861923218, -0.057554394006729126]","[0.4031241238117218, 0.635298490524292, 0.03847227245569229]","[0.38323110342025757, 0.5926222801208496, -0.018314195796847343]","[0.3960646390914917, 0.6655130386352539, -0.02742275781929493]","[0.422446608543396, 0.7191817164421082, -0.015836136415600777]"
"[0.5052004456520081, 0.7935888767242432, -9.100276088247483e-07]","[0.4078388810157776, 0.7155249118804932, -0.004251348320394754]","[0.35771676898002625, 0.6235973238945007, -0.0036967219784855843]","[0.3453124165534973, 0.5398419499397278, -0.012051836587488651]","[0.33107438683509827, 0.4755324423313141, -0.01624465361237526]","[0.4136698544025421, 0.5671454668045044, 0.043823424726724625]","[0.3937760293483734, 0.5104783773422241, 0.0009874197421595454]","[0.3995372951030731, 0.56863933801651, -0.02998512051999569]","[0.41020917892456055, 0.6245784163475037, -0.040971532464027405]","[0.46607494354248047, 0.5711945295333862, 0.031764548271894455]","[0.4429491460323334, 0.5235143899917603, -0.021333890035748482]","[0.4470568895339966, 0.6051129698753357, -0.04686736315488815]","[0.45762524008750916, 0.6668645143508911, -0.04896105080842972]","[0.5203332901000977, 0.5798743367195129, 0.01251103263348341]","[0.4949243664741516, 0.5418510437011719, -0.03563321381807327]","[0.4906885325908661, 0.6238422989845276, -0.034203846007585526]","[0.4969223141670227, 0.6837876439094543, -0.016302505508065224]","[0.5764705538749695, 0.5933995842933655, -0.007840534672141075]","[0.55023193359375, 0.552323043346405, -0.032128725200891495]","[0.5344230532646179, 0.6066056489944458, -0.020522989332675934]","[0.5369998216629028, 0.6489771604537964, -0.0014439643127843738]"
"[0.48199427127838135, 0.7557888627052307, -3.5544306342671916e-07]","[0.5624544620513916, 0.7089741826057434, -0.03848659619688988]","[0.6129405498504639, 0.6121574640274048, -0.04756978154182434]","[0.6280447840690613, 0.5232760906219482, -0.05563587322831154]","[0.6489453315734863, 0.45757073163986206, -0.057740624994039536]","[0.5674808025360107, 0.5486222505569458, -0.0013733700616285205]","[0.5540798306465149, 0.4955410361289978, -0.05136897787451744]","[0.5359702110290527, 0.5572740435600281, -0.0778588354587555]","[0.5325179100036621, 0.6086044311523438, -0.0850069522857666]","[0.5098927617073059, 0.5541470050811768, 0.0033909406047314405]","[0.4906257688999176, 0.5083044171333313, -0.058658331632614136]","[0.491073876619339, 0.5905863046646118, -0.07879818230867386]","[0.49876970052719116, 0.6495519876480103, -0.07582598924636841]","[0.46297019720077515, 0.5680792331695557, -0.0018339811358600855]","[0.4390479326248169, 0.5331532955169678, -0.0636976882815361]","[0.45278945565223694, 0.6117629408836365, -0.06569557636976242]","[0.4687920808792114, 0.6663327217102051, -0.04811428114771843]","[0.42242002487182617, 0.5874753594398499, -0.009863018989562988]","[0.4045283794403076, 0.5521767735481262, -0.05074469745159149]","[0.4171895980834961, 0.6054168343544006, -0.05251132324337959]","[0.4365841746330261, 0.6480156183242798, -0.04129531979560852]"
"[0.48854199051856995, 0.7957967519760132, -9.526295912110072e-07]","[0.38875192403793335, 0.7304055690765381, -0.022791648283600807]","[0.33980804681777954, 0.6272068023681641, -0.030592236667871475]","[0.33072417974472046, 0.5410920977592468, -0.042872246354818344]","[0.3114904761314392, 0.4747248888015747, -0.05062083527445793]","[0.40165457129478455, 0.5651975274085999, 0.014989773742854595]","[0.37417876720428467, 0.5149970054626465, -0.03349895030260086]","[0.3767632246017456, 0.5800992250442505, -0.06395168602466583]","[0.38635480403900146, 0.6335830688476562, -0.07479339838027954]","[0.4582400321960449, 0.5677669644355774, 0.008357314392924309]","[0.42307567596435547, 0.5278701186180115, -0.047857027500867844]","[0.42597565054893494, 0.6185200810432434, -0.06807281821966171]","[0.4379660189151764, 0.6811999082565308, -0.06642653793096542]","[0.5153042078018188, 0.5770118832588196, -0.006961517501622438]","[0.4761020839214325, 0.5471996665000916, -0.06190174072980881]","[0.47167256474494934, 0.640350878238678, -0.05843938887119293]","[0.47919028997421265, 0.7032485604286194, -0.038858525454998016]","[0.572223424911499, 0.5930919647216797, -0.025045597925782204]","[0.5357015132904053, 0.558190107345581, -0.05745941400527954]","[0.5160951018333435, 0.6164281964302063, -0.048994146287441254]","[0.5148652791976929, 0.6593068242073059, -0.031894516199827194]"
"[0.5189002156257629, 0.8542652130126953, -6.294263812378631e-07]","[0.422990083694458, 0.7911039590835571, -0.06849203258752823]","[0.3562594950199127, 0.6641838550567627, -0.09297005832195282]","[0.33038389682769775, 0.5551781058311462, -0.11187323927879333]","[0.29843831062316895, 0.4776064157485962, -0.12175612151622772]","[0.40976402163505554, 0.5832082033157349, -0.03227446228265762]","[0.42370930314064026, 0.5216854214668274, -0.09346005320549011]","[0.4416999816894531, 0.6053728461265564, -0.1240212693810463]","[0.45014429092407227, 0.6764534115791321, -0.13219347596168518]","[0.47782933712005615, 0.5852136611938477, -0.018095413222908974]","[0.4988018572330475, 0.5346002578735352, -0.09645524621009827]","[0.5058574676513672, 0.6461907029151917, -0.12175410985946655]","[0.503086268901825, 0.7278991341590881, -0.11743370443582535]","[0.5398067235946655, 0.5988742113113403, -0.014728991314768791]","[0.5619826316833496, 0.5658963918685913, -0.09419199824333191]","[0.552381157875061, 0.6719526648521423, -0.0921124741435051]","[0.5368914008140564, 0.7505865693092346, -0.06511789560317993]","[0.5944792628288269, 0.6169583201408386, -0.016247756779193878]","[0.6149632930755615, 0.5764082670211792, -0.07082727551460266]","[0.5963592529296875, 0.645037055015564, -0.06529811024665833]","[0.5768325328826904, 0.7005869150161743, -0.04409119114279747]"
"[0.4856441915035248, 0.841809093952179, -1.0505862064746907e-06]","[0.3780848979949951, 0.7673568725585938, -0.02729356661438942]","[0.3167567551136017, 0.6441116333007812, -0.0335640087723732]","[0.3003547191619873, 0.5465048551559448, -0.04590478166937828]","[0.2803860306739807, 0.47164487838745117, -0.05374560505151749]","[0.3793867826461792, 0.5846619606018066, 0.02233276143670082]","[0.35622406005859375, 0.5214006304740906, -0.03155604004859924]","[0.36806800961494446, 0.5933528542518616, -0.06623072922229767]","[0.38396817445755005, 0.6622260808944702, -0.07806695252656937]","[0.44755157828330994, 0.59217369556427, 0.01532732229679823]","[0.42283347249031067, 0.5383538007736206, -0.0490683913230896]","[0.4344378113746643, 0.6353933811187744, -0.07522964477539062]","[0.4440097510814667, 0.7133484482765198, -0.0748821422457695]","[0.5157646536827087, 0.6051536798477173, -0.0019819114822894335]","[0.4888113737106323, 0.5653549432754517, -0.06701353192329407]","[0.4883241057395935, 0.6676530838012695, -0.06703299283981323]","[0.48926839232444763, 0.7432096004486084, -0.04570755735039711]","[0.5843958854675293, 0.6250736713409424, -0.022066306322813034]","[0.5565187931060791, 0.5778279900550842, -0.062127258628606796]","[0.5380979180335999, 0.6452412009239197, -0.05348949134349823]","[0.5287001132965088, 0.7006806135177612, -0.03381955251097679]"
"[0.4853570759296417, 0.8093463182449341, -9.850725746218814e-07]","[0.37785330414772034, 0.7400974035263062, 2.027550908678677e-05]","[0.32396262884140015, 0.6374698281288147, 0.009432455524802208]","[0.31230127811431885, 0.5546219944953918, 0.009196379221975803]","[0.30252617597579956, 0.48581400513648987, 0.012646694667637348]","[0.388429194688797, 0.5704573392868042, 0.06381978839635849]","[0.3611156940460205, 0.5110660195350647, 0.02542513608932495]","[0.3652917742729187, 0.5717811584472656, -0.007075874134898186]","[0.3728654980659485, 0.630406379699707, -0.019725514575839043]","[0.44572776556015015, 0.57195645570755, 0.051288120448589325]","[0.4088200628757477, 0.5248309373855591, 0.0069976388476789]","[0.4150558412075043, 0.6143074631690979, -0.019568761810660362]","[0.42628538608551025, 0.6848843693733215, -0.022361520677804947]","[0.5062888860702515, 0.5814736485481262, 0.030630791559815407]","[0.46546563506126404, 0.5390470027923584, -0.013473891653120518]","[0.4637995958328247, 0.6353045105934143, -0.013941933400928974]","[0.47192999720573425, 0.7094194889068604, 0.0029036139603704214]","[0.5730175971984863, 0.5989510416984558, 0.009140237234532833]","[0.5314383506774902, 0.553565263748169, -0.017171580344438553]","[0.5136748552322388, 0.6142337918281555, -0.007022296544164419]","[0.5146397352218628, 0.6648458242416382, 0.012398929335176945]"
"[0.47726672887802124, 0.8695038557052612, -4.3402732785580156e-07]","[0.5751317143440247, 0.8016025424003601, -0.07893969118595123]","[0.6418135762214661, 0.67115718126297, -0.09769745171070099]","[0.6725525856018066, 0.5418990850448608, -0.10927663743495941]","[0.6983319520950317, 0.4480457901954651, -0.10947100073099136]","[0.6096184253692627, 0.5674567818641663, 0.0132521977648139]","[0.5582596659660339, 0.49536842107772827, -0.05020439624786377]","[0.537557065486908, 0.5853825211524963, -0.09011431038379669]","[0.5491597652435303, 0.645715594291687, -0.10302889347076416]","[0.5316956043243408, 0.5797819495201111, 0.037559691816568375]","[0.4761703610420227, 0.522686779499054, -0.04522813856601715]","[0.4853605329990387, 0.6439007520675659, -0.07988477498292923]","[0.5050677061080933, 0.7088661789894104, -0.07881759852170944]","[0.46020185947418213, 0.5982891321182251, 0.045099370181560516]","[0.4101216197013855, 0.5566838383674622, -0.04549621418118477]","[0.43844926357269287, 0.6723904013633728, -0.05715273320674896]","[0.46905791759490967, 0.7392011284828186, -0.03510836511850357]","[0.40007779002189636, 0.6215526461601257, 0.04737085849046707]","[0.37396395206451416, 0.5822456479072571, -0.01384823489934206]","[0.3936411738395691, 0.663629412651062, -0.019497359171509743]","[0.4257912039756775, 0.7183940410614014, -0.0027621116023510695]"
