Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.48356831073760986, 0.6699293851852417, -1.2187761910809058e-08]","[0.5225801467895508, 0.5823322534561157, 0.139800563454628]","[0.5481952428817749, 0.5217390060424805, 0.20113523304462433]","[0.5926421284675598, 0.4693092405796051, 0.23487821221351624]","[0.6298109889030457, 0.43193936347961426, 0.26824235916137695]","[0.43644315004348755, 0.4236467182636261, 0.1613243818283081]","[0.5111271142959595, 0.33685731887817383, 0.20820389688014984]","[0.5740151405334473, 0.314932644367218, 0.2434706687927246]","[0.6162271499633789, 0.30745914578437805, 0.26541441679000854]","[0.4562261402606964, 0.4153383672237396, 0.09400907903909683]","[0.5410975813865662, 0.2982032597064972, 0.1316830813884735]","[0.6072139739990234, 0.28404921293258667, 0.16322334110736847]","[0.6453813314437866, 0.28674179315567017, 0.18467707931995392]","[0.4903104305267334, 0.41966402530670166, 0.032981690019369125]","[0.5656964778900146, 0.31217262148857117, 0.06574071198701859]","[0.6293042898178101, 0.28933238983154297, 0.09882324934005737]","[0.6705576777458191, 0.28807950019836426, 0.11678775399923325]","[0.5478144884109497, 0.4355666935443878, -0.018692031502723694]","[0.6058490872383118, 0.3524016737937927, 0.0051047783344984055]","[0.6523416638374329, 0.3148994445800781, 0.02538396790623665]","[0.6886791586875916, 0.29287803173065186, 0.03706080839037895]"
"[0.4564194977283478, 0.6494640707969666, 7.619664756930433e-07]","[0.5715979337692261, 0.5901471376419067, 0.08974231779575348]","[0.6184525489807129, 0.5270801782608032, 0.12487900257110596]","[0.6629983186721802, 0.4858875274658203, 0.12901929020881653]","[0.699970543384552, 0.4277130365371704, 0.1293206363916397]","[0.526546835899353, 0.42283692955970764, 0.17951002717018127]","[0.57063889503479, 0.35310959815979004, 0.20097975432872772]","[0.6297993659973145, 0.321479856967926, 0.19743232429027557]","[0.678741455078125, 0.30911266803741455, 0.19030335545539856]","[0.5086197853088379, 0.4136880338191986, 0.1109231561422348]","[0.5633141994476318, 0.322954922914505, 0.1283944696187973]","[0.6309143900871277, 0.297927588224411, 0.11630468815565109]","[0.6908153295516968, 0.29920631647109985, 0.10532177984714508]","[0.4999358057975769, 0.4127245843410492, 0.03790399804711342]","[0.5537072420120239, 0.3219488263130188, 0.04918937385082245]","[0.6292173862457275, 0.29599735140800476, 0.05006251111626625]","[0.6905980706214905, 0.29060667753219604, 0.04700665920972824]","[0.5035822987556458, 0.4222049415111542, -0.03274562954902649]","[0.5621868968009949, 0.3468383550643921, -0.026944028213620186]","[0.619426429271698, 0.3152735233306885, -0.01979881152510643]","[0.6686214804649353, 0.2976455092430115, -0.017080863937735558]"
"[0.4089605212211609, 0.6822496056556702, 8.79950050602929e-07]","[0.5614504814147949, 0.619717538356781, 0.08899730443954468]","[0.628783106803894, 0.5371252298355103, 0.12788449227809906]","[0.684615969657898, 0.4846610426902771, 0.13365258276462555]","[0.7263637781143188, 0.4164682924747467, 0.13561411201953888]","[0.5231121778488159, 0.4162123203277588, 0.19421915709972382]","[0.5715987086296082, 0.320870041847229, 0.21186913549900055]","[0.6428046226501465, 0.281962126493454, 0.2029881775379181]","[0.7071675062179565, 0.2642841339111328, 0.18983319401741028]","[0.4994514286518097, 0.4047859013080597, 0.11942419409751892]","[0.5637209415435791, 0.28670066595077515, 0.1258164942264557]","[0.6471835374832153, 0.2551804780960083, 0.10020356625318527]","[0.7216529250144958, 0.2511466145515442, 0.0792040005326271]","[0.48423057794570923, 0.40434932708740234, 0.038680534809827805]","[0.5467298030853271, 0.28787025809288025, 0.034286148846149445]","[0.6339733600616455, 0.2614867389202118, 0.023401452228426933]","[0.7063523530960083, 0.2548392713069916, 0.014570174738764763]","[0.4775391221046448, 0.41803431510925293, -0.0397222675383091]","[0.5445867776870728, 0.31938499212265015, -0.0431077815592289]","[0.6133369207382202, 0.28414008021354675, -0.04113692790269852]","[0.6726095080375671, 0.2671491205692291, -0.04236814007163048]"
"[0.5477918386459351, 0.6944531202316284, -1.2104375173294102e-06]","[0.41564008593559265, 0.6202207207679749, 0.11324509233236313]","[0.3414081335067749, 0.5407153964042664, 0.1638375073671341]","[0.2860468626022339, 0.4807968735694885, 0.175505593419075]","[0.23784422874450684, 0.4154244363307953, 0.17804640531539917]","[0.44798678159713745, 0.41088905930519104, 0.20352697372436523]","[0.38835975527763367, 0.3261030316352844, 0.21302789449691772]","[0.32023072242736816, 0.28650984168052673, 0.19186466932296753]","[0.2582455575466156, 0.2611933946609497, 0.1707996428012848]","[0.4788210391998291, 0.3996542692184448, 0.11937806010246277]","[0.40994444489479065, 0.2832176685333252, 0.12822768092155457]","[0.3282095193862915, 0.2454691380262375, 0.09254159778356552]","[0.2542305588722229, 0.2278030961751938, 0.06028975173830986]","[0.5001359581947327, 0.4000658094882965, 0.03130282834172249]","[0.43055272102355957, 0.2817482352256775, 0.02276475913822651]","[0.3441629409790039, 0.25242167711257935, -0.003185523906722665]","[0.27218616008758545, 0.2436094433069229, -0.025257647037506104]","[0.5127533078193665, 0.40246865153312683, -0.050823092460632324]","[0.436674028635025, 0.3006289601325989, -0.06944863498210907]","[0.3582965135574341, 0.26683664321899414, -0.08363139629364014]","[0.29555195569992065, 0.24598221480846405, -0.09675192087888718]"
"[0.4562978744506836, 0.6720665097236633, 5.543528800444619e-07]","[0.5664535760879517, 0.6016519069671631, 0.09441790729761124]","[0.6116348505020142, 0.5297040939331055, 0.1314520686864853]","[0.6582053899765015, 0.48245593905448914, 0.13948814570903778]","[0.6960552930831909, 0.4271959364414215, 0.14556226134300232]","[0.4981612265110016, 0.4120202362537384, 0.1590782105922699]","[0.5507935285568237, 0.3322795033454895, 0.17881867289543152]","[0.6131627559661865, 0.2987772226333618, 0.17959251999855042]","[0.6660566926002502, 0.28424927592277527, 0.1760985106229782]","[0.484825074672699, 0.4066675305366516, 0.09235978126525879]","[0.5577590465545654, 0.3032340407371521, 0.10439533740282059]","[0.6304999589920044, 0.2787345051765442, 0.09876739233732224]","[0.6898311972618103, 0.2770226299762726, 0.09411700814962387]","[0.4858453869819641, 0.4148785471916199, 0.024036932736635208]","[0.5616636872291565, 0.3170514702796936, 0.03342282027006149]","[0.6387935876846313, 0.28887009620666504, 0.04138749837875366]","[0.6986901760101318, 0.2807411551475525, 0.044855471700429916]","[0.5094542503356934, 0.44072583317756653, -0.0405798964202404]","[0.5787359476089478, 0.354672372341156, -0.028457826003432274]","[0.6369117498397827, 0.31705376505851746, -0.014099513180553913]","[0.68360435962677, 0.29379695653915405, -0.0062570348381996155]"
"[0.45561307668685913, 0.6484377384185791, 6.702329642394034e-07]","[0.55572509765625, 0.585094153881073, 0.11536573618650436]","[0.6010383367538452, 0.5255308151245117, 0.15966665744781494]","[0.6478040218353271, 0.485358327627182, 0.17167618870735168]","[0.6889768242835999, 0.4392683207988739, 0.17819306254386902]","[0.49638426303863525, 0.4109478294849396, 0.176509827375412]","[0.5510661602020264, 0.3405371308326721, 0.2066444307565689]","[0.6067532896995544, 0.30856797099113464, 0.21096938848495483]","[0.6519349813461304, 0.2944868803024292, 0.20756125450134277]","[0.48514220118522644, 0.4048531651496887, 0.09984462708234787]","[0.5493670701980591, 0.31344956159591675, 0.1217174082994461]","[0.6213256120681763, 0.29179590940475464, 0.11425869911909103]","[0.6849703192710876, 0.2902641296386719, 0.10425198078155518]","[0.4910593628883362, 0.411683052778244, 0.02370905689895153]","[0.5522871613502502, 0.3160179853439331, 0.03753237798810005]","[0.6312464475631714, 0.29089924693107605, 0.03620630502700806]","[0.693999171257019, 0.28478676080703735, 0.0291811041533947]","[0.5139036178588867, 0.4247047007083893, -0.046183448284864426]","[0.5725375413894653, 0.3477765917778015, -0.0379331074655056]","[0.6296753883361816, 0.31487131118774414, -0.031882043927907944]","[0.6770924925804138, 0.2952742874622345, -0.03244400396943092]"
"[0.4354422688484192, 0.6592819690704346, 9.878672244667541e-07]","[0.5766964554786682, 0.6118808388710022, 0.06678973138332367]","[0.6414155960083008, 0.5392503142356873, 0.09211736172437668]","[0.6999766826629639, 0.48989537358283997, 0.08650454133749008]","[0.7427679896354675, 0.4126356840133667, 0.07458731532096863]","[0.559955358505249, 0.4138696491718292, 0.1800835281610489]","[0.6102660894393921, 0.3310982584953308, 0.20202910900115967]","[0.6633798480033875, 0.28867024183273315, 0.19049140810966492]","[0.7078455686569214, 0.26215341687202454, 0.172699436545372]","[0.525364100933075, 0.40106743574142456, 0.11291520297527313]","[0.5869179964065552, 0.2985265254974365, 0.13115887343883514]","[0.651886522769928, 0.2576761543750763, 0.10083387792110443]","[0.7157015204429626, 0.24362486600875854, 0.06956292688846588]","[0.49629640579223633, 0.39621174335479736, 0.03764008358120918]","[0.5608431696891785, 0.3007848858833313, 0.04371889680624008]","[0.6370513439178467, 0.26469022035598755, 0.018573865294456482]","[0.7005117535591125, 0.2477073222398758, -0.009046844206750393]","[0.4750080704689026, 0.4003734588623047, -0.03740646317601204]","[0.5425530672073364, 0.32118576765060425, -0.04107964411377907]","[0.6012353301048279, 0.2815244793891907, -0.05336315929889679]","[0.6531203985214233, 0.2554764747619629, -0.07088541984558105]"
"[0.5664914846420288, 0.6559709310531616, -2.1306810538135323e-07]","[0.45016396045684814, 0.6054984331130981, 0.040833912789821625]","[0.381985068321228, 0.5401750206947327, 0.05889987573027611]","[0.3329311013221741, 0.4913652241230011, 0.05551474541425705]","[0.29757174849510193, 0.4265882074832916, 0.04830436408519745]","[0.44322293996810913, 0.43213754892349243, 0.12868717312812805]","[0.40761321783065796, 0.35358497500419617, 0.1296154409646988]","[0.36847323179244995, 0.3168255090713501, 0.1022455096244812]","[0.3254384994506836, 0.29451829195022583, 0.07612726837396622]","[0.4801867604255676, 0.42426350712776184, 0.08112549036741257]","[0.43649405241012573, 0.32799071073532104, 0.07145374268293381]","[0.3924731910228729, 0.29031288623809814, 0.020005714148283005]","[0.34374263882637024, 0.2765161991119385, -0.021056711673736572]","[0.5121169686317444, 0.42340537905693054, 0.027009975165128708]","[0.4685760736465454, 0.32903194427490234, 0.011048948392271996]","[0.4209815561771393, 0.2931351661682129, -0.03404901176691055]","[0.3710852861404419, 0.2803587317466736, -0.06852803379297256]","[0.5424717664718628, 0.42882487177848816, -0.02590576931834221]","[0.49259594082832336, 0.35339221358299255, -0.04522927850484848]","[0.4469200074672699, 0.31651219725608826, -0.07215149700641632]","[0.4038621187210083, 0.289847731590271, -0.09595285356044769]"
"[0.4634731411933899, 0.6677550077438354, 4.7299309358095343e-07]","[0.5634750723838806, 0.602658748626709, 0.08077901601791382]","[0.5964919924736023, 0.540039598941803, 0.1187191978096962]","[0.6371102929115295, 0.4874308407306671, 0.13852281868457794]","[0.6628497838973999, 0.44343671202659607, 0.15775170922279358]","[0.4775819182395935, 0.4203661382198334, 0.11603225767612457]","[0.5540255308151245, 0.3352521061897278, 0.14165209233760834]","[0.6191533207893372, 0.30005064606666565, 0.15205256640911102]","[0.6673603653907776, 0.28198063373565674, 0.15850460529327393]","[0.45967501401901245, 0.40967637300491333, 0.07473122328519821]","[0.5456671714782715, 0.3048228323459625, 0.0973871499300003]","[0.6110715866088867, 0.27488023042678833, 0.10276708751916885]","[0.6624886989593506, 0.2653154134750366, 0.10473980009555817]","[0.46823635697364807, 0.41212955117225647, 0.035346753895282745]","[0.5511635541915894, 0.30725201964378357, 0.057590339332818985]","[0.6162504553794861, 0.27475881576538086, 0.06422735750675201]","[0.6645538210868835, 0.262565016746521, 0.06443522870540619]","[0.5048571825027466, 0.4262721836566925, 0.0006079244194552302]","[0.5805323719978333, 0.3434000015258789, 0.02320990525186062]","[0.6360366940498352, 0.304818332195282, 0.034952837973833084]","[0.680523693561554, 0.2785639762878418, 0.03984704241156578]"
"[0.44213536381721497, 0.6613097190856934, 8.827895499052829e-07]","[0.5700964331626892, 0.6099684238433838, 0.046607427299022675]","[0.6352062225341797, 0.5337589383125305, 0.06431489437818527]","[0.6925971508026123, 0.48311111330986023, 0.05776600539684296]","[0.7298561334609985, 0.4127780795097351, 0.047553472220897675]","[0.5575813055038452, 0.42816251516342163, 0.13799230754375458]","[0.6010389924049377, 0.3481275141239166, 0.1437123715877533]","[0.6520779728889465, 0.31263041496276855, 0.12889540195465088]","[0.6987584829330444, 0.2926386594772339, 0.11208547651767731]","[0.5264328122138977, 0.41389375925064087, 0.08370354771614075]","[0.5759491920471191, 0.3053688108921051, 0.08269825577735901]","[0.6409051418304443, 0.27364811301231384, 0.054691385477781296]","[0.7031106948852539, 0.2712515592575073, 0.030453020706772804]","[0.49477314949035645, 0.40887442231178284, 0.020966719835996628]","[0.5457442402839661, 0.29856395721435547, 0.008342821151018143]","[0.6170869469642639, 0.26989543437957764, -0.01500573568046093]","[0.6789013147354126, 0.2654879093170166, -0.03447391837835312]","[0.4686031937599182, 0.41531944274902344, -0.041788145899772644]","[0.5255415439605713, 0.33012527227401733, -0.05815645307302475]","[0.5827181935310364, 0.29560962319374084, -0.07289394736289978]","[0.6379022598266602, 0.27658340334892273, -0.08782685548067093]"
