Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
L,"[0.46530407667160034, 0.786340057849884, 3.4803136372829613e-07]","[0.5828801989555359, 0.7408475279808044, 0.06263820081949234]","[0.6385743618011475, 0.6902434229850769, 0.06618259847164154]","[0.6811758875846863, 0.6582877039909363, 0.04341883212327957]","[0.68458092212677, 0.6166473031044006, 0.01667320914566517]","[0.5836429595947266, 0.5619216561317444, 0.05784033611416817]","[0.5984854102134705, 0.4479652941226959, 0.028601499274373055]","[0.6151642203330994, 0.374407559633255, 0.0007221874548122287]","[0.6151502728462219, 0.32018452882766724, -0.021189486607909203]","[0.5520747900009155, 0.5759957432746887, -0.01301779504865408]","[0.6023337841033936, 0.4735681712627411, -0.06833259761333466]","[0.6619625091552734, 0.5156042575836182, -0.09926673769950867]","[0.6820152401924133, 0.5662684440612793, -0.11114367842674255]","[0.5305439233779907, 0.6014161109924316, -0.08405470103025436]","[0.5902199745178223, 0.5156672596931458, -0.137174591422081]","[0.6500841975212097, 0.5649893283843994, -0.1451224684715271]","[0.6659766435623169, 0.6137192845344543, -0.1394227147102356]","[0.5264383554458618, 0.6336585879325867, -0.15142449736595154]","[0.5878697633743286, 0.5713931322097778, -0.18874382972717285]","[0.6338597536087036, 0.5976021885871887, -0.19034817814826965]","[0.6507176756858826, 0.6329862475395203, -0.18590572476387024]"
L,"[0.5400909185409546, 0.6900241374969482, 4.328960585553432e-07]","[0.6111478805541992, 0.6826780438423157, -0.054626576602458954]","[0.647624671459198, 0.6575740575790405, -0.10371387749910355]","[0.6706520915031433, 0.6327713131904602, -0.15331214666366577]","[0.6416770219802856, 0.6047540903091431, -0.20080089569091797]","[0.6176493167877197, 0.4819539785385132, -0.07136782258749008]","[0.6199016571044922, 0.39962929487228394, -0.11688362807035446]","[0.6232932806015015, 0.33920687437057495, -0.14478333294391632]","[0.6163691878318787, 0.2941596806049347, -0.16383062303066254]","[0.5659316778182983, 0.4864391088485718, -0.0768950805068016]","[0.5919585824012756, 0.45902568101882935, -0.13363589346408844]","[0.6184558272361755, 0.5244053602218628, -0.1460571587085724]","[0.6290457248687744, 0.5667795538902283, -0.1441061794757843]","[0.5269848704338074, 0.5139127969741821, -0.08805760741233826]","[0.5719298124313354, 0.5223079323768616, -0.141196608543396]","[0.5984772443771362, 0.5861047506332397, -0.13337869942188263]","[0.5992299318313599, 0.6193050146102905, -0.11700740456581116]","[0.4963739514350891, 0.5551536083221436, -0.1054147258400917]","[0.5418019890785217, 0.5673816800117493, -0.1419549137353897]","[0.5704752206802368, 0.6095392107963562, -0.13719430565834045]","[0.5771341323852539, 0.635174036026001, -0.12616567313671112]"
L,"[0.4897545576095581, 0.822213888168335, -1.0225183899592594e-07]","[0.6074177026748657, 0.7914764881134033, 0.02624361217021942]","[0.6788723468780518, 0.7206307649612427, 0.01522134616971016]","[0.7232432961463928, 0.6721290349960327, -0.012610284611582756]","[0.7056373953819275, 0.6303689479827881, -0.04240081459283829]","[0.6356108784675598, 0.5682774782180786, -0.015815114602446556]","[0.6396424770355225, 0.41892313957214355, -0.06739884614944458]","[0.6424898505210876, 0.3447277247905731, -0.10553605109453201]","[0.6222137808799744, 0.27208414673805237, -0.12983742356300354]","[0.588706374168396, 0.5748057961463928, -0.06292122602462769]","[0.6378049850463867, 0.45815518498420715, -0.1222342699766159]","[0.6966412663459778, 0.5430952906608582, -0.1418895274400711]","[0.6999298930168152, 0.61252760887146, -0.14439889788627625]","[0.5490272045135498, 0.6052230000495911, -0.10985764861106873]","[0.6024080514907837, 0.5021920800209045, -0.16537529230117798]","[0.6666918992996216, 0.5860216617584229, -0.16108457744121552]","[0.6750404238700867, 0.6445075869560242, -0.14448495209217072]","[0.5287046432495117, 0.6497064828872681, -0.15549513697624207]","[0.585014283657074, 0.5732148885726929, -0.1967296302318573]","[0.6410132646560669, 0.6177573800086975, -0.1926330029964447]","[0.655387282371521, 0.6632513999938965, -0.1809140294790268]"
R,"[0.41911646723747253, 0.7891242504119873, 6.074047291804163e-07]","[0.3785371780395508, 0.757675290107727, -0.14485852420330048]","[0.398879736661911, 0.6980615854263306, -0.19943103194236755]","[0.46358034014701843, 0.658420205116272, -0.22979533672332764]","[0.5329158902168274, 0.612297534942627, -0.25349539518356323]","[0.39164188504219055, 0.5311505794525146, -0.12388034164905548]","[0.3989238739013672, 0.41579240560531616, -0.1799554079771042]","[0.39922207593917847, 0.33522284030914307, -0.23021137714385986]","[0.3961386978626251, 0.27245187759399414, -0.26954516768455505]","[0.44834116101264954, 0.5544809699058533, -0.0773935616016388]","[0.5133682489395142, 0.46881192922592163, -0.15432849526405334]","[0.5372278690338135, 0.5363001227378845, -0.2161017805337906]","[0.5318711400032043, 0.5968120098114014, -0.2511526644229889]","[0.49996307492256165, 0.583381175994873, -0.042425405234098434]","[0.5676472783088684, 0.5062434673309326, -0.12117408215999603]","[0.5801081657409668, 0.5561181902885437, -0.1776507943868637]","[0.5622158050537109, 0.5966667532920837, -0.20465874671936035]","[0.5473893880844116, 0.6087051630020142, -0.017304562032222748]","[0.5923721194267273, 0.5552611351013184, -0.08670138567686081]","[0.5995972752571106, 0.5890091061592102, -0.12974262237548828]","[0.5738064050674438, 0.6238903999328613, -0.15390397608280182]"
R,"[0.4891355037689209, 0.8825852870941162, -2.921706823144632e-07]","[0.3818839490413666, 0.8415406942367554, -0.04988569766283035]","[0.3005537986755371, 0.765544593334198, -0.09524695575237274]","[0.2440781444311142, 0.7071846723556519, -0.14593026041984558]","[0.2708885967731476, 0.6533453464508057, -0.19440984725952148]","[0.3555375337600708, 0.569048285484314, -0.04313339665532112]","[0.33784598112106323, 0.42029428482055664, -0.10847973823547363]","[0.3233181834220886, 0.3262009620666504, -0.15291067957878113]","[0.32959869503974915, 0.25074636936187744, -0.18490809202194214]","[0.40557190775871277, 0.584314227104187, -0.05548107251524925]","[0.3622424900531769, 0.4616416096687317, -0.13747794926166534]","[0.299155592918396, 0.5574135780334473, -0.15720082819461823]","[0.2908211648464203, 0.6269633173942566, -0.15306760370731354]","[0.45492690801620483, 0.6164725422859192, -0.07710681855678558]","[0.4176226854324341, 0.508763313293457, -0.15065070986747742]","[0.3487488925457001, 0.5911692380905151, -0.13596932590007782]","[0.3349390923976898, 0.6619167923927307, -0.1080125942826271]","[0.48922574520111084, 0.6677565574645996, -0.10471551865339279]","[0.4442480504512787, 0.591004490852356, -0.15433025360107422]","[0.3822890520095825, 0.642012894153595, -0.14445634186267853]","[0.36972153186798096, 0.699399471282959, -0.12603585422039032]"
L,"[0.49356576800346375, 0.7932453155517578, 1.45161109799119e-07]","[0.5940802097320557, 0.7601690292358398, 0.01200705673545599]","[0.6514078974723816, 0.6996369361877441, 0.0031764197628945112]","[0.6891483664512634, 0.6566641926765442, -0.015636755153536797]","[0.6662302613258362, 0.6187713146209717, -0.03599682077765465]","[0.6180410385131836, 0.5606701970100403, -0.01952606439590454]","[0.6162867546081543, 0.4349069893360138, -0.0569414384663105]","[0.6258953809738159, 0.363647997379303, -0.08712071925401688]","[0.6218379139900208, 0.29994282126426697, -0.10908686369657516]","[0.5752667784690857, 0.5707059502601624, -0.050931524485349655]","[0.595744252204895, 0.47188645601272583, -0.09850083291530609]","[0.6458317041397095, 0.5338466763496399, -0.11771661788225174]","[0.6544451713562012, 0.5908812880516052, -0.12362906336784363]","[0.5364786386489868, 0.5983538627624512, -0.08185107260942459]","[0.5593733191490173, 0.5090192556381226, -0.13042539358139038]","[0.6128503084182739, 0.5714303255081177, -0.13403105735778809]","[0.6252506971359253, 0.6222060918807983, -0.12549170851707458]","[0.5101993680000305, 0.6367742419242859, -0.1114463359117508]","[0.5454528331756592, 0.5729853510856628, -0.15326164662837982]","[0.5905695557594299, 0.6088824272155762, -0.1563243269920349]","[0.6076834201812744, 0.6494914889335632, -0.1501752734184265]"
L,"[0.5477161407470703, 0.8066196441650391, 1.6934865243456443e-07]","[0.6124987006187439, 0.7606972455978394, -0.04692288860678673]","[0.6245697140693665, 0.6845895051956177, -0.06950727105140686]","[0.5803509950637817, 0.6310341358184814, -0.08979485183954239]","[0.5158495903015137, 0.5989047288894653, -0.10832227021455765]","[0.605461061000824, 0.5317991971969604, -0.03175874799489975]","[0.6066996455192566, 0.41973334550857544, -0.06465785205364227]","[0.6051269769668579, 0.3479727506637573, -0.09307841956615448]","[0.5978449583053589, 0.2878470718860626, -0.11721378564834595]","[0.5396877527236938, 0.5446819067001343, -0.03200986608862877]","[0.5005159974098206, 0.45797330141067505, -0.08519771695137024]","[0.5067130327224731, 0.5288864970207214, -0.10903819650411606]","[0.5219771265983582, 0.5800401568412781, -0.11678416281938553]","[0.48178690671920776, 0.5756323933601379, -0.038296718150377274]","[0.43702906370162964, 0.5041086673736572, -0.09192579239606857]","[0.4649962782859802, 0.5731622576713562, -0.09785158187150955]","[0.49906283617019653, 0.6266228556632996, -0.09061312675476074]","[0.4414592385292053, 0.6241148710250854, -0.04866459593176842]","[0.41142308712005615, 0.5692490339279175, -0.08584870398044586]","[0.4394148886203766, 0.6088135242462158, -0.0885576382279396]","[0.47791239619255066, 0.6453763246536255, -0.08455993980169296]"
R,"[0.5276662707328796, 0.7517434358596802, -5.013870350012439e-07]","[0.44027915596961975, 0.721224308013916, 0.019099116325378418]","[0.37406080961227417, 0.672966480255127, 0.002238087821751833]","[0.3392489552497864, 0.6341843008995056, -0.03131869062781334]","[0.3454228639602661, 0.5960016250610352, -0.0687260553240776]","[0.4417355954647064, 0.5343111157417297, 0.003782433457672596]","[0.42326590418815613, 0.4381256699562073, -0.03468861058354378]","[0.407318651676178, 0.3731507360935211, -0.05944584682583809]","[0.4074762761592865, 0.3237265944480896, -0.07823704928159714]","[0.46867525577545166, 0.5532571077346802, -0.03810589760541916]","[0.41702350974082947, 0.45933812856674194, -0.09608552604913712]","[0.3580566644668579, 0.5232964158058167, -0.10808226466178894]","[0.35934919118881226, 0.5673706531524658, -0.10451707988977432]","[0.48998236656188965, 0.5759915113449097, -0.08283292502164841]","[0.441074401140213, 0.4956046938896179, -0.14179252088069916]","[0.387369304895401, 0.5518503785133362, -0.133139967918396]","[0.3876635432243347, 0.601574182510376, -0.11392952501773834]","[0.5074321627616882, 0.6068189740180969, -0.1257849633693695]","[0.45225703716278076, 0.5496911406517029, -0.15600448846817017]","[0.4105469286441803, 0.5880419611930847, -0.14277759194374084]","[0.4126550555229187, 0.6321123838424683, -0.12848523259162903]"
L,"[0.5580412149429321, 0.8224449753761292, 6.267658818615018e-07]","[0.6362519264221191, 0.7901393175125122, -0.08860557526350021]","[0.6649792790412903, 0.7216354608535767, -0.1426188051700592]","[0.634403645992279, 0.6703493595123291, -0.19220827519893646]","[0.5700950622558594, 0.6251267194747925, -0.24042747914791107]","[0.6455094814300537, 0.5385594964027405, -0.06626920402050018]","[0.641906201839447, 0.4294518530368805, -0.10907312482595444]","[0.6467109322547913, 0.342693030834198, -0.1385086327791214]","[0.6385800838470459, 0.2833925485610962, -0.16132472455501556]","[0.5726544857025146, 0.5559387803077698, -0.058917075395584106]","[0.5411811470985413, 0.4741058051586151, -0.12925668060779572]","[0.5570115447044373, 0.5561345815658569, -0.15523408353328705]","[0.5765439867973328, 0.6117492914199829, -0.15729893743991852]","[0.5120375156402588, 0.5904363393783569, -0.0620846189558506]","[0.47687989473342896, 0.5247101783752441, -0.13844402134418488]","[0.5177800059318542, 0.6017481684684753, -0.15202343463897705]","[0.5462433099746704, 0.656389057636261, -0.14375196397304535]","[0.4642539322376251, 0.6359928250312805, -0.07296300679445267]","[0.45139288902282715, 0.5958023071289062, -0.13275249302387238]","[0.4878438115119934, 0.6447961330413818, -0.14616306126117706]","[0.5211308598518372, 0.6837671995162964, -0.14566920697689056]"
R,"[0.5052587985992432, 0.7877639532089233, -4.072007016020507e-07]","[0.4079764485359192, 0.754421591758728, 0.025490526109933853]","[0.3411433696746826, 0.6980920433998108, 0.011770306155085564]","[0.3013022541999817, 0.6542433500289917, -0.021422823891043663]","[0.30955374240875244, 0.6108905673027039, -0.058406710624694824]","[0.406484454870224, 0.551544725894928, 0.01984523795545101]","[0.3916325569152832, 0.4425279498100281, -0.018013669177889824]","[0.3759981691837311, 0.368938684463501, -0.043895356357097626]","[0.37709754705429077, 0.31048494577407837, -0.06431763619184494]","[0.4370826482772827, 0.5654596090316772, -0.027172623202204704]","[0.37253537774086, 0.4646722674369812, -0.08088666945695877]","[0.31512758135795593, 0.536872386932373, -0.08946020901203156]","[0.320142924785614, 0.5848413109779358, -0.08351792395114899]","[0.46127524971961975, 0.5885630249977112, -0.07796748727560043]","[0.40075555443763733, 0.5021176338195801, -0.1330234557390213]","[0.34773629903793335, 0.5629451274871826, -0.12153390049934387]","[0.3539673388004303, 0.6150715351104736, -0.10126469284296036]","[0.47915124893188477, 0.6210251450538635, -0.1275501847267151]","[0.41896769404411316, 0.5555325746536255, -0.16079868376255035]","[0.3724861741065979, 0.5955802202224731, -0.149306982755661]","[0.37531015276908875, 0.6426615715026855, -0.1354268491268158]"
