Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
L,"[0.4954413175582886, 0.7787192463874817, -1.296060219146966e-07]","[0.5602789521217346, 0.7193218469619751, -0.04874061420559883]","[0.5738414525985718, 0.6261439323425293, -0.03447086364030838]","[0.5341182351112366, 0.559161365032196, -0.013226059265434742]","[0.4881631135940552, 0.5374366641044617, 0.017852146178483963]","[0.5999098420143127, 0.5616230368614197, 0.042825788259506226]","[0.5907028913497925, 0.4687739610671997, 0.027141550555825233]","[0.5558871030807495, 0.47473400831222534, 0.0120388800278306]","[0.5465722680091858, 0.5093973278999329, 0.007473907899111509]","[0.5395537614822388, 0.5628195405006409, 0.06284310668706894]","[0.5248157978057861, 0.464282751083374, 0.04476137459278107]","[0.502550482749939, 0.47281068563461304, 0.017802026122808456]","[0.506147027015686, 0.5048502683639526, 0.006705437321215868]","[0.4861157238483429, 0.5756329298019409, 0.06921736896038055]","[0.4739440679550171, 0.4858531951904297, 0.034701909869909286]","[0.46460646390914917, 0.499983012676239, -0.010091083124279976]","[0.4690951108932495, 0.5354999303817749, -0.027886388823390007]","[0.44144123792648315, 0.599004328250885, 0.07204584032297134]","[0.4324273467063904, 0.5238045454025269, 0.037772949784994125]","[0.43045949935913086, 0.5227761268615723, 0.0020468065049499273]","[0.4390154480934143, 0.5486782789230347, -0.01663362979888916]"
R,"[0.49136731028556824, 0.8200787901878357, -5.451992706184683e-07]","[0.40227609872817993, 0.7784404754638672, -0.03536318242549896]","[0.3686950206756592, 0.6671379804611206, -0.046110428869724274]","[0.41532543301582336, 0.5840767621994019, -0.06027405709028244]","[0.4819730520248413, 0.589684784412384, -0.06707348674535751]","[0.40035274624824524, 0.5695229172706604, 0.01674613170325756]","[0.3936239778995514, 0.4731660485267639, -0.0202898308634758]","[0.3791225552558899, 0.5164533853530884, -0.0443044938147068]","[0.3868183493614197, 0.5704869627952576, -0.055903226137161255]","[0.4557834267616272, 0.5621707439422607, 0.015431420877575874]","[0.46759068965911865, 0.4448072612285614, -0.022785039618611336]","[0.4382821321487427, 0.49361100792884827, -0.03432328626513481]","[0.4384373724460602, 0.5486741065979004, -0.02972583658993244]","[0.5058498382568359, 0.5708656311035156, 0.003020581090822816]","[0.5297108888626099, 0.4649224579334259, -0.03373117372393608]","[0.4897392690181732, 0.508145809173584, -0.0347963348031044]","[0.47879549860954285, 0.5638254880905151, -0.022897154092788696]","[0.5595645904541016, 0.5925889015197754, -0.014765881933271885]","[0.5655792951583862, 0.5104442834854126, -0.043517518788576126]","[0.5302044153213501, 0.5330858826637268, -0.049683380872011185]","[0.5151813626289368, 0.5826316475868225, -0.046219583600759506]"
R,"[0.47659754753112793, 0.7831408977508545, -2.272985568652075e-07]","[0.4005180597305298, 0.7464770078659058, -0.050723955035209656]","[0.3752429783344269, 0.6479013562202454, -0.06650961935520172]","[0.41878509521484375, 0.5768389105796814, -0.08134157955646515]","[0.483325332403183, 0.580478310585022, -0.08778165280818939]","[0.3842988610267639, 0.5556050539016724, 0.005003402009606361]","[0.38823336362838745, 0.47196775674819946, -0.03570995107293129]","[0.3912888467311859, 0.5007086992263794, -0.06634214520454407]","[0.3884478807449341, 0.5545681715011597, -0.08134850114583969]","[0.4409632682800293, 0.5518676042556763, 0.014442604966461658]","[0.44798848032951355, 0.4592927098274231, -0.02538696490228176]","[0.44524645805358887, 0.4957393705844879, -0.051352281123399734]","[0.4413650631904602, 0.5456788539886475, -0.05970260128378868]","[0.49057796597480774, 0.5642271637916565, 0.012392068281769753]","[0.5053732991218567, 0.4785265028476715, -0.02346438355743885]","[0.4924221634864807, 0.5142095685005188, -0.036162178963422775]","[0.4809437692165375, 0.5654848217964172, -0.03497264161705971]","[0.5412276387214661, 0.5855476260185242, 0.0041648149490356445]","[0.5430482625961304, 0.5209606885910034, -0.02552958019077778]","[0.5305275321006775, 0.5386863350868225, -0.03912309184670448]","[0.5196211934089661, 0.578830361366272, -0.04225774481892586]"
L,"[0.4855085015296936, 0.4916099011898041, 1.2141207150762057e-07]","[0.5064001679420471, 0.524715781211853, -0.06710535287857056]","[0.515560507774353, 0.5396486520767212, -0.11682236194610596]","[0.504288911819458, 0.5530267953872681, -0.15217922627925873]","[0.4880392253398895, 0.5664701461791992, -0.18594159185886383]","[0.5301148891448975, 0.48048579692840576, -0.15675652027130127]","[0.4771603047847748, 0.5075017809867859, -0.21408556401729584]","[0.45453882217407227, 0.5378427505493164, -0.23727421462535858]","[0.454401433467865, 0.554477334022522, -0.25003305077552795]","[0.505348801612854, 0.45404642820358276, -0.1443314105272293]","[0.44210970401763916, 0.49685004353523254, -0.2010149210691452]","[0.42518967390060425, 0.5409554243087769, -0.2066846638917923]","[0.42854592204093933, 0.5642096996307373, -0.20832599699497223]","[0.4784010350704193, 0.4380896985530853, -0.13246820867061615]","[0.4188908040523529, 0.48402276635169983, -0.18139144778251648]","[0.4156965911388397, 0.5294027328491211, -0.1722961813211441]","[0.4308372735977173, 0.5531395673751831, -0.16145393252372742]","[0.4525556266307831, 0.43346351385116577, -0.1254224181175232]","[0.41077178716659546, 0.46266403794288635, -0.15821705758571625]","[0.40320637822151184, 0.5009296536445618, -0.15326805412769318]","[0.40694186091423035, 0.5276353359222412, -0.14600880444049835]"
R,"[0.4939306974411011, 0.8236962556838989, -5.413432973000454e-07]","[0.4041876196861267, 0.7746471166610718, -0.0400746650993824]","[0.37505438923835754, 0.6490546464920044, -0.0450163371860981]","[0.4366016685962677, 0.5648691654205322, -0.048111602663993835]","[0.5141941905021667, 0.5758028626441956, -0.04252830147743225]","[0.3738529086112976, 0.5665957927703857, 0.0031800048891454935]","[0.38018858432769775, 0.46567580103874207, -0.03170936554670334]","[0.3989369869232178, 0.506683886051178, -0.05744699388742447]","[0.40124860405921936, 0.5634978413581848, -0.07177821546792984]","[0.4409852623939514, 0.5536583065986633, 0.00994432345032692]","[0.4435604214668274, 0.43918031454086304, -0.02157673053443432]","[0.4558493494987488, 0.49746447801589966, -0.03843023627996445]","[0.4543045461177826, 0.5507144927978516, -0.043213795870542526]","[0.49830085039138794, 0.5602613091468811, 0.0072305696085095406]","[0.5074627995491028, 0.4619443416595459, -0.018442239612340927]","[0.5060126185417175, 0.5131799578666687, -0.0191845390945673]","[0.4970044493675232, 0.5635144710540771, -0.01400982029736042]","[0.5567669868469238, 0.5814914107322693, -0.001257191994227469]","[0.5542528629302979, 0.5103352665901184, -0.023843199014663696]","[0.5490901470184326, 0.5380372405052185, -0.030355116352438927]","[0.5431433916091919, 0.5765159726142883, -0.031374163925647736]"
L,"[0.5009258985519409, 0.814356803894043, 2.7438539973445586e-07]","[0.6055945158004761, 0.7586795687675476, -0.023786019533872604]","[0.6287361979484558, 0.6482850909233093, -0.017665337771177292]","[0.5803506374359131, 0.5628383159637451, -0.013455926440656185]","[0.49059879779815674, 0.5592588782310486, -0.006727025378495455]","[0.6017836928367615, 0.565648078918457, 0.03717507794499397]","[0.6025750041007996, 0.46959659457206726, 0.01681474782526493]","[0.6190252304077148, 0.48807281255722046, -0.007578819990158081]","[0.617771565914154, 0.5432339906692505, -0.018600275740027428]","[0.5442754626274109, 0.5614022016525269, 0.03751590847969055]","[0.5254692435264587, 0.44947493076324463, 0.018353203311562538]","[0.5524848103523254, 0.47707056999206543, -0.007504613138735294]","[0.5557927489280701, 0.5388025641441345, -0.018610958009958267]","[0.4877750873565674, 0.5725332498550415, 0.028807399794459343]","[0.4681301414966583, 0.46655410528182983, 0.004087263252586126]","[0.503516435623169, 0.49130237102508545, -0.027533259242773056]","[0.5109720230102539, 0.5484084486961365, -0.039518117904663086]","[0.4289137125015259, 0.5973672866821289, 0.01735263131558895]","[0.42554545402526855, 0.5081764459609985, -0.006553041748702526]","[0.4563136100769043, 0.517137885093689, -0.02960125170648098]","[0.4713706374168396, 0.5623939633369446, -0.041284430772066116]"
R,"[0.4922034740447998, 0.8484610319137573, -2.2873165050896205e-07]","[0.4132882356643677, 0.7929873466491699, -0.06375792622566223]","[0.38624051213264465, 0.6758303642272949, -0.07657526433467865]","[0.43630945682525635, 0.5896390676498413, -0.08382444083690643]","[0.49818193912506104, 0.5853651165962219, -0.08022835105657578]","[0.3698841333389282, 0.5696560144424438, 0.0017630931688472629]","[0.38254302740097046, 0.4577653110027313, -0.03676091134548187]","[0.40848127007484436, 0.4991713762283325, -0.06650467962026596]","[0.4128825068473816, 0.5630114674568176, -0.0812264084815979]","[0.44011732935905457, 0.5625051856040955, 0.019223151728510857]","[0.44916531443595886, 0.43053507804870605, -0.0222718995064497]","[0.47079432010650635, 0.4866032302379608, -0.05564947426319122]","[0.46677908301353455, 0.5510164499282837, -0.06825203448534012]","[0.5024397969245911, 0.5737670063972473, 0.0247984379529953]","[0.5151611566543579, 0.4568275511264801, -0.017288224771618843]","[0.5223801136016846, 0.5007916688919067, -0.04337216913700104]","[0.5049403309822083, 0.5640568137168884, -0.05009443312883377]","[0.5613644123077393, 0.5972470641136169, 0.024184854701161385]","[0.5666836500167847, 0.5110952854156494, -0.01583993434906006]","[0.5683558583259583, 0.5357702374458313, -0.039885979145765305]","[0.5544491410255432, 0.5870633125305176, -0.049508556723594666]"
R,"[0.4814898371696472, 0.7947033643722534, -8.081931355263805e-07]","[0.3932986259460449, 0.7350319027900696, -0.0264374241232872]","[0.36526262760162354, 0.6335462927818298, -0.032091379165649414]","[0.4190940856933594, 0.5648267865180969, -0.041324105113744736]","[0.48506462574005127, 0.5719761848449707, -0.04454115033149719]","[0.39042654633522034, 0.5660702586174011, 0.014055189676582813]","[0.38920891284942627, 0.46775731444358826, -0.02105911634862423]","[0.37787842750549316, 0.5114868879318237, -0.04793253913521767]","[0.38151511549949646, 0.5647739768028259, -0.06247272714972496]","[0.44379889965057373, 0.5589659810066223, 0.012066615745425224]","[0.45656412839889526, 0.4390091896057129, -0.022059252485632896]","[0.4356915056705475, 0.4857586622238159, -0.03737255558371544]","[0.4344446659088135, 0.5372366905212402, -0.040611132979393005]","[0.4928092658519745, 0.5632293224334717, 0.0012081469176337123]","[0.5154162049293518, 0.45604637265205383, -0.027677152305841446]","[0.4858650267124176, 0.49643731117248535, -0.030917594209313393]","[0.4761117100715637, 0.5508185029029846, -0.02603357657790184]","[0.5432987809181213, 0.5828855037689209, -0.014544115401804447]","[0.5480424165725708, 0.5019581913948059, -0.03275309130549431]","[0.5203134417533875, 0.5172833204269409, -0.037536147981882095]","[0.5057746767997742, 0.5608209371566772, -0.03843112662434578]"
R,"[0.47708651423454285, 0.8142585754394531, -7.469740239685052e-07]","[0.38030731678009033, 0.7723244428634644, -0.03762601688504219]","[0.3534753620624542, 0.6616299152374268, -0.03909610956907272]","[0.40460890531539917, 0.5853909850120544, -0.042281538248062134]","[0.4712599813938141, 0.5853084325790405, -0.03655046969652176]","[0.38492244482040405, 0.5717751979827881, 0.02839968353509903]","[0.38116317987442017, 0.4718145728111267, -0.013061762787401676]","[0.3590499758720398, 0.5187392234802246, -0.040483150631189346]","[0.3618178069591522, 0.5771026015281677, -0.05178700387477875]","[0.44412389397621155, 0.5646355748176575, 0.0317157581448555]","[0.4581904709339142, 0.4406707286834717, -0.013466623611748219]","[0.4228363633155823, 0.48719438910484314, -0.030347052961587906]","[0.4187394082546234, 0.5435985922813416, -0.02600882761180401]","[0.495938777923584, 0.570440411567688, 0.022146159783005714]","[0.518452525138855, 0.4563983082771301, -0.02372165396809578]","[0.47325459122657776, 0.49910393357276917, -0.030355896800756454]","[0.4631249010562897, 0.5572633147239685, -0.018646884709596634]","[0.5525630116462708, 0.5881022810935974, 0.007391701452434063]","[0.5543695092201233, 0.5066438913345337, -0.0293709896504879]","[0.5164870619773865, 0.5288450121879578, -0.04071517288684845]","[0.5053525567054749, 0.5767626762390137, -0.038620516657829285]"
L,"[0.5251384973526001, 0.8397203087806702, 3.469097578090441e-07]","[0.6212154030799866, 0.7823923826217651, -0.016913654282689095]","[0.6487981677055359, 0.6623720526695251, -0.008968224748969078]","[0.607024073600769, 0.5756787061691284, -0.0036271843127906322]","[0.5182379484176636, 0.5910053849220276, 0.005820222664624453]","[0.6083890795707703, 0.5720282793045044, 0.02229481376707554]","[0.6056301593780518, 0.47503820061683655, -0.0020584200974553823]","[0.6359164118766785, 0.4924192428588867, -0.02258763089776039]","[0.6398749351501465, 0.5490572452545166, -0.02948540262877941]","[0.5570089221000671, 0.5637722015380859, 0.01630939356982708]","[0.5345972776412964, 0.4348808825016022, -0.007675716653466225]","[0.5769712924957275, 0.4601079523563385, -0.02433159574866295]","[0.579610288143158, 0.5312279462814331, -0.0251971036195755]","[0.501639187335968, 0.5742672681808472, 0.0031378567218780518]","[0.4803856611251831, 0.4559633731842041, -0.023411091417074203]","[0.5237174034118652, 0.4838188886642456, -0.035734664648771286]","[0.531230092048645, 0.5433881282806396, -0.03082261048257351]","[0.4459317624568939, 0.6002985239028931, -0.012854478321969509]","[0.43988654017448425, 0.5016612410545349, -0.03826907277107239]","[0.47946304082870483, 0.5150175094604492, -0.050121426582336426]","[0.49406686425209045, 0.5635386109352112, -0.049604132771492004]"
