Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.35853514075279236, 0.6783913373947144, 2.739436411047791e-07]","[0.4795300364494324, 0.6278780102729797, 0.04930278658866882]","[0.5619043111801147, 0.6015286445617676, 0.007488508243113756]","[0.6308618783950806, 0.5968573093414307, -0.04235268011689186]","[0.7122049927711487, 0.5834267735481262, -0.09498649835586548]","[0.5134775042533875, 0.46495866775512695, -0.10892189294099808]","[0.6346799731254578, 0.49960091710090637, -0.12052139639854431]","[0.7049059271812439, 0.5237663388252258, -0.0947413519024849]","[0.7472872734069824, 0.5429891347885132, -0.07616021484136581]","[0.49283158779144287, 0.5013372302055359, -0.16075730323791504]","[0.6100730895996094, 0.5611943602561951, -0.14067257940769196]","[0.5661936402320862, 0.6041855216026306, -0.06443895399570465]","[0.5313519835472107, 0.6021475791931152, -0.026442380622029305]","[0.4747908115386963, 0.5523726344108582, -0.2061353176832199]","[0.58827143907547, 0.6121796369552612, -0.17657515406608582]","[0.5422059893608093, 0.6483299732208252, -0.11223123222589493]","[0.5065535306930542, 0.6353342533111572, -0.0949888676404953]","[0.47317618131637573, 0.6105254292488098, -0.2489091157913208]","[0.541740357875824, 0.6640983819961548, -0.2141750007867813]","[0.508232057094574, 0.6857300996780396, -0.1734362542629242]","[0.4693412780761719, 0.6663110256195068, -0.16524675488471985]"
"[0.3647286891937256, 0.6868289113044739, -4.9103682897566614e-08]","[0.4746914207935333, 0.6215280890464783, 0.12144503742456436]","[0.57005774974823, 0.5921470522880554, 0.11385641992092133]","[0.6458521485328674, 0.589091420173645, 0.08254525065422058]","[0.7198768258094788, 0.5858526825904846, 0.04231738671660423]","[0.5597125291824341, 0.47444382309913635, -0.014784093014895916]","[0.6884598731994629, 0.524846076965332, 0.006735207978636026]","[0.7575210332870483, 0.5512641668319702, 0.04271944612264633]","[0.8054577112197876, 0.5662487149238586, 0.060628361999988556]","[0.5482357740402222, 0.521052360534668, -0.09625549614429474]","[0.6634342074394226, 0.5835270285606384, -0.057330284267663956]","[0.6019145846366882, 0.6272409558296204, 0.003448246978223324]","[0.5570460557937622, 0.6225170493125916, 0.027007397264242172]","[0.5413063764572144, 0.5782307386398315, -0.1638113558292389]","[0.6443877816200256, 0.638332724571228, -0.10559190809726715]","[0.5821543335914612, 0.6738235354423523, -0.048532065004110336]","[0.5417198538780212, 0.663140594959259, -0.04421424865722656]","[0.5495080947875977, 0.6363252997398376, -0.22310225665569305]","[0.6147960424423218, 0.6841525435447693, -0.16488677263259888]","[0.565865159034729, 0.7065672874450684, -0.1228766068816185]","[0.5241424441337585, 0.6930107474327087, -0.11877746134996414]"
"[0.6396003365516663, 0.7023986577987671, -7.353839919232996e-07]","[0.5535196661949158, 0.6365328431129456, 0.000534325314220041]","[0.4754892587661743, 0.5846480131149292, -0.023665878921747208]","[0.3900313973426819, 0.5727825164794922, -0.05219599977135658]","[0.31997668743133545, 0.5733630061149597, -0.07772371917963028]","[0.5147342085838318, 0.4561269283294678, -0.036670707166194916]","[0.41362518072128296, 0.4925823509693146, -0.061702702194452286]","[0.3599618673324585, 0.5222774147987366, -0.07408305257558823]","[0.31625285744667053, 0.5362269878387451, -0.08247707784175873]","[0.545409619808197, 0.4814702570438385, -0.05923663452267647]","[0.4241994619369507, 0.5630784034729004, -0.06918194890022278]","[0.456197589635849, 0.5974699854850769, -0.06095118075609207]","[0.49613797664642334, 0.5950445532798767, -0.06047120317816734]","[0.5704883337020874, 0.534507155418396, -0.08168384432792664]","[0.44835567474365234, 0.6141859292984009, -0.08270637691020966]","[0.4836655557155609, 0.635165810585022, -0.05740975961089134]","[0.518444299697876, 0.6195098757743835, -0.04748174175620079]","[0.586297333240509, 0.595711350440979, -0.10713806748390198]","[0.4857900142669678, 0.6528891921043396, -0.10691370069980621]","[0.5030617117881775, 0.6660090684890747, -0.08646628260612488]","[0.5296335816383362, 0.6544015407562256, -0.07305537164211273]"
"[0.3526647090911865, 0.6801435351371765, 4.977758294444357e-07]","[0.400427907705307, 0.6027016639709473, 0.008303680457174778]","[0.513928234577179, 0.5726364850997925, -0.012519503943622112]","[0.6225839853286743, 0.5857323408126831, -0.03650656342506409]","[0.6992707252502441, 0.6005740165710449, -0.05911868438124657]","[0.5133965611457825, 0.4719788432121277, -0.057416222989559174]","[0.6427440643310547, 0.5176898837089539, -0.09249690175056458]","[0.7188528776168823, 0.553977370262146, -0.10603813827037811]","[0.7748219966888428, 0.5805398225784302, -0.11360792070627213]","[0.49931690096855164, 0.5056738257408142, -0.08302656561136246]","[0.6464345455169678, 0.5883875489234924, -0.12240392714738846]","[0.6091780662536621, 0.6235138177871704, -0.11372692137956619]","[0.5687114000320435, 0.6139951348304749, -0.1025337278842926]","[0.48937177658081055, 0.5651143789291382, -0.10598073154687881]","[0.6278001070022583, 0.6459047794342041, -0.13543446362018585]","[0.5836151242256165, 0.6721318364143372, -0.10596019774675369]","[0.542325496673584, 0.6569415330886841, -0.08215651661157608]","[0.4806186258792877, 0.6298866271972656, -0.1284213811159134]","[0.5854979157447815, 0.7037560939788818, -0.1378028690814972]","[0.5514082312583923, 0.71744304895401, -0.11508666723966599]","[0.5128522515296936, 0.6949728727340698, -0.09812856465578079]"
"[0.5978021621704102, 0.7831271886825562, -7.398832622129703e-07]","[0.5251617431640625, 0.689581036567688, -0.0639820471405983]","[0.44727781414985657, 0.6115261316299438, -0.1224101334810257]","[0.3700750470161438, 0.5742793679237366, -0.17773732542991638]","[0.2933369278907776, 0.5628902912139893, -0.22278305888175964]","[0.5797895789146423, 0.44134321808815, -0.09492940455675125]","[0.47126713395118713, 0.4879985451698303, -0.15386025607585907]","[0.43085354566574097, 0.5266084671020508, -0.17525500059127808]","[0.4190360903739929, 0.5254007577896118, -0.18736401200294495]","[0.6420103907585144, 0.47875428199768066, -0.10028792917728424]","[0.4987921118736267, 0.5659934878349304, -0.15101195871829987]","[0.49831730127334595, 0.6209053993225098, -0.14440912008285522]","[0.5455747842788696, 0.6090468764305115, -0.13832241296768188]","[0.6839990615844727, 0.5438203811645508, -0.11434417217969894]","[0.5417660474777222, 0.6285241842269897, -0.15768441557884216]","[0.5372748970985413, 0.6788442730903625, -0.12942205369472504]","[0.577204167842865, 0.6723977327346802, -0.10927307605743408]","[0.7102982997894287, 0.6182460188865662, -0.13878566026687622]","[0.6022197008132935, 0.6868773698806763, -0.16578057408332825]","[0.5713006258010864, 0.7161708474159241, -0.15342481434345245]","[0.5821859836578369, 0.7088558673858643, -0.1415599286556244]"
"[0.369753897190094, 0.6820739507675171, 4.247054334882705e-07]","[0.47533586621284485, 0.6439499855041504, -0.03783204406499863]","[0.5485302209854126, 0.6060968041419983, -0.08150866627693176]","[0.6086787581443787, 0.5932657718658447, -0.12246978282928467]","[0.6717433929443359, 0.5887246131896973, -0.16011515259742737]","[0.461897611618042, 0.4761847257614136, -0.09696341305971146]","[0.5226218104362488, 0.5063024163246155, -0.1521337926387787]","[0.5649082064628601, 0.5403274297714233, -0.18643739819526672]","[0.5961468815803528, 0.5714110136032104, -0.2096419483423233]","[0.41004490852355957, 0.5008766055107117, -0.10734677314758301]","[0.5115492343902588, 0.5880510807037354, -0.16569162905216217]","[0.5122723579406738, 0.6365104913711548, -0.175035297870636]","[0.4985789656639099, 0.6484629511833191, -0.18040218949317932]","[0.37023448944091797, 0.553868293762207, -0.12034834921360016]","[0.4741996228694916, 0.6452021598815918, -0.16982942819595337]","[0.4801696538925171, 0.6751495599746704, -0.15541811287403107]","[0.4631578326225281, 0.6695905327796936, -0.1430833339691162]","[0.3415223956108093, 0.6143028736114502, -0.1375425010919571]","[0.4320886731147766, 0.6879810094833374, -0.16960503160953522]","[0.45144909620285034, 0.7013387084007263, -0.16079674661159515]","[0.44488221406936646, 0.6842597723007202, -0.15288043022155762]"
"[0.36149561405181885, 0.7550734281539917, 1.611638680287797e-07]","[0.4796627163887024, 0.6806722283363342, -0.020277146250009537]","[0.5561020970344543, 0.6075990200042725, -0.056753579527139664]","[0.6279160976409912, 0.5707464218139648, -0.09666693955659866]","[0.7100778818130493, 0.5677706003189087, -0.13377231359481812]","[0.4508702754974365, 0.4497460722923279, -0.06763879954814911]","[0.52235347032547, 0.4645395874977112, -0.12188134342432022]","[0.5830647349357605, 0.4906899333000183, -0.1547304391860962]","[0.6297293305397034, 0.5164693593978882, -0.17789603769779205]","[0.38948631286621094, 0.4734519124031067, -0.08964288979768753]","[0.5213838219642639, 0.5597885847091675, -0.1541198492050171]","[0.5166538953781128, 0.6351768970489502, -0.1641143560409546]","[0.49001404643058777, 0.655523955821991, -0.1660008281469345]","[0.3442893326282501, 0.5363151431083679, -0.11410310119390488]","[0.47666725516319275, 0.6310009360313416, -0.1755782663822174]","[0.4769406020641327, 0.6800068020820618, -0.16358458995819092]","[0.44804126024246216, 0.6782459616661072, -0.14750434458255768]","[0.31079280376434326, 0.6111417412757874, -0.14093667268753052]","[0.4252895414829254, 0.6893628835678101, -0.17843736708164215]","[0.45066046714782715, 0.7173250913619995, -0.1689736694097519]","[0.4398164749145508, 0.7057432532310486, -0.1574079990386963]"
"[0.6952683925628662, 0.6947178840637207, -8.199980356948799e-07]","[0.6100830435752869, 0.6087603569030762, 0.014388609677553177]","[0.5187829732894897, 0.5494845509529114, -0.007657330017536879]","[0.4308634400367737, 0.516803503036499, -0.03262733668088913]","[0.3630065321922302, 0.49543511867523193, -0.056458957493305206]","[0.5132848620414734, 0.4381236433982849, -0.06137283146381378]","[0.3581564128398895, 0.47859227657318115, -0.08738896995782852]","[0.3075772523880005, 0.5298159718513489, -0.08279726654291153]","[0.29003697633743286, 0.5411673784255981, -0.07839051634073257]","[0.5477781295776367, 0.46194911003112793, -0.08837045729160309]","[0.3605900704860687, 0.5556420087814331, -0.10113930702209473]","[0.3877229690551758, 0.6138995289802551, -0.07113754749298096]","[0.4276139736175537, 0.6235015392303467, -0.05194195359945297]","[0.570400595664978, 0.5189156532287598, -0.11254820227622986]","[0.40063250064849854, 0.6170826554298401, -0.12311355769634247]","[0.4367460310459137, 0.6589801907539368, -0.0824224054813385]","[0.47869837284088135, 0.652490496635437, -0.058377455919981]","[0.5845596790313721, 0.5868083238601685, -0.13636791706085205]","[0.4572851359844208, 0.6684413552284241, -0.1524830311536789]","[0.4747665822505951, 0.6926206946372986, -0.13351929187774658]","[0.5027444362640381, 0.685124933719635, -0.11586208641529083]"
"[0.3346543312072754, 0.6987226009368896, 3.9185769651339797e-07]","[0.43505609035491943, 0.6320146322250366, -0.025046491995453835]","[0.5273782014846802, 0.6031859517097473, -0.08808506280183792]","[0.6135155558586121, 0.6071709990501404, -0.14329931139945984]","[0.7020488381385803, 0.6017612814903259, -0.19508343935012817]","[0.48088210821151733, 0.46859100461006165, -0.18698987364768982]","[0.5981523990631104, 0.5189207196235657, -0.23658719658851624]","[0.6670213937759399, 0.5510841608047485, -0.2374560385942459]","[0.7124420404434204, 0.5842605829238892, -0.23394475877285004]","[0.4415522813796997, 0.5119390487670898, -0.2081242948770523]","[0.5782817006111145, 0.6039552688598633, -0.2307104915380478]","[0.5335553884506226, 0.6340776681900024, -0.1709030121564865]","[0.49408265948295593, 0.6221572756767273, -0.13730986416339874]","[0.4104112684726715, 0.575352132320404, -0.2288639396429062]","[0.5427033305168152, 0.6634622812271118, -0.24537517130374908]","[0.5007480978965759, 0.6825083494186401, -0.18276973068714142]","[0.46439436078071594, 0.662804901599884, -0.15177665650844574]","[0.39090853929519653, 0.645930290222168, -0.2536265552043915]","[0.49151408672332764, 0.7108033299446106, -0.2568921446800232]","[0.47345638275146484, 0.7208505272865295, -0.2221975326538086]","[0.43903848528862, 0.6996467709541321, -0.20639881491661072]"
"[0.5875245332717896, 0.6745444536209106, -6.837165074102813e-07]","[0.5253500938415527, 0.6335855722427368, -0.06696631759405136]","[0.45258742570877075, 0.59958815574646, -0.12291812896728516]","[0.3815515637397766, 0.5983814001083374, -0.17188070714473724]","[0.3320268988609314, 0.6032933592796326, -0.2133217304944992]","[0.56371009349823, 0.45785707235336304, -0.11027783155441284]","[0.48202499747276306, 0.5190568566322327, -0.17118170857429504]","[0.43571197986602783, 0.5682770013809204, -0.19867563247680664]","[0.41215044260025024, 0.5882524847984314, -0.21305765211582184]","[0.6321641802787781, 0.49828770756721497, -0.10867881029844284]","[0.5130735635757446, 0.5965961813926697, -0.16105994582176208]","[0.4941807985305786, 0.6444998979568481, -0.16614390909671783]","[0.5269714593887329, 0.6395998597145081, -0.1680167019367218]","[0.6745346188545227, 0.5629861354827881, -0.11339910328388214]","[0.5547976493835449, 0.6612880229949951, -0.15697237849235535]","[0.52652907371521, 0.6942682266235352, -0.14115752279758453]","[0.5459154844284058, 0.6828595995903015, -0.1286124587059021]","[0.6971445083618164, 0.6301312446594238, -0.12647899985313416]","[0.6024535298347473, 0.7087362408638, -0.15720821917057037]","[0.5680597424507141, 0.7240415215492249, -0.1511475145816803]","[0.5728272795677185, 0.7064715027809143, -0.14243970811367035]"
"[0.3628985583782196, 0.7011082172393799, 1.1451792403249783e-08]","[0.43316587805747986, 0.5889260172843933, 0.06858398020267487]","[0.5354043245315552, 0.5454179048538208, 0.06884585320949554]","[0.6274569630622864, 0.5543878674507141, 0.053889449685811996]","[0.6919232606887817, 0.589588463306427, 0.035423628985881805]","[0.5637640357017517, 0.46252983808517456, 0.0013260976411402225]","[0.7055779099464417, 0.5178242325782776, 0.0038609569892287254]","[0.7740699052810669, 0.5537561774253845, 0.01451115868985653]","[0.8319295048713684, 0.5756956934928894, 0.01828693598508835]","[0.5813189148902893, 0.5052439570426941, -0.04533001035451889]","[0.7170456051826477, 0.594367504119873, -0.03278893232345581]","[0.6749281287193298, 0.6340250968933105, -0.0018975255079567432]","[0.6328087449073792, 0.6296095848083496, 0.013230434618890285]","[0.588927149772644, 0.5681984424591064, -0.08430415391921997]","[0.6999181509017944, 0.655447781085968, -0.0574517659842968]","[0.6509061455726624, 0.6815425157546997, -0.017964240163564682]","[0.6086181402206421, 0.6687833070755005, -0.005525697022676468]","[0.5903910398483276, 0.6374922394752502, -0.11956076323986053]","[0.6615797877311707, 0.7073442935943604, -0.08545055985450745]","[0.6193239092826843, 0.7252099514007568, -0.054339367896318436]","[0.5813199281692505, 0.7092234492301941, -0.042850833386182785]"
"[0.3282185196876526, 0.7038787603378296, 4.904024422103248e-07]","[0.4230378568172455, 0.6365441083908081, 0.01785176247358322]","[0.5325747728347778, 0.6023836731910706, -0.021255038678646088]","[0.6360079050064087, 0.6050565838813782, -0.06626496464014053]","[0.7246508598327637, 0.602708101272583, -0.11237665265798569]","[0.4941265881061554, 0.45849114656448364, -0.09816339612007141]","[0.624350368976593, 0.5042169094085693, -0.14106327295303345]","[0.6998318433761597, 0.5355251431465149, -0.15322697162628174]","[0.7567298412322998, 0.5618649125099182, -0.1597481071949005]","[0.46301499009132385, 0.49437862634658813, -0.1387532353401184]","[0.6123167872428894, 0.5812230706214905, -0.16961610317230225]","[0.5720775127410889, 0.6207783818244934, -0.1363738626241684]","[0.5321880578994751, 0.6147124171257019, -0.11629556864500046]","[0.43833863735198975, 0.5540490746498108, -0.17656280100345612]","[0.5782901048660278, 0.641297459602356, -0.1940881758928299]","[0.5352359414100647, 0.6700061559677124, -0.14208106696605682]","[0.4914442300796509, 0.654931902885437, -0.11389300972223282]","[0.4205150604248047, 0.6198692321777344, -0.21479275822639465]","[0.5315248370170593, 0.6890299320220947, -0.21268796920776367]","[0.5008438229560852, 0.7046772241592407, -0.17727898061275482]","[0.4581282436847687, 0.6842663288116455, -0.15938328206539154]"
"[0.614398181438446, 0.6488603353500366, -5.202361421652313e-07]","[0.5581005215644836, 0.5640494227409363, -0.002976976800709963]","[0.4615862965583801, 0.5237159729003906, -0.025153890252113342]","[0.36493194103240967, 0.5333786010742188, -0.050912342965602875]","[0.3010365962982178, 0.5646159052848816, -0.07749046385288239]","[0.44161126017570496, 0.43119171261787415, -0.035380132496356964]","[0.2967527508735657, 0.4888649880886078, -0.067723847925663]","[0.24009011685848236, 0.5376982688903809, -0.08722854405641556]","[0.2131650149822235, 0.55731201171875, -0.10142208635807037]","[0.43530601263046265, 0.4592939615249634, -0.05601334571838379]","[0.2893756031990051, 0.5539228320121765, -0.0753389298915863]","[0.32256418466567993, 0.5974434614181519, -0.07700138539075851]","[0.36326348781585693, 0.5998438596725464, -0.08318282663822174]","[0.4315391480922699, 0.5090370774269104, -0.07718342542648315]","[0.31123119592666626, 0.617956817150116, -0.09092599153518677]","[0.36080044507980347, 0.6511073112487793, -0.0778728798031807]","[0.4064348042011261, 0.6379120349884033, -0.0749470517039299]","[0.4288763999938965, 0.5709856748580933, -0.10122108459472656]","[0.34718286991119385, 0.6581572890281677, -0.11895483732223511]","[0.3841193914413452, 0.6805134415626526, -0.11230901628732681]","[0.4230065643787384, 0.6700355410575867, -0.10672462731599808]"
