Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
L,"[0.5382116436958313, 0.7569314241409302, -1.9822144281533838e-07]","[0.6407648324966431, 0.6942237615585327, -0.03559690713882446]","[0.6944150924682617, 0.5700762271881104, -0.048622120171785355]","[0.7042539715766907, 0.4576195478439331, -0.06123156100511551]","[0.6337419748306274, 0.4154878258705139, -0.06713515520095825]","[0.6606935262680054, 0.49735918641090393, 0.0014085539150983095]","[0.6719122529029846, 0.412405788898468, -0.031701166182756424]","[0.6689944863319397, 0.4673704206943512, -0.05373924970626831]","[0.6707631945610046, 0.5265473127365112, -0.06570684164762497]","[0.6125348806381226, 0.49147242307662964, -0.0026604430750012398]","[0.6186662316322327, 0.39272281527519226, -0.06160653755068779]","[0.624806821346283, 0.4727732241153717, -0.09350316226482391]","[0.6276387572288513, 0.5477608442306519, -0.10116112977266312]","[0.5528591871261597, 0.48741576075553894, -0.015405701473355293]","[0.5612077713012695, 0.39768877625465393, -0.07738213986158371]","[0.5989586710929871, 0.48099467158317566, -0.10812428593635559]","[0.6234176158905029, 0.5589419603347778, -0.11365994065999985]","[0.4923405647277832, 0.4937112629413605, -0.029897764325141907]","[0.4647793769836426, 0.39410361647605896, -0.06716836988925934]","[0.45417171716690063, 0.32779738306999207, -0.09418662637472153]","[0.44730833172798157, 0.26661497354507446, -0.11168204993009567]"
L,"[0.545802891254425, 0.7015533447265625, -2.935657050784357e-07]","[0.6166375279426575, 0.6502839922904968, -0.017785096541047096]","[0.6539045572280884, 0.5498608350753784, -0.026397190988063812]","[0.6659497618675232, 0.46883225440979004, -0.03677068650722504]","[0.616884708404541, 0.43118593096733093, -0.04090593382716179]","[0.608132004737854, 0.48744630813598633, 0.008867146447300911]","[0.637198805809021, 0.4357319176197052, -0.021422751247882843]","[0.6311436891555786, 0.4837918281555176, -0.03889954090118408]","[0.6235413551330566, 0.5298492312431335, -0.04470685124397278]","[0.5737333297729492, 0.4846678078174591, 0.0016799812437966466]","[0.6052222847938538, 0.41609326004981995, -0.046531885862350464]","[0.6045418977737427, 0.4849310517311096, -0.0685277134180069]","[0.6017338633537292, 0.5447210073471069, -0.0687798485159874]","[0.5323727130889893, 0.47943368554115295, -0.012167972512543201]","[0.5658262372016907, 0.41170182824134827, -0.059944137930870056]","[0.5949661135673523, 0.4852263033390045, -0.07830680906772614]","[0.6054983735084534, 0.5519648790359497, -0.07636032998561859]","[0.493866503238678, 0.483146607875824, -0.026369929313659668]","[0.47864049673080444, 0.4067264795303345, -0.05290967971086502]","[0.4678603410720825, 0.3522230386734009, -0.0720984935760498]","[0.45782265067100525, 0.2981090545654297, -0.08317035436630249]"
R,"[0.47789761424064636, 0.7487119436264038, -6.900539801790728e-07]","[0.38817083835601807, 0.6953461766242981, -0.05893297865986824]","[0.34982797503471375, 0.5677542686462402, -0.07436569035053253]","[0.3848974108695984, 0.45959654450416565, -0.08377530425786972]","[0.44991710782051086, 0.408591091632843, -0.08176367729902267]","[0.3371354341506958, 0.5018240213394165, -0.0048017618246376514]","[0.3401988446712494, 0.40339452028274536, -0.0474068783223629]","[0.3644481599330902, 0.45990774035453796, -0.07456280291080475]","[0.3684007525444031, 0.5025380849838257, -0.08131121844053268]","[0.39937713742256165, 0.48632919788360596, 0.01627337373793125]","[0.41136035323143005, 0.38798943161964417, -0.026417672634124756]","[0.42330700159072876, 0.4702839255332947, -0.05227050930261612]","[0.4164844751358032, 0.5056017637252808, -0.05648919939994812]","[0.45588916540145874, 0.4820876717567444, 0.027098024263978004]","[0.47397178411483765, 0.4085002541542053, -0.013833733275532722]","[0.47163519263267517, 0.492186039686203, -0.025426868349313736]","[0.45666012167930603, 0.5518496632575989, -0.017612364143133163]","[0.5095297694206238, 0.48710519075393677, 0.03360848128795624]","[0.5083608031272888, 0.3936436176300049, 0.02076350897550583]","[0.5124526619911194, 0.34045034646987915, 0.01463361270725727]","[0.5092050433158875, 0.28884756565093994, 0.014960980042815208]"
L,"[0.520686149597168, 0.7150734066963196, -1.634178801168673e-07]","[0.6019375324249268, 0.6668980121612549, -0.042362794280052185]","[0.6485157012939453, 0.5604833960533142, -0.051276735961437225]","[0.6502817869186401, 0.4633924961090088, -0.057665690779685974]","[0.5856380462646484, 0.4320693016052246, -0.05368894338607788]","[0.6385332942008972, 0.4931345283985138, 0.014487700536847115]","[0.6516822576522827, 0.41878974437713623, -0.017063649371266365]","[0.6315246820449829, 0.4695165157318115, -0.035122841596603394]","[0.6239332556724548, 0.5120441913604736, -0.04002039134502411]","[0.5888755321502686, 0.4821036458015442, 0.019841093569993973]","[0.5910595655441284, 0.39930203557014465, -0.02821546420454979]","[0.5863513946533203, 0.4583212733268738, -0.05141497030854225]","[0.5937711596488953, 0.5005494356155396, -0.05238977074623108]","[0.5332566499710083, 0.4786304831504822, 0.014445948414504528]","[0.5317791104316711, 0.41758406162261963, -0.035273678600788116]","[0.551903486251831, 0.4890469014644623, -0.05715399980545044]","[0.5699584484100342, 0.5451951026916504, -0.05515426769852638]","[0.48027482628822327, 0.48473718762397766, 0.005899880081415176]","[0.4671693444252014, 0.4102003276348114, -0.015428663231432438]","[0.4614856243133545, 0.3601275086402893, -0.03062647394835949]","[0.46085691452026367, 0.3114025890827179, -0.037605561316013336]"
L,"[0.5530111789703369, 0.7580495476722717, -3.016006928646675e-07]","[0.6449946165084839, 0.6908477544784546, -0.024269329383969307]","[0.6957767605781555, 0.5701783299446106, -0.030720777809619904]","[0.7057707905769348, 0.4611845910549164, -0.03976702317595482]","[0.6397712826728821, 0.41505980491638184, -0.04251270368695259]","[0.6428807973861694, 0.48982885479927063, 0.020572790876030922]","[0.6603184938430786, 0.41047558188438416, -0.011249260976910591]","[0.6575198173522949, 0.47340530157089233, -0.032722897827625275]","[0.6568853259086609, 0.5344000458717346, -0.04024709388613701]","[0.5974237322807312, 0.48314210772514343, 0.013918822631239891]","[0.6121865510940552, 0.3844524621963501, -0.03858315572142601]","[0.623089075088501, 0.4564717411994934, -0.06960930675268173]","[0.6290594339370728, 0.5232416987419128, -0.07585884630680084]","[0.5411915183067322, 0.4792513847351074, -0.0007972036837600172]","[0.5609329342842102, 0.4015246033668518, -0.05521533265709877]","[0.6006957292556763, 0.4829787313938141, -0.08098207414150238]","[0.6216762065887451, 0.5593706369400024, -0.08181369304656982]","[0.4848770797252655, 0.48437637090682983, -0.01648828014731407]","[0.4700719714164734, 0.3914260268211365, -0.040336694568395615]","[0.4651355743408203, 0.3283708989620209, -0.05740991607308388]","[0.46049976348876953, 0.27219778299331665, -0.06765031069517136]"
L,"[0.5352787971496582, 0.7253444194793701, 7.557945735925387e-08]","[0.6255437731742859, 0.6641378998756409, -0.020924855023622513]","[0.6682776808738708, 0.5560883283615112, -0.029048433527350426]","[0.6799006462097168, 0.4653410017490387, -0.041579827666282654]","[0.6133163571357727, 0.4273998737335205, -0.048323486000299454]","[0.6192801594734192, 0.48775213956832886, 0.04195469617843628]","[0.6402674913406372, 0.4280295968055725, 0.010908685624599457]","[0.6402294635772705, 0.4816557466983795, -0.012501840479671955]","[0.6397104263305664, 0.5343180298805237, -0.020405927672982216]","[0.5796405673027039, 0.48569709062576294, 0.03489295393228531]","[0.6023877263069153, 0.407633513212204, -0.016513990238308907]","[0.6100283265113831, 0.47428184747695923, -0.05028269439935684]","[0.6167640089988708, 0.5339636206626892, -0.05554503574967384]","[0.5329986810684204, 0.4824344217777252, 0.018486352637410164]","[0.5579532384872437, 0.4229164123535156, -0.030750980600714684]","[0.5904402732849121, 0.4985523819923401, -0.06070396304130554]","[0.6075729131698608, 0.5627498626708984, -0.063402459025383]","[0.4853690266609192, 0.48649370670318604, 0.0011186350602656603]","[0.47227802872657776, 0.4044579863548279, -0.017899207770824432]","[0.466016948223114, 0.35182034969329834, -0.03625885024666786]","[0.4620385766029358, 0.3056444525718689, -0.046098943799734116]"
L,"[0.5174768567085266, 0.6989185810089111, 2.1225689650350432e-08]","[0.6042083501815796, 0.6378219127655029, -0.06529554724693298]","[0.6369671821594238, 0.5452483892440796, -0.08609393984079361]","[0.622570812702179, 0.4569128155708313, -0.10304801166057587]","[0.5592426061630249, 0.4226408302783966, -0.10725462436676025]","[0.6485793590545654, 0.4811767339706421, 0.029179977253079414]","[0.6405811905860901, 0.41316288709640503, -0.010698926635086536]","[0.623302698135376, 0.4650583565235138, -0.03713241592049599]","[0.6204895973205566, 0.5035131573677063, -0.0444912426173687]","[0.5883087515830994, 0.4794311225414276, 0.04437004029750824]","[0.5791569352149963, 0.40592408180236816, -0.016705835238099098]","[0.5712668299674988, 0.4800451993942261, -0.05103292316198349]","[0.5817285776138306, 0.5195913314819336, -0.053788717836141586]","[0.5320499539375305, 0.4789905548095703, 0.043904710561037064]","[0.5157604813575745, 0.41936150193214417, -0.017970656976103783]","[0.53110271692276, 0.4910370707511902, -0.04872211441397667]","[0.5515539050102234, 0.536727249622345, -0.046733323484659195]","[0.4835417866706848, 0.48319846391677856, 0.03827253356575966]","[0.4691857099533081, 0.4129262864589691, 0.012597269378602505]","[0.4645146429538727, 0.3690680265426636, -0.005430073942989111]","[0.4665665328502655, 0.3240273594856262, -0.01105051301419735]"
R,"[0.4602026343345642, 0.704850435256958, -7.729944968559721e-07]","[0.37304940819740295, 0.6432018280029297, 0.03242669254541397]","[0.33806028962135315, 0.5559114217758179, 0.04828677326440811]","[0.33040839433670044, 0.4836864173412323, 0.0443466380238533]","[0.3596060872077942, 0.44677022099494934, 0.04358494654297829]","[0.42872631549835205, 0.4909457564353943, 0.12738832831382751]","[0.4004803001880646, 0.42324766516685486, 0.11916263401508331]","[0.3749505281448364, 0.45798027515411377, 0.10344205796718597]","[0.36901941895484924, 0.49357175827026367, 0.1029144749045372]","[0.4551159143447876, 0.492664098739624, 0.09852166473865509]","[0.4137609302997589, 0.4202203154563904, 0.07372893393039703]","[0.3926423192024231, 0.4793420433998108, 0.041693806648254395]","[0.39186790585517883, 0.5245497822761536, 0.03761979937553406]","[0.4852305054664612, 0.48928725719451904, 0.06392776966094971]","[0.4301348924636841, 0.4264063537120819, 0.04686210677027702]","[0.40340426564216614, 0.4944387674331665, 0.0317954458296299]","[0.4070107638835907, 0.5511122345924377, 0.038219258189201355]","[0.5214157104492188, 0.48742586374282837, 0.03073425218462944]","[0.5232396125793457, 0.3966207504272461, 0.045812781900167465]","[0.5245204567909241, 0.3468332290649414, 0.05676623433828354]","[0.5367588400840759, 0.30562764406204224, 0.07022475451231003]"
R,"[0.47313928604125977, 0.7496368288993835, -9.660424638013865e-08]","[0.3940628468990326, 0.6664093136787415, -0.0806349366903305]","[0.36793217062950134, 0.5533997416496277, -0.09540003538131714]","[0.4044296145439148, 0.45240429043769836, -0.10056620091199875]","[0.45999670028686523, 0.38902950286865234, -0.09414578229188919]","[0.3215339779853821, 0.48800843954086304, 0.035276610404253006]","[0.348232626914978, 0.3924833834171295, -0.009537645615637302]","[0.3713169991970062, 0.4265260696411133, -0.05309998616576195]","[0.37840238213539124, 0.4717215895652771, -0.06762021034955978]","[0.39105358719825745, 0.49094974994659424, 0.06778857111930847]","[0.42269033193588257, 0.3743142783641815, 0.012744112871587276]","[0.43208667635917664, 0.40854203701019287, -0.04673364385962486]","[0.4204254150390625, 0.4481208026409149, -0.06591719388961792]","[0.4554653763771057, 0.489040732383728, 0.08510293066501617]","[0.47191452980041504, 0.39452144503593445, 0.041174910962581635]","[0.47416940331459045, 0.38933494687080383, -0.007265196647495031]","[0.46400508284568787, 0.3898193836212158, -0.021877694875001907]","[0.5062723755836487, 0.4895247220993042, 0.09661609679460526]","[0.5026981234550476, 0.39879074692726135, 0.09304342418909073]","[0.4970594346523285, 0.34270626306533813, 0.0808502584695816]","[0.48560309410095215, 0.2965497076511383, 0.07638853788375854]"
R,"[0.4552267789840698, 0.7177660465240479, -1.0058442967419978e-06]","[0.3682416081428528, 0.6409383416175842, 0.05875400826334953]","[0.33512288331985474, 0.5519843101501465, 0.07652341574430466]","[0.3254486322402954, 0.48228976130485535, 0.06607004255056381]","[0.3563350439071655, 0.4302613437175751, 0.059973545372486115]","[0.4464235007762909, 0.49017658829689026, 0.1435195952653885]","[0.39348363876342773, 0.4231759011745453, 0.11341410875320435]","[0.3696138262748718, 0.47715455293655396, 0.08310487866401672]","[0.37590038776397705, 0.5206182599067688, 0.07748956233263016]","[0.46496570110321045, 0.4956839084625244, 0.09111929684877396]","[0.3995514512062073, 0.4066045880317688, 0.03941977024078369]","[0.37914904952049255, 0.48734530806541443, -0.0015847365139052272]","[0.38701680302619934, 0.5463060140609741, -0.004827410448342562]","[0.4873918294906616, 0.4912932813167572, 0.03308070823550224]","[0.40842655301094055, 0.41247159242630005, -0.005500865634530783]","[0.38144418597221375, 0.5004149079322815, -0.019176166504621506]","[0.3977058529853821, 0.5651440620422363, -0.004873075522482395]","[0.5156354308128357, 0.48350244760513306, -0.021513892337679863]","[0.5237457752227783, 0.3785446286201477, -0.012325016781687737]","[0.5276148319244385, 0.32636699080467224, 0.002839569468051195]","[0.5494510531425476, 0.280690997838974, 0.021444162353873253]"
