Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.5047097206115723, 0.7033157348632812, -1.1862903193105012e-07]","[0.5366458892822266, 0.6616464257240295, -0.09780973941087723]","[0.5507410168647766, 0.6328709125518799, -0.16735859215259552]","[0.5355309844017029, 0.6487609148025513, -0.22000540792942047]","[0.508724570274353, 0.6846831440925598, -0.26571500301361084]","[0.3929808735847473, 0.5315565466880798, -0.1644807904958725]","[0.4367212653160095, 0.6090137958526611, -0.22423502802848816]","[0.48508110642433167, 0.6317573189735413, -0.242845356464386]","[0.498771071434021, 0.6194086670875549, -0.25218507647514343]","[0.3523234724998474, 0.5877072215080261, -0.14635375142097473]","[0.4193170666694641, 0.6763708591461182, -0.20269446074962616]","[0.47744688391685486, 0.6892504096031189, -0.20380616188049316]","[0.4827907681465149, 0.6601552367210388, -0.2032334953546524]","[0.3380364775657654, 0.6479897499084473, -0.13437645137310028]","[0.40050044655799866, 0.7284828424453735, -0.1934536099433899]","[0.453995943069458, 0.7267215251922607, -0.18762262165546417]","[0.46287015080451965, 0.6948633790016174, -0.1797216832637787]","[0.34159085154533386, 0.6985287070274353, -0.1304754763841629]","[0.3707800507545471, 0.7681076526641846, -0.17689764499664307]","[0.39126044511795044, 0.8061236143112183, -0.18001917004585266]","[0.3846602439880371, 0.8184595108032227, -0.1776726394891739]"
"[0.7049576640129089, 0.6870918273925781, -4.3554888407015824e-07]","[0.6116756796836853, 0.6212998032569885, -0.015510841272771358]","[0.49816933274269104, 0.602630615234375, -0.050285156816244125]","[0.40161675214767456, 0.637708306312561, -0.08211315423250198]","[0.3456237316131592, 0.6932274103164673, -0.11541352421045303]","[0.5091614127159119, 0.5261778235435486, -0.09509129077196121]","[0.381500780582428, 0.631262481212616, -0.11395319551229477]","[0.404507577419281, 0.6791334748268127, -0.11081203073263168]","[0.44107547402381897, 0.6689085960388184, -0.11285260319709778]","[0.559894323348999, 0.5708812475204468, -0.11053178459405899]","[0.42125532031059265, 0.6987338662147522, -0.12313104420900345]","[0.45666995644569397, 0.7213472127914429, -0.1118694394826889]","[0.4870888590812683, 0.7081601023674011, -0.11438272148370743]","[0.5953590869903564, 0.6347444653511047, -0.12249715626239777]","[0.4608648419380188, 0.7554373741149902, -0.13406869769096375]","[0.4894782304763794, 0.7726855874061584, -0.11985520273447037]","[0.5186489820480347, 0.7598794102668762, -0.12008816003799438]","[0.6235855221748352, 0.7016178369522095, -0.13522648811340332]","[0.502452552318573, 0.781554102897644, -0.15507933497428894]","[0.4707143008708954, 0.8018830418586731, -0.15272925794124603]","[0.4497954845428467, 0.803674578666687, -0.15434901416301727]"
"[0.69166100025177, 0.6570863723754883, -6.99327415532025e-07]","[0.588982880115509, 0.5868818759918213, 0.058858126401901245]","[0.48007872700691223, 0.5908417105674744, 0.042551301419734955]","[0.38595840334892273, 0.6392698884010315, 0.016550283879041672]","[0.31946349143981934, 0.6933598518371582, -0.014574120752513409]","[0.43233972787857056, 0.5269904136657715, -0.06904958933591843]","[0.3396984338760376, 0.6295504570007324, -0.05992117524147034]","[0.37090176343917847, 0.6693811416625977, -0.02696220576763153]","[0.40357866883277893, 0.6631907820701599, -0.011281526647508144]","[0.4531329870223999, 0.5653093457221985, -0.11326771974563599]","[0.36686059832572937, 0.6841694116592407, -0.09531431645154953]","[0.4170301854610443, 0.7123814225196838, -0.04748335853219032]","[0.44825294613838196, 0.7041709423065186, -0.028110535815358162]","[0.47797998785972595, 0.6223949193954468, -0.14582303166389465]","[0.4037007689476013, 0.7241196036338806, -0.1212993785738945]","[0.4510203003883362, 0.7363500595092773, -0.07910755276679993]","[0.4848893880844116, 0.729874312877655, -0.06991870701313019]","[0.5058287382125854, 0.6843574643135071, -0.17356912791728973]","[0.43092671036720276, 0.7508142590522766, -0.17544089257717133]","[0.40077465772628784, 0.7800670266151428, -0.16762641072273254]","[0.3717574179172516, 0.8002323508262634, -0.1695849895477295]"
"[0.3505008816719055, 0.6335493326187134, -5.07232584823214e-07]","[0.44236230850219727, 0.5748128890991211, 0.004308184143155813]","[0.5482692718505859, 0.5839536786079407, -0.005384381860494614]","[0.6335174441337585, 0.6526253819465637, -0.016659878194332123]","[0.6802484393119812, 0.6995685696601868, -0.021273929625749588]","[0.6119621992111206, 0.5422940850257874, -0.030629394575953484]","[0.6746822595596313, 0.6578432321548462, -0.04720574989914894]","[0.6257522106170654, 0.6774209141731262, -0.043092142790555954]","[0.5927186608314514, 0.6638314127922058, -0.035888198763132095]","[0.5916396379470825, 0.5936337113380432, -0.04558241739869118]","[0.6483567953109741, 0.7140995860099792, -0.06334960460662842]","[0.5929141044616699, 0.7195318937301636, -0.05759785324335098]","[0.5620918869972229, 0.6916477084159851, -0.05095475912094116]","[0.5632259845733643, 0.6537016034126282, -0.05927785113453865]","[0.6158343553543091, 0.7613889575004578, -0.07596731930971146]","[0.5648388266563416, 0.7612324357032776, -0.06309778243303299]","[0.5340995192527771, 0.7351266741752625, -0.05075913295149803]","[0.5342110991477966, 0.7151761054992676, -0.07179277390241623]","[0.6247385144233704, 0.7866622805595398, -0.07879621535539627]","[0.6739153861999512, 0.8338436484336853, -0.07426273822784424]","[0.720726490020752, 0.8725735545158386, -0.0701836571097374]"
"[0.34513384103775024, 0.6624717712402344, -1.4150376159705047e-07]","[0.45187196135520935, 0.6330738067626953, 0.031389422714710236]","[0.5384647846221924, 0.6370717287063599, -0.0025140417274087667]","[0.6011412739753723, 0.6640889644622803, -0.030368711799383163]","[0.66344153881073, 0.696209192276001, -0.053466569632291794]","[0.534635066986084, 0.5522968769073486, -0.18890705704689026]","[0.6296437382698059, 0.6428064703941345, -0.16572685539722443]","[0.595550537109375, 0.6660699248313904, -0.08144030719995499]","[0.5624065399169922, 0.6681987643241882, -0.03261660411953926]","[0.4949893653392792, 0.6003642678260803, -0.2196638435125351]","[0.6061251163482666, 0.6931166052818298, -0.19451776146888733]","[0.553641676902771, 0.7067316174507141, -0.08842505514621735]","[0.5195173025131226, 0.6936631202697754, -0.03356515243649483]","[0.4642203450202942, 0.6534936428070068, -0.23843306303024292]","[0.5632256269454956, 0.7377579212188721, -0.20276294648647308]","[0.5216959714889526, 0.739256739616394, -0.11554006487131119]","[0.4861586093902588, 0.7107263803482056, -0.08647315204143524]","[0.4521090090274811, 0.7106568813323975, -0.2560189366340637]","[0.5248660445213318, 0.7668967247009277, -0.2756921648979187]","[0.5714565515518188, 0.8179057240486145, -0.2805729806423187]","[0.6135949492454529, 0.8526556491851807, -0.2978513836860657]"
"[0.3223796486854553, 0.6419786214828491, -1.3823415656588622e-07]","[0.3990463614463806, 0.5925321578979492, -0.012016411870718002]","[0.5213742852210999, 0.6090688705444336, -0.045577872544527054]","[0.6207300424575806, 0.670642077922821, -0.0697031021118164]","[0.6831393837928772, 0.7194082140922546, -0.08544188737869263]","[0.5103018283843994, 0.5536747574806213, -0.15730875730514526]","[0.6216199994087219, 0.6761991381645203, -0.18069861829280853]","[0.5861703157424927, 0.6925408840179443, -0.1520109623670578]","[0.551876962184906, 0.6741856336593628, -0.13066619634628296]","[0.4653072953224182, 0.611201286315918, -0.16863954067230225]","[0.5933998823165894, 0.7387793064117432, -0.19618691504001617]","[0.553789496421814, 0.7374640703201294, -0.156669482588768]","[0.5151337385177612, 0.7049177885055542, -0.13353689014911652]","[0.4270918667316437, 0.6749947667121887, -0.17334771156311035]","[0.551292359828949, 0.7837779521942139, -0.18485158681869507]","[0.5192856788635254, 0.7743362188339233, -0.13888044655323029]","[0.4801456332206726, 0.7395975589752197, -0.11548851430416107]","[0.39927852153778076, 0.7350221276283264, -0.1787746101617813]","[0.5050545334815979, 0.8160722255706787, -0.1990940123796463]","[0.5578514933586121, 0.8719951510429382, -0.19866812229156494]","[0.5957425236701965, 0.9165893793106079, -0.2027411013841629]"
"[0.395283967256546, 0.6006321907043457, 7.943207833704946e-07]","[0.4866243004798889, 0.5783101916313171, -0.06786785274744034]","[0.5570914149284363, 0.5895727276802063, -0.1458808332681656]","[0.6014270782470703, 0.6511479616165161, -0.2130877673625946]","[0.6093628406524658, 0.7143943905830383, -0.27852731943130493]","[0.4432114064693451, 0.5562678575515747, -0.2103586345911026]","[0.5341604948043823, 0.6472070813179016, -0.2683069109916687]","[0.5474411845207214, 0.6668969392776489, -0.2741665244102478]","[0.5264814496040344, 0.6684316992759705, -0.27305877208709717]","[0.3822951912879944, 0.6052898168563843, -0.2130579650402069]","[0.49251359701156616, 0.7124814987182617, -0.25751903653144836]","[0.5206146836280823, 0.720912754535675, -0.22203689813613892]","[0.5201499462127686, 0.7055007219314575, -0.1981537789106369]","[0.3460768461227417, 0.6602142453193665, -0.2164526730775833]","[0.45967310667037964, 0.7549529075622559, -0.24764838814735413]","[0.4979231059551239, 0.7563812732696533, -0.19671934843063354]","[0.5031424760818481, 0.7415170669555664, -0.1628156155347824]","[0.3280602693557739, 0.71402907371521, -0.22849173843860626]","[0.4069651961326599, 0.7922841906547546, -0.2578430771827698]","[0.4528576135635376, 0.7983585596084595, -0.2385624796152115]","[0.4733007550239563, 0.7933570146560669, -0.2228667140007019]"
"[0.6155720949172974, 0.6292130947113037, 8.074111157441166e-09]","[0.5082859992980957, 0.6232234239578247, -0.07630067318677902]","[0.4371162950992584, 0.6412978768348694, -0.16322621703147888]","[0.3939239978790283, 0.6863892078399658, -0.23480750620365143]","[0.3453185260295868, 0.7320870161056519, -0.30880749225616455]","[0.5182511210441589, 0.5709658265113831, -0.24960452318191528]","[0.41352421045303345, 0.6576918959617615, -0.3149782419204712]","[0.41875118017196655, 0.6781221628189087, -0.3391454517841339]","[0.44583022594451904, 0.6613376140594482, -0.3572937250137329]","[0.5793904066085815, 0.6089328527450562, -0.24930797517299652]","[0.4683622717857361, 0.7087796926498413, -0.30419158935546875]","[0.47320836782455444, 0.7205379009246826, -0.29778003692626953]","[0.4928986728191376, 0.702511191368103, -0.30228886008262634]","[0.6257888674736023, 0.6556681394577026, -0.2442743182182312]","[0.5203149914741516, 0.7479493021965027, -0.2803969383239746]","[0.5058556199073792, 0.762728214263916, -0.24336808919906616]","[0.5153325796127319, 0.7528584003448486, -0.22797885537147522]","[0.658897340297699, 0.7031890153884888, -0.2472279667854309]","[0.5841238498687744, 0.7689114212989807, -0.28098833560943604]","[0.5574396252632141, 0.7881484627723694, -0.26482105255126953]","[0.5532859563827515, 0.7936486601829529, -0.2559841275215149]"
"[0.5980755090713501, 0.6662638187408447, -2.1420228790702822e-07]","[0.5210753083229065, 0.6364759206771851, -0.08159008622169495]","[0.437751829624176, 0.6222023963928223, -0.15821418166160583]","[0.3884254992008209, 0.6511185765266418, -0.2211715430021286]","[0.3766959607601166, 0.7035849690437317, -0.27939432859420776]","[0.5449027419090271, 0.5275866389274597, -0.18542684614658356]","[0.43782615661621094, 0.6124307513237, -0.24218086898326874]","[0.44168514013290405, 0.6490745544433594, -0.2624308466911316]","[0.4745522141456604, 0.6398361325263977, -0.27675074338912964]","[0.6012663841247559, 0.5794457197189331, -0.1765066683292389]","[0.4665657877922058, 0.6752181053161621, -0.22072532773017883]","[0.4773249626159668, 0.6947745084762573, -0.21112078428268433]","[0.5121778249740601, 0.6760268211364746, -0.2083885669708252]","[0.6373715996742249, 0.6412140727043152, -0.16862168908119202]","[0.5056173801422119, 0.7261154651641846, -0.2034793645143509]","[0.50743567943573, 0.7312182784080505, -0.16826283931732178]","[0.534081757068634, 0.7123897671699524, -0.1459103226661682]","[0.6577399373054504, 0.6988694667816162, -0.16999602317810059]","[0.5575998425483704, 0.7537539005279541, -0.20014403760433197]","[0.5458191633224487, 0.7560710906982422, -0.18539758026599884]","[0.5593945980072021, 0.7430086135864258, -0.17143113911151886]"
"[0.5103961229324341, 0.6566216349601746, -6.958482146046663e-08]","[0.47560423612594604, 0.6215862035751343, -0.13434045016765594]","[0.4643167555332184, 0.6072190999984741, -0.2264643907546997]","[0.4798491597175598, 0.6464114785194397, -0.29332661628723145]","[0.5089613199234009, 0.6825071573257446, -0.3480268120765686]","[0.6138294339179993, 0.5485295653343201, -0.23729972541332245]","[0.5793642401695251, 0.646093487739563, -0.30315664410591125]","[0.5160540342330933, 0.6555008888244629, -0.312118798494339]","[0.4795237183570862, 0.6302292943000793, -0.3155243694782257]","[0.6513932943344116, 0.5958805680274963, -0.19780239462852478]","[0.5923713445663452, 0.7006022334098816, -0.26058006286621094]","[0.5194226503372192, 0.6985434889793396, -0.2533939480781555]","[0.5014716386795044, 0.6742069721221924, -0.24975761771202087]","[0.6594571471214294, 0.6529393196105957, -0.1639648824930191]","[0.6091235280036926, 0.7449208498001099, -0.2308068573474884]","[0.5339315533638, 0.7295429706573486, -0.21753950417041779]","[0.4998301863670349, 0.6989970803260803, -0.205691397190094]","[0.646939754486084, 0.7023468613624573, -0.1395276039838791]","[0.6406536102294922, 0.7795000076293945, -0.20294395089149475]","[0.6373053789138794, 0.8274840116500854, -0.2192549854516983]","[0.6505157947540283, 0.8625808954238892, -0.22605596482753754]"
