Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
R,"[0.4753352105617523, 0.8957509398460388, 5.164367280485749e-07]","[0.40295517444610596, 0.8110013604164124, -0.023274850100278854]","[0.4058265686035156, 0.6882686018943787, -0.023486360907554626]","[0.4553244709968567, 0.598446786403656, -0.028549306094646454]","[0.45679333806037903, 0.5264959335327148, -0.029697975143790245]","[0.43179357051849365, 0.6304125189781189, 0.010552797466516495]","[0.4151342511177063, 0.5113375782966614, -0.02437485009431839]","[0.4068002998828888, 0.4399440884590149, -0.04713007062673569]","[0.4033442735671997, 0.37882372736930847, -0.06141943112015724]","[0.4942750632762909, 0.6503760814666748, -0.001419070060364902]","[0.5267278552055359, 0.5314464569091797, -0.0580272413790226]","[0.5533204674720764, 0.4475722014904022, -0.09763671457767487]","[0.5790853500366211, 0.3758842647075653, -0.11609050631523132]","[0.548925518989563, 0.6861162185668945, -0.018521199002861977]","[0.5464893579483032, 0.6240081787109375, -0.08579121530056]","[0.5058150291442871, 0.7104440331459045, -0.08560138195753098]","[0.4919883608818054, 0.76860111951828, -0.06356608867645264]","[0.6059866547584534, 0.7288581728935242, -0.037672851234674454]","[0.5897231101989746, 0.6704591512680054, -0.08677949756383896]","[0.5549065470695496, 0.7301931381225586, -0.07772044092416763]","[0.5464801788330078, 0.7709800004959106, -0.05717451497912407]"
L,"[0.5240263342857361, 0.9057345986366272, 9.000464160635602e-07]","[0.6013498902320862, 0.8080940842628479, -0.047951165586709976]","[0.5983776450157166, 0.6957064270973206, -0.05949694663286209]","[0.5578424334526062, 0.6131773591041565, -0.07191623747348785]","[0.5319000482559204, 0.532299280166626, -0.07971823960542679]","[0.5676938891410828, 0.6409133672714233, 0.003726832801476121]","[0.5844257473945618, 0.5282713174819946, -0.01829228736460209]","[0.5883380770683289, 0.4531492590904236, -0.031892597675323486]","[0.5908075571060181, 0.38521653413772583, -0.04176846146583557]","[0.5039633512496948, 0.6537987589836121, 0.0025741616263985634]","[0.47056347131729126, 0.5236100554466248, -0.04417315497994423]","[0.44990620017051697, 0.4372711777687073, -0.07531317323446274]","[0.4254807233810425, 0.36617910861968994, -0.08965945988893509]","[0.4428357183933258, 0.6880970597267151, -0.006502681411802769]","[0.46337106823921204, 0.6175142526626587, -0.08715103566646576]","[0.5002454519271851, 0.707577645778656, -0.09592989087104797]","[0.5080560445785522, 0.7588734030723572, -0.07622021436691284]","[0.3875214159488678, 0.725296139717102, -0.018149463459849358]","[0.41551709175109863, 0.66030353307724, -0.0842498168349266]","[0.45088016986846924, 0.7254227995872498, -0.08568863570690155]","[0.4590403139591217, 0.7671399712562561, -0.07109857350587845]"
L,"[0.4894672632217407, 0.8942443132400513, 2.1287698359628848e-07]","[0.5624715089797974, 0.8131835460662842, -0.07103293389081955]","[0.5724440217018127, 0.6905597448348999, -0.05093095824122429]","[0.5555926561355591, 0.5911811590194702, -0.01769435964524746]","[0.554316520690918, 0.5069197416305542, 0.022480420768260956]","[0.6152120232582092, 0.6447303891181946, 0.04963536933064461]","[0.6253278851509094, 0.5375493764877319, 0.0515003465116024]","[0.6316291093826294, 0.4495484232902527, 0.044236861169338226]","[0.6369391083717346, 0.3767811059951782, 0.036614399403333664]","[0.5436621904373169, 0.6518348455429077, 0.0770353302359581]","[0.49493467807769775, 0.5398277044296265, 0.06580130010843277]","[0.4481537938117981, 0.4635489881038666, 0.03702103719115257]","[0.4066804051399231, 0.3957577645778656, 0.023388417437672615]","[0.47893226146698, 0.6734520792961121, 0.08902612328529358]","[0.43940308690071106, 0.594275176525116, 0.029480675235390663]","[0.4359329342842102, 0.6826924681663513, -0.019723866134881973]","[0.4545683264732361, 0.7330678701400757, -0.03195066377520561]","[0.423089861869812, 0.7044881582260132, 0.09783879667520523]","[0.38830649852752686, 0.6514967679977417, 0.024429772049188614]","[0.39617210626602173, 0.7137265801429749, -0.017523877322673798]","[0.4258021116256714, 0.7562447786331177, -0.03127160295844078]"
L,"[0.5267557501792908, 0.863349199295044, 6.866429771434923e-07]","[0.5980896949768066, 0.7789492607116699, -0.0326727032661438]","[0.5920878648757935, 0.6770055890083313, -0.037863168865442276]","[0.552940309047699, 0.5991674065589905, -0.046842046082019806]","[0.5341642498970032, 0.5321387648582458, -0.05204680934548378]","[0.5585822463035583, 0.6296390891075134, 0.01790262944996357]","[0.5711644887924194, 0.5269898176193237, 0.001636766130104661]","[0.5764432549476624, 0.46328815817832947, -0.009905862621963024]","[0.580836832523346, 0.40458208322525024, -0.019401105120778084]","[0.5080161094665527, 0.6395836472511292, 0.01228360552340746]","[0.4760942757129669, 0.5251758694648743, -0.028123319149017334]","[0.4594808518886566, 0.4463970363140106, -0.05823422595858574]","[0.4372861385345459, 0.3820815682411194, -0.07384597510099411]","[0.45591461658477783, 0.6688421368598938, 7.258221046413382e-08]","[0.46971380710601807, 0.6023398041725159, -0.06865064799785614]","[0.5068632960319519, 0.6834092140197754, -0.07672488689422607]","[0.5163363218307495, 0.732196033000946, -0.06087632104754448]","[0.4075736701488495, 0.7013680338859558, -0.014156872406601906]","[0.4340011775493622, 0.638912558555603, -0.0717034786939621]","[0.4655802249908447, 0.6937472224235535, -0.07484772056341171]","[0.4725880026817322, 0.7300862669944763, -0.06420110166072845]"
L,"[0.4897955060005188, 0.9141957759857178, 6.24571157459286e-07]","[0.580361545085907, 0.8187296986579895, -0.05828731507062912]","[0.5839714407920837, 0.6995974779129028, -0.05286223068833351]","[0.5528524518013, 0.6082984805107117, -0.045335590839385986]","[0.546029269695282, 0.5232229232788086, -0.033771026879549026]","[0.5945909023284912, 0.6443690657615662, 0.04964789003133774]","[0.614739716053009, 0.535159707069397, 0.04474220424890518]","[0.6239092350006104, 0.452688992023468, 0.03327567130327225]","[0.6273427605628967, 0.3811623752117157, 0.02175970934331417]","[0.5196430683135986, 0.6536152362823486, 0.057656653225421906]","[0.47693586349487305, 0.5259300470352173, 0.021580923348665237]","[0.43982040882110596, 0.43793535232543945, -0.017535286024212837]","[0.39921849966049194, 0.36555346846580505, -0.034780364483594894]","[0.45239412784576416, 0.6864257454872131, 0.052747368812561035]","[0.4295990467071533, 0.6145986318588257, -0.030754894018173218]","[0.454754114151001, 0.7125553488731384, -0.06718148291110992]","[0.47656604647636414, 0.7673542499542236, -0.06394975632429123]","[0.3922814726829529, 0.7251011729240417, 0.04575628042221069]","[0.38020193576812744, 0.6667906641960144, -0.035900313407182693]","[0.39875108003616333, 0.7354860305786133, -0.06026678532361984]","[0.428437203168869, 0.775946319103241, -0.059208959341049194]"
R,"[0.5135989189147949, 0.8499316573143005, 9.966217930923449e-07]","[0.4571710526943207, 0.7702590227127075, -0.07726350426673889]","[0.4326404929161072, 0.6793873906135559, -0.07270713150501251]","[0.44203466176986694, 0.5927044749259949, -0.05112010985612869]","[0.4384482204914093, 0.5178399085998535, -0.017478318884968758]","[0.3989160656929016, 0.6193479299545288, -0.010444682091474533]","[0.38451480865478516, 0.5121802091598511, -0.031910281628370285]","[0.3768940567970276, 0.4377882480621338, -0.0491960309445858]","[0.3774220049381256, 0.37397319078445435, -0.060277309268713]","[0.45715251564979553, 0.6291555166244507, 0.023713694885373116]","[0.49704813957214355, 0.5189103484153748, -0.005158333107829094]","[0.5393550992012024, 0.4472452998161316, -0.03430783376097679]","[0.570688009262085, 0.386909544467926, -0.04875272512435913]","[0.5093289017677307, 0.6496505737304688, 0.04575982317328453]","[0.5623241662979126, 0.6015744805335999, -0.019120484590530396]","[0.5618749856948853, 0.6805849671363831, -0.05174978822469711]","[0.549649715423584, 0.7266098260879517, -0.05070176720619202]","[0.5539050102233887, 0.6637918949127197, 0.06392095237970352]","[0.5854717493057251, 0.642274022102356, -0.006529792211949825]","[0.5837774872779846, 0.694351077079773, -0.03932022675871849]","[0.5678890347480774, 0.7263904809951782, -0.04594729095697403]"
R,"[0.5027500987052917, 0.9366352558135986, 7.775137760290818e-07]","[0.42414867877960205, 0.831041693687439, -0.0520738810300827]","[0.41300880908966064, 0.7059283256530762, -0.048568639904260635]","[0.4518555700778961, 0.6140888929367065, -0.042306359857320786]","[0.4564043879508972, 0.5302578210830688, -0.02833467535674572]","[0.41707301139831543, 0.6336384415626526, 0.027269503101706505]","[0.3921525478363037, 0.5109652876853943, -0.006671141367405653]","[0.3838173747062683, 0.434739351272583, -0.03387933969497681]","[0.3797306418418884, 0.36842238903045654, -0.048780690878629684]","[0.4880017638206482, 0.6617936491966248, 0.03390860930085182]","[0.5287582874298096, 0.5213930010795593, -0.016644597053527832]","[0.5659420490264893, 0.4360579252243042, -0.055632878094911575]","[0.5952585935592651, 0.3600998818874359, -0.07212941348552704]","[0.5510587692260742, 0.703493058681488, 0.028391482308506966]","[0.5669462084770203, 0.6377749443054199, -0.05154488980770111]","[0.5345437526702881, 0.7356760501861572, -0.06443759053945541]","[0.5229262113571167, 0.7875458598136902, -0.045342765748500824]","[0.6137020587921143, 0.7427695393562317, 0.01941392384469509]","[0.6141748428344727, 0.6870003938674927, -0.04400772228837013]","[0.5770246982574463, 0.7603272199630737, -0.045616306364536285]","[0.5634226202964783, 0.8007921576499939, -0.02984025329351425]"
L,"[0.5099765658378601, 0.895577073097229, 5.842824748469866e-07]","[0.5869983434677124, 0.8103580474853516, -0.05550987645983696]","[0.5909520387649536, 0.6959294080734253, -0.06239475682377815]","[0.5620359778404236, 0.6068325638771057, -0.06625429540872574]","[0.5524105429649353, 0.5235521197319031, -0.06606752425432205]","[0.5955643653869629, 0.6385453939437866, 0.005877283401787281]","[0.6102314591407776, 0.5246539115905762, -0.015560293570160866]","[0.6194890737533569, 0.44723838567733765, -0.03376587852835655]","[0.6240292191505432, 0.37648043036460876, -0.048150863498449326]","[0.5287759900093079, 0.6485285758972168, 0.012185467407107353]","[0.4850735068321228, 0.5255365967750549, -0.033551961183547974]","[0.44874653220176697, 0.4444290101528168, -0.06670361012220383]","[0.4117690324783325, 0.37073537707328796, -0.08118508011102676]","[0.4673507511615753, 0.682459831237793, 0.009177991189062595]","[0.4404539465904236, 0.6161594390869141, -0.0692228227853775]","[0.46376779675483704, 0.7087063193321228, -0.08696902543306351]","[0.4872640371322632, 0.7589111924171448, -0.07465182989835739]","[0.4125802516937256, 0.7209895253181458, 0.0035390935372561216]","[0.3913251757621765, 0.6682434678077698, -0.06506428122520447]","[0.4145803451538086, 0.7319689393043518, -0.07536566257476807]","[0.45057013630867004, 0.7666100263595581, -0.06714127957820892]"
R,"[0.4593554735183716, 0.7552495002746582, 5.341221367416438e-07]","[0.4125867486000061, 0.7343714833259583, -0.12908291816711426]","[0.40872231125831604, 0.6695804595947266, -0.1736701875925064]","[0.4331291913986206, 0.5950360298156738, -0.18060585856437683]","[0.44323211908340454, 0.5171087384223938, -0.17693981528282166]","[0.37970030307769775, 0.5864861011505127, -0.19140413403511047]","[0.3818499743938446, 0.49084362387657166, -0.24778325855731964]","[0.3755144774913788, 0.41468656063079834, -0.27546465396881104]","[0.36976122856140137, 0.3484254479408264, -0.2920457720756531]","[0.4298943281173706, 0.5761592388153076, -0.1283951848745346]","[0.47879859805107117, 0.5262764096260071, -0.17129208147525787]","[0.5031528472900391, 0.5448300838470459, -0.1690085232257843]","[0.5172551274299622, 0.5395197868347168, -0.16515548527240753]","[0.4733245372772217, 0.5714245438575745, -0.07352462410926819]","[0.5152169466018677, 0.5567073225975037, -0.12439174950122833]","[0.5130613446235657, 0.6368312239646912, -0.12169197201728821]","[0.5059444904327393, 0.6739164590835571, -0.11112437397241592]","[0.507571816444397, 0.5649491548538208, -0.02665741927921772]","[0.5276137590408325, 0.5648999810218811, -0.07228737324476242]","[0.5226126313209534, 0.6159529685974121, -0.08451561629772186]","[0.5088324546813965, 0.6407680511474609, -0.08657114207744598]"
L,"[0.513325572013855, 0.9159291982650757, 1.5498890206799842e-06]","[0.6039189100265503, 0.8129075765609741, -0.047440167516469955]","[0.5981452465057373, 0.6985694169998169, -0.06526637822389603]","[0.5574701428413391, 0.6139222383499146, -0.08817368745803833]","[0.5262156128883362, 0.5309468507766724, -0.1038990393280983]","[0.5678285360336304, 0.6305072903633118, 0.004785718396306038]","[0.5841683149337769, 0.5142056345939636, -0.033005863428115845]","[0.5931636095046997, 0.43758639693260193, -0.05821215733885765]","[0.5991669297218323, 0.3654346168041229, -0.0766918957233429]","[0.49981531500816345, 0.6498775482177734, -0.007581475656479597]","[0.46250709891319275, 0.531574010848999, -0.09577733278274536]","[0.43301546573638916, 0.43465855717658997, -0.15380360186100006]","[0.4071958065032959, 0.35873866081237793, -0.18211932480335236]","[0.432052344083786, 0.6928348541259766, -0.027765924111008644]","[0.4479128420352936, 0.6303589344024658, -0.1396929919719696]","[0.4893670678138733, 0.7324596643447876, -0.1465073972940445]","[0.5054495334625244, 0.7953323721885681, -0.11776919662952423]","[0.37214455008506775, 0.7319566011428833, -0.05109604075551033]","[0.3968386948108673, 0.6719510555267334, -0.13660307228565216]","[0.43815597891807556, 0.7442197203636169, -0.13652344048023224]","[0.44729864597320557, 0.78837651014328, -0.11602204293012619]"
