Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
L,"[0.4239800274372101, 0.8534053564071655, 1.7492448023403995e-07]","[0.5068095326423645, 0.7990102171897888, -0.038328126072883606]","[0.5731590390205383, 0.7128483653068542, -0.048027459532022476]","[0.6417464017868042, 0.6559721827507019, -0.05565629526972771]","[0.6984031200408936, 0.6294203400611877, -0.06025680527091026]","[0.5253177285194397, 0.6130634546279907, -0.013132444582879543]","[0.5287596583366394, 0.5082026720046997, -0.0342412069439888]","[0.5274254679679871, 0.44509798288345337, -0.04933593049645424]","[0.525698184967041, 0.38880935311317444, -0.06354473531246185]","[0.46739089488983154, 0.6228473782539368, -0.01079556718468666]","[0.447856605052948, 0.5615265369415283, -0.053810346871614456]","[0.4507848620414734, 0.6454858183860779, -0.06584867089986801]","[0.4638833999633789, 0.6967903971672058, -0.06524169445037842]","[0.4086407423019409, 0.6456168293952942, -0.014398240484297276]","[0.38895201683044434, 0.5966026186943054, -0.06423870474100113]","[0.4079788327217102, 0.6763886213302612, -0.05902562290430069]","[0.4289066791534424, 0.7190788388252258, -0.04405694827437401]","[0.35557979345321655, 0.674967348575592, -0.02104353718459606]","[0.3449627757072449, 0.6329279541969299, -0.058406390249729156]","[0.36215415596961975, 0.6880214810371399, -0.05383786931633949]","[0.3840004801750183, 0.7232412695884705, -0.042854201048612595]"
R,"[0.5744262337684631, 0.8588275909423828, 2.2649231823379523e-07]","[0.5088040828704834, 0.7943847179412842, -0.0749511793255806]","[0.44550517201423645, 0.7102817893028259, -0.09566713869571686]","[0.3777957558631897, 0.6526858806610107, -0.10434642434120178]","[0.30957508087158203, 0.6283133625984192, -0.10741855949163437]","[0.4723356366157532, 0.6120033264160156, -0.037946220487356186]","[0.4584287106990814, 0.5020347833633423, -0.06492845714092255]","[0.451038658618927, 0.43859779834747314, -0.08050047606229782]","[0.44577518105506897, 0.385548859834671, -0.09007243067026138]","[0.5291329622268677, 0.6276141405105591, -0.014026219956576824]","[0.5987089276313782, 0.5576133131980896, -0.06936619430780411]","[0.5921083092689514, 0.6404942870140076, -0.08431211858987808]","[0.5635780692100525, 0.6903897523880005, -0.07398007065057755]","[0.5802410840988159, 0.6518495678901672, 0.0008154663955792785]","[0.6399917006492615, 0.6101635098457336, -0.06117860972881317]","[0.6207456588745117, 0.6875624656677246, -0.07050105929374695]","[0.5835362076759338, 0.7169044017791748, -0.054638855159282684]","[0.6163555383682251, 0.6726073026657104, 0.011392914690077305]","[0.6596385836601257, 0.6414575576782227, -0.030045311897993088]","[0.6440877914428711, 0.6925920248031616, -0.033487845212221146]","[0.6116647720336914, 0.7194725871086121, -0.023867178708314896]"
R,"[0.5808020830154419, 0.8739596605300903, -1.7078054526109554e-08]","[0.49355167150497437, 0.8112923502922058, -0.037132978439331055]","[0.4199058413505554, 0.7180396318435669, -0.0555209219455719]","[0.3503301739692688, 0.6577665209770203, -0.07394865900278091]","[0.2827956974506378, 0.6349803805351257, -0.09230673313140869]","[0.4763648509979248, 0.621651828289032, -0.02342492714524269]","[0.46748781204223633, 0.5150095820426941, -0.055257052183151245]","[0.46464696526527405, 0.4506441354751587, -0.07372484356164932]","[0.46603548526763916, 0.3952508568763733, -0.08826600760221481]","[0.5411487817764282, 0.6274467706680298, -0.027332542464137077]","[0.571255087852478, 0.55149245262146, -0.09119748324155807]","[0.5610454082489014, 0.6345216035842896, -0.10620299726724625]","[0.5454930663108826, 0.6969299912452698, -0.09782250225543976]","[0.602217972278595, 0.6500502824783325, -0.0363217256963253]","[0.6270514726638794, 0.5977457761764526, -0.10138224065303802]","[0.6039773225784302, 0.6777965426445007, -0.09484758228063583]","[0.5790666937828064, 0.7285913228988647, -0.0705893412232399]","[0.6528501510620117, 0.6812155842781067, -0.04757947474718094]","[0.6693427562713623, 0.6378271579742432, -0.09049323201179504]","[0.6421488523483276, 0.6914845705032349, -0.08203521370887756]","[0.6175839900970459, 0.7312319278717041, -0.06469672173261642]"
R,"[0.5724263787269592, 0.7945289015769958, 8.607542412164548e-08]","[0.5089081525802612, 0.777643620967865, -0.04136572778224945]","[0.44355055689811707, 0.7089519500732422, -0.05255815386772156]","[0.39562392234802246, 0.6576536893844604, -0.055543940514326096]","[0.35389235615730286, 0.630192756652832, -0.05652512237429619]","[0.47416824102401733, 0.6000924706459045, -0.041888102889060974]","[0.4655434489250183, 0.5203648209571838, -0.0743299201130867]","[0.47062501311302185, 0.469005286693573, -0.09215053915977478]","[0.46912142634391785, 0.42932766675949097, -0.1021171510219574]","[0.5330556631088257, 0.6053528785705566, -0.03328591585159302]","[0.5593578219413757, 0.547505795955658, -0.07684873789548874]","[0.5483500361442566, 0.6261540055274963, -0.07436985522508621]","[0.533825695514679, 0.6730379462242126, -0.0560394823551178]","[0.5869502425193787, 0.6267988085746765, -0.029969265684485435]","[0.6148850917816162, 0.585481584072113, -0.08747631311416626]","[0.5918871760368347, 0.6635174751281738, -0.07539643347263336]","[0.5737330913543701, 0.6951601505279541, -0.04776323214173317]","[0.631359338760376, 0.6538079380989075, -0.02726009301841259]","[0.650294303894043, 0.6253548264503479, -0.06982307881116867]","[0.6260631084442139, 0.6768123507499695, -0.0574037991464138]","[0.6073132157325745, 0.7017039656639099, -0.03597757965326309]"
L,"[0.42600148916244507, 0.8657392263412476, -2.4125230879690207e-07]","[0.5238154530525208, 0.8058108687400818, -0.0014920502435415983]","[0.5840994715690613, 0.7220447659492493, 0.009667772799730301]","[0.6283588409423828, 0.6628609895706177, 0.015402586199343204]","[0.6708786487579346, 0.6434639692306519, 0.019971858710050583]","[0.5160157084465027, 0.6187865734100342, 0.011608337052166462]","[0.5113532543182373, 0.5085018277168274, -0.005534978583455086]","[0.5066744685173035, 0.4477624297142029, -0.019107168540358543]","[0.5035525560379028, 0.3928430676460266, -0.031911700963974]","[0.4646949768066406, 0.6281254887580872, -0.003186118323355913]","[0.4710022807121277, 0.5509442090988159, -0.044942259788513184]","[0.4854225814342499, 0.6348201632499695, -0.06092991679906845]","[0.490599125623703, 0.697458028793335, -0.06207326427102089]","[0.413330614566803, 0.6520739197731018, -0.01997293159365654]","[0.42171865701675415, 0.5819809436798096, -0.06832364201545715]","[0.4461389183998108, 0.668808102607727, -0.06813759356737137]","[0.4533076882362366, 0.7254011034965515, -0.055315401405096054]","[0.3572233021259308, 0.6869819760322571, -0.03645004332065582]","[0.36551734805107117, 0.6228009462356567, -0.07626844197511673]","[0.39653223752975464, 0.6774590611457825, -0.07650246471166611]","[0.40741848945617676, 0.7235710024833679, -0.06822677701711655]"
R,"[0.5820649862289429, 0.8693462610244751, 1.0383340054431756e-07]","[0.4943612515926361, 0.8109114170074463, -0.04227416589856148]","[0.4201146960258484, 0.718564510345459, -0.06211747229099274]","[0.3506091237068176, 0.6575846672058105, -0.08056484162807465]","[0.2847250998020172, 0.6343304514884949, -0.09789962321519852]","[0.46930253505706787, 0.6152108907699585, -0.023779727518558502]","[0.4614604711532593, 0.5076440572738647, -0.0547400526702404]","[0.461076557636261, 0.44331881403923035, -0.07256955653429031]","[0.46154430508613586, 0.38986244797706604, -0.08616850525140762]","[0.5315166115760803, 0.6227334141731262, -0.02401278167963028]","[0.5724520683288574, 0.5570973753929138, -0.07886349409818649]","[0.5637879371643066, 0.6450932621955872, -0.08581775426864624]","[0.5448423027992249, 0.6964040994644165, -0.07336544245481491]","[0.5932331085205078, 0.6461613774299622, -0.030550522729754448]","[0.6285839080810547, 0.5989876985549927, -0.08709505200386047]","[0.6053000688552856, 0.6820936799049377, -0.07290191948413849]","[0.576758861541748, 0.7241178154945374, -0.045635245740413666]","[0.6425318121910095, 0.6797105073928833, -0.040391672402620316]","[0.6711828708648682, 0.6409726142883301, -0.07780379801988602]","[0.6452159881591797, 0.6950376033782959, -0.06439078599214554]","[0.6174138784408569, 0.7261267304420471, -0.04427260532975197]"
L,"[0.4371148347854614, 0.8029618263244629, 4.712863699296577e-08]","[0.5179039835929871, 0.7682825922966003, -0.02319934591650963]","[0.5793938636779785, 0.6927839517593384, -0.025088898837566376]","[0.6311096549034119, 0.6440576314926147, -0.027471693232655525]","[0.6714985370635986, 0.618401825428009, -0.028930291533470154]","[0.523296594619751, 0.6006089448928833, -0.01140136830508709]","[0.5174829363822937, 0.5066045522689819, -0.03445804864168167]","[0.5161396861076355, 0.44549912214279175, -0.05194590613245964]","[0.5112258791923523, 0.3933190703392029, -0.06756541132926941]","[0.47231602668762207, 0.608788013458252, -0.016009148210287094]","[0.4654776155948639, 0.5561122298240662, -0.05594174563884735]","[0.4744885265827179, 0.6332367062568665, -0.06981119513511658]","[0.47990769147872925, 0.6809744834899902, -0.07204090803861618]","[0.4204235374927521, 0.6331075429916382, -0.024426566436886787]","[0.4138888120651245, 0.5898807048797607, -0.0712914913892746]","[0.4361354112625122, 0.661308765411377, -0.0673244297504425]","[0.4473586678504944, 0.6995149850845337, -0.05447344854474068]","[0.37023019790649414, 0.6649488806724548, -0.034360215067863464]","[0.3751698136329651, 0.6291241645812988, -0.07129446417093277]","[0.39312663674354553, 0.6773654222488403, -0.06681795418262482]","[0.4016510248184204, 0.7054147720336914, -0.056718017905950546]"
R,"[0.5373501777648926, 0.8966588973999023, -7.602741902701382e-07]","[0.45263710618019104, 0.8127270936965942, 0.032414510846138]","[0.42182278633117676, 0.7347542643547058, 0.041055817157030106]","[0.41803988814353943, 0.6717640161514282, 0.03326340764760971]","[0.4048689007759094, 0.6304114460945129, 0.028838010504841805]","[0.5143700242042542, 0.6234769821166992, 0.055121731013059616]","[0.5207493901252747, 0.5144718885421753, 0.01631135493516922]","[0.5268283486366272, 0.44787079095840454, -0.0031216403003782034]","[0.544011652469635, 0.38339048624038696, -0.015497102402150631]","[0.5545029044151306, 0.6437538266181946, 0.016627954319119453]","[0.4808453321456909, 0.5711904168128967, -0.029920779168605804]","[0.4460054636001587, 0.6643496751785278, -0.02157527394592762]","[0.47937774658203125, 0.6974549293518066, -0.003537540789693594]","[0.5935133099555969, 0.6642727255821228, -0.02959122322499752]","[0.5102178454399109, 0.6075151562690735, -0.0767953172326088]","[0.48458975553512573, 0.6984190344810486, -0.04799041897058487]","[0.525731086730957, 0.7259646654129028, -0.019023191183805466]","[0.6350115537643433, 0.6892462968826294, -0.07592150568962097]","[0.553096354007721, 0.650174617767334, -0.10385845601558685]","[0.5310840606689453, 0.7091102004051208, -0.0879824310541153]","[0.5662529468536377, 0.7343438863754272, -0.0710548609495163]"
R,"[0.581964373588562, 0.8839699029922485, 6.115332951139862e-08]","[0.4941181242465973, 0.8353024125099182, -0.046831849962472916]","[0.42241954803466797, 0.7428696155548096, -0.06729655712842941]","[0.3565708100795746, 0.6793127059936523, -0.08601948618888855]","[0.2913302779197693, 0.6485923528671265, -0.10326067358255386]","[0.46424180269241333, 0.620013415813446, -0.026920029893517494]","[0.4582624137401581, 0.5058020949363708, -0.06801670044660568]","[0.4618373215198517, 0.4357289969921112, -0.09081640094518661]","[0.46545982360839844, 0.3750120997428894, -0.10566079616546631]","[0.530726432800293, 0.6275898814201355, -0.02734021469950676]","[0.5815030932426453, 0.5701180696487427, -0.10006511956453323]","[0.5719950795173645, 0.6747623085975647, -0.11035053431987762]","[0.5492662191390991, 0.7248616814613342, -0.09533105045557022]","[0.5969142913818359, 0.6511703729629517, -0.034994252026081085]","[0.6421393156051636, 0.6115939617156982, -0.11008283495903015]","[0.6160662174224854, 0.7076810002326965, -0.09367003291845322]","[0.5830302238464355, 0.7453960180282593, -0.06006786227226257]","[0.6504421234130859, 0.6858508586883545, -0.045423589646816254]","[0.6861015558242798, 0.6506072282791138, -0.09266407042741776]","[0.658111572265625, 0.7199456691741943, -0.07441206276416779]","[0.6259536743164062, 0.7489268779754639, -0.047503240406513214]"
R,"[0.5785557627677917, 0.9010485410690308, -3.813040905242815e-07]","[0.4797621965408325, 0.8361512422561646, -0.023634934797883034]","[0.4066832661628723, 0.7385818362236023, -0.03658502921462059]","[0.3430803418159485, 0.6715438961982727, -0.05272059515118599]","[0.2766336500644684, 0.646562397480011, -0.06999768316745758]","[0.47015926241874695, 0.6228452324867249, -0.011980099603533745]","[0.47012805938720703, 0.5087705254554749, -0.045064784586429596]","[0.4732568860054016, 0.4448429048061371, -0.0656614899635315]","[0.47833287715911865, 0.38854140043258667, -0.08221125602722168]","[0.534649670124054, 0.6325477361679077, -0.021729357540607452]","[0.5541021823883057, 0.5587557554244995, -0.07972079515457153]","[0.5374184846878052, 0.6580259799957275, -0.08805865794420242]","[0.5242788791656494, 0.7182503342628479, -0.07717769593000412]","[0.5986385345458984, 0.6600857973098755, -0.036509089171886444]","[0.6142716407775879, 0.6056685447692871, -0.09513165056705475]","[0.5839251279830933, 0.7000467777252197, -0.07908889651298523]","[0.5644629001617432, 0.7457683086395264, -0.0513896606862545]","[0.6554891467094421, 0.6979568600654602, -0.0530712716281414]","[0.6650810241699219, 0.6532880663871765, -0.09056408703327179]","[0.6290604472160339, 0.7140785455703735, -0.07559097558259964]","[0.6089450120925903, 0.7467412352561951, -0.05582902953028679]"
