Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.5133122205734253, 0.7567419409751892, 5.060520038568939e-07]","[0.6031653881072998, 0.6946413516998291, -0.01280319131910801]","[0.6117209196090698, 0.599327564239502, -0.023314090445637703]","[0.5671592354774475, 0.5355532765388489, -0.03930443525314331]","[0.5102272033691406, 0.5023636221885681, -0.05157109349966049]","[0.5804752707481384, 0.5349621176719666, 0.010910741053521633]","[0.6093230247497559, 0.48079144954681396, -0.03327500447630882]","[0.6308280825614929, 0.5321769118309021, -0.06513684242963791]","[0.6364910006523132, 0.5864480137825012, -0.08088390529155731]","[0.5315142869949341, 0.5308104157447815, -0.00636763870716095]","[0.5589215159416199, 0.4561409652233124, -0.06218257173895836]","[0.5916674137115479, 0.5197110176086426, -0.09356129914522171]","[0.5986993908882141, 0.5837779641151428, -0.1024153083562851]","[0.48201075196266174, 0.5422983169555664, -0.030354762449860573]","[0.5067963600158691, 0.4451294243335724, -0.09105107188224792]","[0.5405717492103577, 0.502986490726471, -0.11019362509250641]","[0.5441425442695618, 0.5539600253105164, -0.10788297653198242]","[0.43274641036987305, 0.5698099732398987, -0.054582107812166214]","[0.4931209981441498, 0.5408534407615662, -0.10402663052082062]","[0.5269056558609009, 0.5915339589118958, -0.11643517017364502]","[0.5288106799125671, 0.6334630250930786, -0.11582792550325394]"
"[0.5345490574836731, 0.7439265251159668, 1.7816107344970078e-07]","[0.4600229263305664, 0.6853150129318237, -0.07455576211214066]","[0.41854676604270935, 0.5877658724784851, -0.09385951608419418]","[0.43176519870758057, 0.5254851579666138, -0.10100586712360382]","[0.46569859981536865, 0.4908987581729889, -0.09824226051568985]","[0.4247139096260071, 0.53410404920578, -0.02368057705461979]","[0.4734569787979126, 0.46162039041519165, -0.07463272660970688]","[0.5183823108673096, 0.51002037525177, -0.10972116142511368]","[0.5392537713050842, 0.5623552203178406, -0.12538407742977142]","[0.4711415469646454, 0.5295839905738831, 0.002664251485839486]","[0.5120735168457031, 0.4458293616771698, -0.053326964378356934]","[0.5505748391151428, 0.5115901827812195, -0.08570459485054016]","[0.5613243579864502, 0.5663544535636902, -0.09395992010831833]","[0.5096508264541626, 0.5355639457702637, 0.01719236932694912]","[0.5425010919570923, 0.4581795334815979, -0.043708596378564835]","[0.5661049485206604, 0.5242542624473572, -0.06329187005758286]","[0.5651110410690308, 0.5805066227912903, -0.05956463888287544]","[0.5399973392486572, 0.5557705163955688, 0.026551615446805954]","[0.5656514167785645, 0.5179129838943481, -0.027748914435505867]","[0.5756128430366516, 0.5721819996833801, -0.04572492092847824]","[0.5714831948280334, 0.6210005879402161, -0.04606781527400017]"
"[0.48301705718040466, 0.7648689150810242, -4.990126285520091e-07]","[0.4004468619823456, 0.69584059715271, -0.024184536188840866]","[0.40479397773742676, 0.591002345085144, -0.034121084958314896]","[0.47107797861099243, 0.5413322448730469, -0.04373723641037941]","[0.534325122833252, 0.5057969689369202, -0.05072489753365517]","[0.40571755170822144, 0.538711428642273, -0.004203793592751026]","[0.3735671937465668, 0.47002795338630676, -0.0521409809589386]","[0.3750537633895874, 0.5189395546913147, -0.08597669750452042]","[0.3826099932193756, 0.5786733031272888, -0.10273236036300659]","[0.4660571217536926, 0.5355569124221802, -0.00914266612380743]","[0.43285512924194336, 0.44400930404663086, -0.06105032563209534]","[0.42322832345962524, 0.5090375542640686, -0.08458637446165085]","[0.43006080389022827, 0.5725970268249512, -0.08992952853441238]","[0.524071216583252, 0.5478398203849792, -0.021365903317928314]","[0.5036376118659973, 0.4447372555732727, -0.07041244953870773]","[0.4814363718032837, 0.5060899257659912, -0.0767286941409111]","[0.485720157623291, 0.560160219669342, -0.07265616208314896]","[0.5807139873504639, 0.5731938481330872, -0.035683002322912216]","[0.5202209949493408, 0.547337532043457, -0.07876228541135788]","[0.5041765570640564, 0.6041628122329712, -0.08830928057432175]","[0.5229343175888062, 0.6412209868431091, -0.08852553367614746]"
"[0.4828726053237915, 0.7596670389175415, -1.0867134960790281e-06]","[0.389035701751709, 0.6602692604064941, 0.016730578616261482]","[0.3971478343009949, 0.5758782625198364, 0.02313067577779293]","[0.46561315655708313, 0.5359411835670471, 0.015332291834056377]","[0.5258576273918152, 0.5073059797286987, 0.00708747049793601]","[0.4340774118900299, 0.5324983596801758, 0.07960797101259232]","[0.3847436308860779, 0.4705013036727905, 0.04095342382788658]","[0.3610437214374542, 0.5301574468612671, -0.0012509922962635756]","[0.35677605867385864, 0.5905809998512268, -0.026261961087584496]","[0.4785754978656769, 0.5349323153495789, 0.05459531024098396]","[0.4236801266670227, 0.4515014588832855, 0.007785176392644644]","[0.3856422007083893, 0.5236969590187073, -0.03260965272784233]","[0.3784031569957733, 0.5837661623954773, -0.050144363194704056]","[0.5187382102012634, 0.5433583855628967, 0.022382864728569984]","[0.47431525588035583, 0.4391027092933655, -0.022258851677179337]","[0.43623146414756775, 0.5059351325035095, -0.041694991290569305]","[0.4346276521682739, 0.5670995712280273, -0.046496447175741196]","[0.5549970865249634, 0.5547391176223755, -0.009234274737536907]","[0.47175946831703186, 0.5333911180496216, -0.04237532615661621]","[0.4529155492782593, 0.5895820260047913, -0.054607853293418884]","[0.47510892152786255, 0.6309305429458618, -0.058004893362522125]"
"[0.5282479524612427, 0.7374523282051086, 6.086341386435379e-07]","[0.6092959046363831, 0.6706485152244568, 0.0002759908384177834]","[0.6129752993583679, 0.5827223658561707, -0.010664300061762333]","[0.5603632926940918, 0.5259245038032532, -0.029076790437102318]","[0.5085859894752502, 0.48723042011260986, -0.04348761960864067]","[0.5688461065292358, 0.5363606810569763, 0.01738879084587097]","[0.6003330945968628, 0.49386706948280334, -0.018631111830472946]","[0.6305747628211975, 0.5386368036270142, -0.04346300661563873]","[0.6349316835403442, 0.5863094925880432, -0.05591372027993202]","[0.5258710384368896, 0.5332013964653015, -0.0072530522011220455]","[0.5664032101631165, 0.4671083986759186, -0.050976887345314026]","[0.603209376335144, 0.5262927412986755, -0.07391443103551865]","[0.6041193604469299, 0.5821855664253235, -0.08123795688152313]","[0.4857763350009918, 0.5419570207595825, -0.036997001618146896]","[0.5338436365127563, 0.45841580629348755, -0.08679649978876114]","[0.5616057515144348, 0.5182037949562073, -0.09451567381620407]","[0.5511530637741089, 0.5621280670166016, -0.08939951658248901]","[0.4456629753112793, 0.5639251470565796, -0.0660390555858612]","[0.5219449996948242, 0.5369300246238708, -0.10609319061040878]","[0.54277104139328, 0.5905975699424744, -0.10863563418388367]","[0.5289957523345947, 0.6270351409912109, -0.10457904636859894]"
"[0.5177743434906006, 0.8294816017150879, -6.221786179594346e-07]","[0.4227491319179535, 0.7479807734489441, -0.05849387124180794]","[0.41050997376441956, 0.6263699531555176, -0.0766056701540947]","[0.4648362696170807, 0.5334022641181946, -0.08981505781412125]","[0.5137314200401306, 0.4637720286846161, -0.09497380256652832]","[0.37277257442474365, 0.5644049644470215, -0.015108246356248856]","[0.3823179602622986, 0.4689314663410187, -0.07187559455633163]","[0.41792210936546326, 0.5352786183357239, -0.11069989204406738]","[0.43271416425704956, 0.6075747609138489, -0.12959367036819458]","[0.4509807825088501, 0.5580182671546936, -0.008021323941648006]","[0.4557061791419983, 0.4396968483924866, -0.06764356791973114]","[0.4759664237499237, 0.5323746204376221, -0.10443885624408722]","[0.47890204191207886, 0.5979950428009033, -0.11863754689693451]","[0.5232453942298889, 0.5714716911315918, -0.010763177648186684]","[0.5271294116973877, 0.4583474397659302, -0.07325230538845062]","[0.5255038738250732, 0.5454456210136414, -0.08513807505369186]","[0.517934262752533, 0.6051772236824036, -0.08193052560091019]","[0.5845327377319336, 0.6041127443313599, -0.01799781247973442]","[0.5722448229789734, 0.5600342750549316, -0.06752412021160126]","[0.5603886842727661, 0.6246384978294373, -0.07462313026189804]","[0.5564302802085876, 0.6689101457595825, -0.07251942902803421]"
"[0.46133434772491455, 0.7672775983810425, -7.293814974218549e-07]","[0.3749631345272064, 0.7030510902404785, -0.01903723180294037]","[0.3822809159755707, 0.6000901460647583, -0.03187311813235283]","[0.45458948612213135, 0.5500984191894531, -0.045344866812229156]","[0.5167608261108398, 0.5080557465553284, -0.05900862067937851]","[0.40660709142684937, 0.5466523170471191, -0.011829894036054611]","[0.3644635081291199, 0.4848476052284241, -0.05621969327330589]","[0.3379506468772888, 0.5401132106781006, -0.0821780189871788]","[0.33550313115119934, 0.6030304431915283, -0.09287988394498825]","[0.46384868025779724, 0.5391733646392822, -0.019269322976469994]","[0.4073623716831207, 0.45260366797447205, -0.06676080822944641]","[0.3761313557624817, 0.522802472114563, -0.07922010868787766]","[0.3813837766647339, 0.5960600972175598, -0.07519616186618805]","[0.518441915512085, 0.5492490530014038, -0.0334191769361496]","[0.4713838994503021, 0.4468856453895569, -0.07710156589746475]","[0.4409256875514984, 0.5154321193695068, -0.07769425213336945]","[0.4490998387336731, 0.5742200016975403, -0.07020112872123718]","[0.5676827430725098, 0.5706607699394226, -0.04907573387026787]","[0.47958868741989136, 0.5584173798561096, -0.08832180500030518]","[0.4596581757068634, 0.6231213808059692, -0.09717252850532532]","[0.48297539353370667, 0.6626317501068115, -0.09739919006824493]"
"[0.4979998767375946, 0.7422913908958435, 3.8961927018021925e-09]","[0.579154908657074, 0.6934508681297302, -0.022345878183841705]","[0.6063216924667358, 0.6025086641311646, -0.03024318814277649]","[0.5622373819351196, 0.5346640944480896, -0.03987058997154236]","[0.5145770907402039, 0.4983019530773163, -0.04557234048843384]","[0.5900594592094421, 0.5387656688690186, 0.004100705962628126]","[0.5892294645309448, 0.47541600465774536, -0.03451181575655937]","[0.5740243196487427, 0.5272980332374573, -0.06061087176203728]","[0.566322386264801, 0.5817282795906067, -0.07269052416086197]","[0.5345249772071838, 0.532603919506073, -0.0034041244070976973]","[0.5371865034103394, 0.4533904194831848, -0.05171532928943634]","[0.5280933976173401, 0.519476056098938, -0.0748264417052269]","[0.5252993106842041, 0.580542266368866, -0.07686754316091537]","[0.48176050186157227, 0.5427366495132446, -0.01768665388226509]","[0.4807102680206299, 0.45557552576065063, -0.07194215804338455]","[0.48357951641082764, 0.5213826894760132, -0.08448460698127747]","[0.4876895844936371, 0.5739713311195374, -0.07748106867074966]","[0.4313039779663086, 0.5691705346107483, -0.032831333577632904]","[0.4504167139530182, 0.5372337698936462, -0.07762615382671356]","[0.4661175012588501, 0.591034471988678, -0.08677161484956741]","[0.476642370223999, 0.6341508626937866, -0.08316687494516373]"
"[0.5019253492355347, 0.7795230150222778, -4.7670857838966185e-07]","[0.4113885164260864, 0.688536524772644, -0.031626146286726]","[0.4100082814693451, 0.5802668333053589, -0.04055037349462509]","[0.4788011908531189, 0.5251230597496033, -0.051693134009838104]","[0.539836585521698, 0.4901899993419647, -0.060613002628088]","[0.4126902222633362, 0.542309045791626, 0.02451992593705654]","[0.3757111430168152, 0.4677678048610687, -0.024140523746609688]","[0.3750181198120117, 0.5170322060585022, -0.06469447910785675]","[0.38567596673965454, 0.5704878568649292, -0.08588702231645584]","[0.46991419792175293, 0.5406284928321838, 0.022367315366864204]","[0.44108834862709045, 0.44636255502700806, -0.03263846039772034]","[0.42452794313430786, 0.5129011273384094, -0.06869921833276749]","[0.4266132116317749, 0.5726758241653442, -0.08041920512914658]","[0.5250824689865112, 0.5517743229866028, 0.010242495685815811]","[0.5100353360176086, 0.444866418838501, -0.045705754309892654]","[0.47953200340270996, 0.5092304944992065, -0.0653744488954544]","[0.4747256934642792, 0.5656781792640686, -0.06628409773111343]","[0.5749629735946655, 0.5737354159355164, -0.004693648777902126]","[0.5229727029800415, 0.5439578890800476, -0.051824409514665604]","[0.507004976272583, 0.6024867296218872, -0.06780578196048737]","[0.5237990021705627, 0.645384669303894, -0.07018142938613892]"
"[0.4890287518501282, 0.7896026968955994, -3.9238855720213905e-07]","[0.3937280476093292, 0.7206889390945435, -0.04001568257808685]","[0.3955429792404175, 0.6026499271392822, -0.05381777137517929]","[0.4696188271045685, 0.5512264966964722, -0.06255783140659332]","[0.5424236059188843, 0.5209188461303711, -0.06664475053548813]","[0.3931339383125305, 0.54414963722229, -0.023137403652071953]","[0.36129775643348694, 0.4730915427207947, -0.08439163118600845]","[0.37094569206237793, 0.5245491862297058, -0.12630833685398102]","[0.38462358713150024, 0.5874677300453186, -0.14787310361862183]","[0.4599774479866028, 0.5385188460350037, -0.02453596144914627]","[0.4271182417869568, 0.44305241107940674, -0.09379139542579651]","[0.42207062244415283, 0.5163667798042297, -0.12442819029092789]","[0.43401291966438293, 0.5799992680549622, -0.13175781071186066]","[0.5243639945983887, 0.5513646602630615, -0.03516688942909241]","[0.5123677253723145, 0.4421570599079132, -0.10316470265388489]","[0.4899367690086365, 0.4989909529685974, -0.1156468391418457]","[0.4935535788536072, 0.5439332723617554, -0.11272695660591125]","[0.5885118246078491, 0.5809490084648132, -0.04832366108894348]","[0.5400290489196777, 0.5568826198577881, -0.1077752485871315]","[0.521644115447998, 0.6237999200820923, -0.12235914170742035]","[0.5381340384483337, 0.6626244187355042, -0.12419208884239197]"
