Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
L,"[0.4687159061431885, 0.7359548807144165, 8.19570857402141e-07]","[0.535637378692627, 0.645119309425354, 0.1046953797340393]","[0.5560007095336914, 0.5683740377426147, 0.13525038957595825]","[0.5860370397567749, 0.5122376680374146, 0.13258948922157288]","[0.6067279577255249, 0.4479387104511261, 0.12723489105701447]","[0.41899704933166504, 0.5216783881187439, 0.1543271839618683]","[0.4527420699596405, 0.42890140414237976, 0.16251935064792633]","[0.5203502774238586, 0.409492552280426, 0.15412428975105286]","[0.5718641877174377, 0.42490172386169434, 0.14915411174297333]","[0.4049660265445709, 0.5226126313209534, 0.082178995013237]","[0.44387564063072205, 0.4020264148712158, 0.08477931469678879]","[0.5269665122032166, 0.39571863412857056, 0.07001464813947678]","[0.583834171295166, 0.4255392551422119, 0.06376346200704575]","[0.40494850277900696, 0.5239925384521484, 0.01109528262168169]","[0.444341242313385, 0.4089016318321228, 0.018976937979459763]","[0.5275927782058716, 0.40187209844589233, 0.027703886851668358]","[0.5778568983078003, 0.42864495515823364, 0.034402649849653244]","[0.42755916714668274, 0.5266265273094177, -0.05483950674533844]","[0.4793351888656616, 0.44034019112586975, -0.039595648646354675]","[0.5436098575592041, 0.43036383390426636, -0.019386444240808487]","[0.5848698616027832, 0.44516342878341675, -0.0043604010716080666]"
L,"[0.49146416783332825, 0.776293158531189, 7.769012313474377e-07]","[0.5670491456985474, 0.6582476496696472, 0.11241255700588226]","[0.5840436816215515, 0.567199170589447, 0.13660164177417755]","[0.617750883102417, 0.5046561360359192, 0.12393409013748169]","[0.6518510580062866, 0.4315124452114105, 0.10904031991958618]","[0.42747971415519714, 0.5030990242958069, 0.13251334428787231]","[0.45806780457496643, 0.387302964925766, 0.11371231824159622]","[0.5414482355117798, 0.36873430013656616, 0.08879708498716354]","[0.6047036051750183, 0.3918550908565521, 0.07504302263259888]","[0.4067072570323944, 0.5153214931488037, 0.04471563920378685]","[0.44514214992523193, 0.37090209126472473, 0.019195033237338066]","[0.5495298504829407, 0.3611358404159546, -0.00750473327934742]","[0.6160712838172913, 0.39493393898010254, -0.01933739334344864]","[0.40500515699386597, 0.5290679335594177, -0.04123612120747566]","[0.4428570568561554, 0.39368271827697754, -0.05516744405031204]","[0.5462178587913513, 0.3835103511810303, -0.0482550673186779]","[0.6057229042053223, 0.4122645854949951, -0.039276111871004105]","[0.425839900970459, 0.5448974370956421, -0.12137392908334732]","[0.47687163949012756, 0.4391730725765228, -0.12474016100168228]","[0.553780198097229, 0.4195256233215332, -0.10776660591363907]","[0.6050381660461426, 0.43271544575691223, -0.09213526546955109]"
R,"[0.50810706615448, 0.7792689800262451, -1.0585559948594891e-06]","[0.44108104705810547, 0.6585307717323303, 0.12112496793270111]","[0.4201778471469879, 0.580607533454895, 0.15836142003536224]","[0.3911686837673187, 0.5124327540397644, 0.16001567244529724]","[0.37692129611968994, 0.4427679777145386, 0.15044666826725006]","[0.5901591181755066, 0.531669557094574, 0.14300720393657684]","[0.5316804051399231, 0.4194655120372772, 0.15982314944267273]","[0.4564681947231293, 0.41153883934020996, 0.1627018004655838]","[0.39518895745277405, 0.43495070934295654, 0.16271552443504333]","[0.5927724242210388, 0.5357463359832764, 0.06492451578378677]","[0.5502811074256897, 0.39111530780792236, 0.07726607471704483]","[0.47116929292678833, 0.38012850284576416, 0.07759185135364532]","[0.4188520014286041, 0.4026639461517334, 0.07614549994468689]","[0.5811864733695984, 0.5393854379653931, -0.0090231504291296]","[0.5347247123718262, 0.39773279428482056, -0.0053957561030983925]","[0.45804649591445923, 0.3923799693584442, 0.00809265673160553]","[0.41168463230133057, 0.4154989719390869, 0.01632261835038662]","[0.5503751039505005, 0.5505215525627136, -0.07497502118349075]","[0.5031956434249878, 0.4414977729320526, -0.0739668533205986]","[0.4431820511817932, 0.4297301173210144, -0.055616192519664764]","[0.40020596981048584, 0.4455527365207672, -0.04131443426012993]"
L,"[0.46131718158721924, 0.7241190671920776, 3.7826427501386206e-07]","[0.4685709774494171, 0.6580796837806702, 0.08400341123342514]","[0.4851941168308258, 0.5848132967948914, 0.10127319395542145]","[0.5313940644264221, 0.5185708403587341, 0.09834595769643784]","[0.5782763361930847, 0.46966397762298584, 0.09569719433784485]","[0.37088415026664734, 0.5304091572761536, 0.04226065054535866]","[0.4247606098651886, 0.4168684184551239, 0.04159387946128845]","[0.48595255613327026, 0.39645352959632874, 0.05686330422759056]","[0.5289466381072998, 0.41100940108299255, 0.07374417036771774]","[0.3828433156013489, 0.5288471579551697, -0.010449638590216637]","[0.4435548186302185, 0.3903692364692688, -0.015011569485068321]","[0.5155956745147705, 0.38131654262542725, 0.007695940323174]","[0.5562046766281128, 0.4078238606452942, 0.031026732176542282]","[0.41630131006240845, 0.5381022095680237, -0.0569845549762249]","[0.4840199649333954, 0.4054148197174072, -0.05797724053263664]","[0.5553924441337585, 0.40541523694992065, -0.022123994305729866]","[0.5881450772285461, 0.43768003582954407, 0.007850246503949165]","[0.4684363007545471, 0.5520421266555786, -0.09713589400053024]","[0.5286500453948975, 0.44848746061325073, -0.08976706862449646]","[0.5812464356422424, 0.4396118223667145, -0.06050059199333191]","[0.608962893486023, 0.45597460865974426, -0.03470476716756821]"
L,"[0.4837992191314697, 0.7479833960533142, 1.0574067346169613e-06]","[0.561206042766571, 0.64080810546875, 0.08578905463218689]","[0.5776153206825256, 0.5601999163627625, 0.11088971048593521]","[0.5971859693527222, 0.49996206164360046, 0.10381659120321274]","[0.6126707196235657, 0.428311824798584, 0.09307549148797989]","[0.46020060777664185, 0.5198436975479126, 0.15196244418621063]","[0.4606489837169647, 0.42923450469970703, 0.15235348045825958]","[0.5128699541091919, 0.3976888060569763, 0.13705572485923767]","[0.5612092614173889, 0.3996569514274597, 0.1263391077518463]","[0.4392364025115967, 0.522075355052948, 0.08288414031267166]","[0.440619558095932, 0.4031691551208496, 0.06984050571918488]","[0.5142253041267395, 0.37852972745895386, 0.040355075150728226]","[0.57595294713974, 0.4005770981311798, 0.02494669146835804]","[0.4283834397792816, 0.5299600958824158, 0.011645619757473469]","[0.42996591329574585, 0.41582316160202026, 0.0025794876273721457]","[0.5090796947479248, 0.3974490165710449, -0.010298904031515121]","[0.5687294006347656, 0.4148463308811188, -0.01613767258822918]","[0.42678961157798767, 0.5421215295791626, -0.05550515279173851]","[0.45208001136779785, 0.4537161886692047, -0.05427092686295509]","[0.5132693648338318, 0.43694615364074707, -0.04990828037261963]","[0.5634671449661255, 0.4470890760421753, -0.046155791729688644]"
L,"[0.520898699760437, 0.7606989145278931, 3.209097769740765e-07]","[0.5980811715126038, 0.6946091651916504, -0.02223769947886467]","[0.6236100196838379, 0.5749180316925049, -0.02656988799571991]","[0.6318014860153198, 0.47988924384117126, -0.035450953990221024]","[0.612276017665863, 0.4082736670970917, -0.04264609515666962]","[0.5577578544616699, 0.49116840958595276, 0.01583831198513508]","[0.5371074080467224, 0.383283793926239, -0.01291864924132824]","[0.5702441930770874, 0.3733271360397339, -0.038805458694696426]","[0.5945538282394409, 0.4012579023838043, -0.05099186673760414]","[0.514664351940155, 0.4929625988006592, 0.011276783421635628]","[0.48656165599823, 0.3720203638076782, -0.013702891767024994]","[0.5351486206054688, 0.3637755215167999, -0.03958902508020401]","[0.5663061141967773, 0.40426987409591675, -0.05336795747280121]","[0.4753183126449585, 0.51026451587677, -0.0006408457993529737]","[0.442097932100296, 0.3945378363132477, -0.028600405901670456]","[0.4967110753059387, 0.3846885859966278, -0.05339989438652992]","[0.5370102524757385, 0.42494821548461914, -0.06399839371442795]","[0.43660151958465576, 0.5407609343528748, -0.015354156494140625]","[0.4277806282043457, 0.45392903685569763, -0.04156970605254173]","[0.4715709388256073, 0.4303556978702545, -0.06224760413169861]","[0.5145206451416016, 0.44614025950431824, -0.07273965328931808]"
L,"[0.46815937757492065, 0.7903285026550293, 1.5244091855493025e-07]","[0.5169950723648071, 0.6773989796638489, 0.1697649359703064]","[0.533776581287384, 0.595009446144104, 0.2218235731124878]","[0.5738916397094727, 0.5280665755271912, 0.23527255654335022]","[0.6113598346710205, 0.4721362590789795, 0.247397780418396]","[0.3734813332557678, 0.5163575410842896, 0.13868558406829834]","[0.42701849341392517, 0.4109431207180023, 0.1714014858007431]","[0.4982076585292816, 0.39937669038772583, 0.2070891410112381]","[0.5444793701171875, 0.4104937016963959, 0.2322879582643509]","[0.38072752952575684, 0.5220425724983215, 0.04090191423892975]","[0.4547552764415741, 0.37733301520347595, 0.05904911831021309]","[0.5400599241256714, 0.38118672370910645, 0.09268192946910858]","[0.5848549008369446, 0.40936964750289917, 0.12187004089355469]","[0.4167894124984741, 0.5319450497627258, -0.04524805024266243]","[0.4819500744342804, 0.39690467715263367, -0.026709187775850296]","[0.5667149424552917, 0.3983050584793091, 0.026129644364118576]","[0.6068814992904663, 0.42933475971221924, 0.06470376253128052]","[0.47615134716033936, 0.5434063076972961, -0.11936374008655548]","[0.5413252115249634, 0.4461044669151306, -0.09302779287099838]","[0.6025326251983643, 0.4302699565887451, -0.04829976335167885]","[0.6395151019096375, 0.442361444234848, -0.013647510670125484]"
L,"[0.49510958790779114, 0.7591560482978821, 1.263573722098954e-06]","[0.5766388773918152, 0.6601396799087524, 0.07739339023828506]","[0.592975378036499, 0.5710847973823547, 0.09786064177751541]","[0.6192564964294434, 0.5061967372894287, 0.08551841974258423]","[0.6309415698051453, 0.42082422971725464, 0.07019881904125214]","[0.4675907790660858, 0.5234522819519043, 0.15308703482151031]","[0.4786202013492584, 0.41888654232025146, 0.14488248527050018]","[0.5444954037666321, 0.3883548080921173, 0.11779550462961197]","[0.6012584567070007, 0.3970958888530731, 0.09854964166879654]","[0.44064316153526306, 0.5245103240013123, 0.08325319737195969]","[0.45051926374435425, 0.3871549963951111, 0.06468957662582397]","[0.5383871793746948, 0.3683241605758667, 0.020944753661751747]","[0.6038961410522461, 0.3991067409515381, -0.005900032818317413]","[0.420483261346817, 0.5301210880279541, 0.0098568145185709]","[0.4292612671852112, 0.3977546691894531, -0.0027083109598606825]","[0.5226003527641296, 0.38497424125671387, -0.024247419089078903]","[0.5856519341468811, 0.4091348648071289, -0.03832240030169487]","[0.41413614153862, 0.542683482170105, -0.06053365021944046]","[0.45585402846336365, 0.4441526234149933, -0.06631826609373093]","[0.5292712450027466, 0.4278627336025238, -0.06947214156389236]","[0.5825289487838745, 0.4372151494026184, -0.07260987907648087]"
R,"[0.47349533438682556, 0.7225571870803833, -5.907461968490679e-07]","[0.41194412112236023, 0.657357394695282, -0.023568259552121162]","[0.39388176798820496, 0.569793701171875, -0.03267165645956993]","[0.39482957124710083, 0.49401694536209106, -0.046542465686798096]","[0.4057069420814514, 0.4341028332710266, -0.055535849183797836]","[0.45051026344299316, 0.4910750687122345, 0.017798516899347305]","[0.481184184551239, 0.39890116453170776, -0.014240305870771408]","[0.44881319999694824, 0.38924944400787354, -0.03811630606651306]","[0.4241953194141388, 0.41518810391426086, -0.04960653558373451]","[0.4848718047142029, 0.494620680809021, 0.013515236787497997]","[0.5217769742012024, 0.3892700672149658, -0.02015591226518154]","[0.47676345705986023, 0.3840254247188568, -0.04119599238038063]","[0.4450186789035797, 0.41937312483787537, -0.04735736548900604]","[0.5184904932975769, 0.5086091756820679, 0.0005955474334768951]","[0.5502031445503235, 0.4121292531490326, -0.028904281556606293]","[0.5036266446113586, 0.4031746983528137, -0.04615035280585289]","[0.47099366784095764, 0.43450069427490234, -0.05067010596394539]","[0.5550417304039001, 0.5354918241500854, -0.015757128596305847]","[0.5597440004348755, 0.4597333073616028, -0.037208978086709976]","[0.518750786781311, 0.44234225153923035, -0.050333231687545776]","[0.48444610834121704, 0.46074503660202026, -0.05598331615328789]"
L,"[0.46899449825286865, 0.7181198596954346, 1.318659030857816e-07]","[0.4730721712112427, 0.6279789805412292, 0.13102586567401886]","[0.47654828429222107, 0.5585129857063293, 0.16860812902450562]","[0.4994012713432312, 0.5036901235580444, 0.18004482984542847]","[0.5264069437980652, 0.4620291292667389, 0.18894359469413757]","[0.39206284284591675, 0.5061686635017395, 0.067940853536129]","[0.43917977809906006, 0.42680448293685913, 0.08307095617055893]","[0.49388372898101807, 0.4123198091983795, 0.11123108118772507]","[0.5306328535079956, 0.42671048641204834, 0.1356448233127594]","[0.4076418876647949, 0.5140672922134399, -0.0033358766231685877]","[0.4537428021430969, 0.4024234414100647, 0.0033297839108854532]","[0.5138763189315796, 0.39732426404953003, 0.03770779073238373]","[0.5478952527046204, 0.418152779340744, 0.06959566473960876]","[0.4422784149646759, 0.5229470133781433, -0.06332480162382126]","[0.48421919345855713, 0.42091190814971924, -0.05282013118267059]","[0.5455701947212219, 0.4152946174144745, -0.009656746871769428]","[0.5749039649963379, 0.43570786714553833, 0.02497004345059395]","[0.4882586896419525, 0.5323718190193176, -0.11251013725996017]","[0.5332263708114624, 0.45247042179107666, -0.09221455454826355]","[0.5744897127151489, 0.4404677450656891, -0.05389851704239845]","[0.5994793176651001, 0.4554961025714874, -0.021614983677864075]"
