Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
L,"[0.5599930882453918, 0.8857841491699219, 2.2712441705152742e-07]","[0.6521889567375183, 0.8115435838699341, -0.036470070481300354]","[0.675190806388855, 0.7148191332817078, -0.06279738247394562]","[0.6571763157844543, 0.6404440999031067, -0.0900697186589241]","[0.6518130302429199, 0.5880942940711975, -0.11485833674669266]","[0.6123943328857422, 0.5992522835731506, -0.04782119765877724]","[0.6253666281700134, 0.5627394318580627, -0.10642363131046295]","[0.6486508846282959, 0.5528340935707092, -0.1465698778629303]","[0.6754525899887085, 0.5558594465255737, -0.16880100965499878]","[0.5406684279441833, 0.6040266156196594, -0.054244186729192734]","[0.5972335934638977, 0.6522740125656128, -0.12753871083259583]","[0.6428387761116028, 0.7084948420524597, -0.15200433135032654]","[0.6741960644721985, 0.7603082656860352, -0.15515923500061035]","[0.4823446273803711, 0.6407040953636169, -0.06655395776033401]","[0.555364191532135, 0.7235673069953918, -0.13829630613327026]","[0.594092607498169, 0.7938609719276428, -0.1398247629404068]","[0.6195135712623596, 0.84686279296875, -0.12248367816209793]","[0.4347572922706604, 0.692548930644989, -0.08319418877363205]","[0.5051692724227905, 0.7591956853866577, -0.13153354823589325]","[0.5441673398017883, 0.8083603382110596, -0.1335589587688446]","[0.5699453353881836, 0.8409069776535034, -0.12133608758449554]"
L,"[0.5387779474258423, 0.907380223274231, 4.625576082162297e-07]","[0.6485163569450378, 0.8265243768692017, -0.06559331715106964]","[0.6590417623519897, 0.7256207466125488, -0.1122671440243721]","[0.620328962802887, 0.6440313458442688, -0.15596412122249603]","[0.5844925045967102, 0.5844906568527222, -0.19247467815876007]","[0.6104583740234375, 0.6217477321624756, -0.06984055787324905]","[0.6085355281829834, 0.5902463793754578, -0.1652325540781021]","[0.6120604276657104, 0.5857166647911072, -0.22519399225711823]","[0.614669144153595, 0.5929969549179077, -0.2560395896434784]","[0.5308668613433838, 0.6230868697166443, -0.07306648790836334]","[0.5622408986091614, 0.6631059050559998, -0.18241369724273682]","[0.5856099724769592, 0.7274290919303894, -0.2181437611579895]","[0.6011048555374146, 0.7679004669189453, -0.22224098443984985]","[0.4656689465045929, 0.6521389484405518, -0.0884927287697792]","[0.5089024305343628, 0.7333164811134338, -0.19324062764644623]","[0.5516470670700073, 0.8149316906929016, -0.19455470144748688]","[0.5835173726081848, 0.8598930835723877, -0.16993260383605957]","[0.4139965772628784, 0.6962029933929443, -0.11092270165681839]","[0.46063411235809326, 0.7696899771690369, -0.18053357303142548]","[0.49024203419685364, 0.8222915530204773, -0.18540067970752716]","[0.513129472732544, 0.8404591083526611, -0.17197971045970917]"
R,"[0.47912463545799255, 0.9159450531005859, -7.049573014228372e-07]","[0.39063936471939087, 0.844551146030426, -0.05062687024474144]","[0.3661213219165802, 0.7463353276252747, -0.07824001461267471]","[0.41336846351623535, 0.6683303117752075, -0.1013355478644371]","[0.48337870836257935, 0.6268680095672607, -0.11705011129379272]","[0.4225054979324341, 0.6416077613830566, -0.04070436954498291]","[0.4176841378211975, 0.6109272241592407, -0.11628410220146179]","[0.42286598682403564, 0.6091878414154053, -0.16470730304718018]","[0.4279730021953583, 0.6248003244400024, -0.18987613916397095]","[0.49685800075531006, 0.6322849988937378, -0.03879256919026375]","[0.4886641502380371, 0.6949899196624756, -0.13034330308437347]","[0.46232718229293823, 0.7772753238677979, -0.15481996536254883]","[0.4458754360675812, 0.8371601700782776, -0.15189501643180847]","[0.5580052733421326, 0.655278742313385, -0.04762963950634003]","[0.5351370573043823, 0.7493898272514343, -0.13114061951637268]","[0.4910751283168793, 0.821815013885498, -0.12636496126651764]","[0.4639347791671753, 0.858951985836029, -0.10255163162946701]","[0.6089444160461426, 0.6944187879562378, -0.0627947673201561]","[0.5819539427757263, 0.7890140414237976, -0.12246103584766388]","[0.5357638597488403, 0.8393945693969727, -0.12845253944396973]","[0.5054225325584412, 0.8518815040588379, -0.11745121330022812]"
R,"[0.4479449391365051, 0.9093018770217896, -7.972593607519229e-07]","[0.37592196464538574, 0.8405642509460449, -0.03128291666507721]","[0.3496251702308655, 0.7400813698768616, -0.0518307089805603]","[0.3809847831726074, 0.6621668934822083, -0.07239355891942978]","[0.4438028037548065, 0.6271607279777527, -0.08821923285722733]","[0.4054639935493469, 0.6369535326957703, -0.03021877631545067]","[0.3899063467979431, 0.600521445274353, -0.07903967797756195]","[0.39795294404029846, 0.5867269039154053, -0.10886212438344955]","[0.40707820653915405, 0.5926997065544128, -0.1243690624833107]","[0.48201513290405273, 0.6262016296386719, -0.035955652594566345]","[0.4634590148925781, 0.6829394698143005, -0.10077537596225739]","[0.4367448091506958, 0.7537783980369568, -0.12059336155653]","[0.41054558753967285, 0.8175033330917358, -0.11770656704902649]","[0.5456288456916809, 0.6527438759803772, -0.047080814838409424]","[0.5040945410728455, 0.7533727884292603, -0.10972500592470169]","[0.4612773060798645, 0.8232768177986145, -0.10985592007637024]","[0.42894643545150757, 0.8710139393806458, -0.0922839567065239]","[0.5973525643348694, 0.6991196870803833, -0.06206440553069115]","[0.55796879529953, 0.7849989533424377, -0.10420770198106766]","[0.513005256652832, 0.833573579788208, -0.10550413280725479]","[0.4787867069244385, 0.8592129945755005, -0.09311818331480026]"
R,"[0.45910173654556274, 0.8924759030342102, -2.530724430016562e-07]","[0.3783929944038391, 0.8380968570709229, -0.046552203595638275]","[0.3554081916809082, 0.741691529750824, -0.0731065571308136]","[0.3889425992965698, 0.6673454642295837, -0.09545556455850601]","[0.4313949942588806, 0.6261098384857178, -0.11205839365720749]","[0.3945171535015106, 0.6462199091911316, -0.06044918671250343]","[0.3835546672344208, 0.601068377494812, -0.13453881442546844]","[0.39569443464279175, 0.5861765146255493, -0.1836957484483719]","[0.41232725977897644, 0.5962738990783691, -0.21002992987632751]","[0.46743637323379517, 0.6360896825790405, -0.06376377493143082]","[0.4728589653968811, 0.6405872702598572, -0.153076633810997]","[0.4588879942893982, 0.6829842329025269, -0.18706932663917542]","[0.4456055164337158, 0.7361798882484436, -0.1913360357284546]","[0.5319173336029053, 0.6537927985191345, -0.07396988570690155]","[0.506341814994812, 0.7432029843330383, -0.1520497351884842]","[0.45903220772743225, 0.8161056637763977, -0.1496472954750061]","[0.4264425039291382, 0.862165093421936, -0.1277914047241211]","[0.5861382484436035, 0.6892686486244202, -0.09028976410627365]","[0.5558333396911621, 0.7770944237709045, -0.14122650027275085]","[0.5070906281471252, 0.8282912969589233, -0.1411329209804535]","[0.4748997092247009, 0.8499789237976074, -0.1275920867919922]"
R,"[0.4627971053123474, 0.7385542392730713, 2.9910398779975367e-07]","[0.43158096075057983, 0.7037080526351929, -0.1625814288854599]","[0.44191670417785645, 0.6592246890068054, -0.2660231292247772]","[0.476043701171875, 0.6181994676589966, -0.33813413977622986]","[0.5359248518943787, 0.6123203635215759, -0.40340837836265564]","[0.5608001947402954, 0.6982453465461731, -0.28906986117362976]","[0.5540714859962463, 0.7493345737457275, -0.391054630279541]","[0.5032075643539429, 0.8234022855758667, -0.4329257011413574]","[0.4636683166027069, 0.8715260624885559, -0.45634764432907104]","[0.6022461652755737, 0.7330653667449951, -0.24688021838665009]","[0.6407735347747803, 0.7948013544082642, -0.36630576848983765]","[0.5514401793479919, 0.855413556098938, -0.40543633699417114]","[0.47806161642074585, 0.8851320743560791, -0.42192038893699646]","[0.6304963231086731, 0.7637820839881897, -0.20871791243553162]","[0.6429745554924011, 0.8142414689064026, -0.3232184052467346]","[0.5565533638000488, 0.8671069145202637, -0.34554100036621094]","[0.48421603441238403, 0.8899537324905396, -0.34530332684516907]","[0.6392650008201599, 0.7844845652580261, -0.17877373099327087]","[0.6398186087608337, 0.8220311999320984, -0.27194908261299133]","[0.5749770402908325, 0.8629964590072632, -0.2982083261013031]","[0.5196616649627686, 0.8818678855895996, -0.3063364028930664]"
R,"[0.4009288549423218, 0.8871821165084839, -1.5637968999726581e-06]","[0.30662670731544495, 0.8149213790893555, -0.014898581430315971]","[0.24444696307182312, 0.7248874306678772, -0.03038843162357807]","[0.2149079442024231, 0.6559702157974243, -0.04917432740330696]","[0.20038264989852905, 0.5919792652130127, -0.06904838979244232]","[0.2879401743412018, 0.5918729305267334, -0.03067689575254917]","[0.1812949925661087, 0.563743531703949, -0.06710159778594971]","[0.11368852853775024, 0.5612417459487915, -0.09213996678590775]","[0.06222739815711975, 0.5655869841575623, -0.10692884027957916]","[0.3377324342727661, 0.592738151550293, -0.045760076493024826]","[0.18959836661815643, 0.6682357788085938, -0.09054029732942581]","[0.12060001492500305, 0.7410262227058411, -0.10693579912185669]","[0.07774826884269714, 0.7853587865829468, -0.10895603895187378]","[0.37759074568748474, 0.6303971409797668, -0.06259654462337494]","[0.24896752834320068, 0.7303189039230347, -0.10135361552238464]","[0.26774725317955017, 0.7996029257774353, -0.097681924700737]","[0.2996633052825928, 0.8274238705635071, -0.08792378753423691]","[0.40421244502067566, 0.6851199269294739, -0.081467404961586]","[0.29835084080696106, 0.7531494498252869, -0.11246646195650101]","[0.30531638860702515, 0.8055365085601807, -0.10319913178682327]","[0.3314364552497864, 0.8249295949935913, -0.08681314438581467]"
L,"[0.5471922755241394, 0.906808078289032, 6.534233989441418e-07]","[0.6597172617912292, 0.8349554538726807, -0.05953899025917053]","[0.6871057152748108, 0.7345210909843445, -0.10567248612642288]","[0.6794849634170532, 0.647028386592865, -0.1480122208595276]","[0.7059481143951416, 0.5754464864730835, -0.18426920473575592]","[0.6451839208602905, 0.6177216172218323, -0.09010986238718033]","[0.6601645946502686, 0.5945715308189392, -0.18109571933746338]","[0.6890859603881836, 0.5998649597167969, -0.23719443380832672]","[0.718451738357544, 0.6045520305633545, -0.26929542422294617]","[0.5714808702468872, 0.618638813495636, -0.09596053510904312]","[0.6362211108207703, 0.6638184189796448, -0.20314759016036987]","[0.6799384951591492, 0.7397838830947876, -0.2348896861076355]","[0.7015829682350159, 0.7892595529556274, -0.24062320590019226]","[0.5121512413024902, 0.6528822183609009, -0.11079033464193344]","[0.5862540006637573, 0.7424116730690002, -0.21062615513801575]","[0.6164655685424805, 0.8195241093635559, -0.20541423559188843]","[0.6245864629745483, 0.8524894118309021, -0.18101204931735992]","[0.4644087255001068, 0.6987878680229187, -0.13202746212482452]","[0.5387893319129944, 0.7880237102508545, -0.2032419741153717]","[0.5659082531929016, 0.8391410112380981, -0.20730072259902954]","[0.5734480023384094, 0.8503411412239075, -0.1948537975549698]"
L,"[0.591116726398468, 0.828571617603302, 1.738340415613493e-06]","[0.6834113001823425, 0.7860267758369446, -0.03213871642947197]","[0.7409537434577942, 0.724723756313324, -0.0750783160328865]","[0.7777205109596252, 0.683307945728302, -0.11699701845645905]","[0.8086027503013611, 0.6339399814605713, -0.15514956414699554]","[0.7297463417053223, 0.6110103726387024, -0.10889466851949692]","[0.8193670511245728, 0.5872049331665039, -0.17882734537124634]","[0.8894098401069641, 0.5881514549255371, -0.2228073626756668]","[0.9499580264091492, 0.5941674709320068, -0.25077465176582336]","[0.6809797286987305, 0.6206905841827393, -0.1230223998427391]","[0.8019764423370361, 0.6934618949890137, -0.21629008650779724]","[0.8844343423843384, 0.7572313547134399, -0.25311851501464844]","[0.9459550976753235, 0.8013229370117188, -0.27103015780448914]","[0.6380261182785034, 0.6643953919410706, -0.13553620874881744]","[0.7561705112457275, 0.76622474193573, -0.20947711169719696]","[0.7456094026565552, 0.8321561813354492, -0.18971969187259674]","[0.7135537266731262, 0.8540619015693665, -0.16305938363075256]","[0.6056578159332275, 0.7142643928527832, -0.15170322358608246]","[0.7111964821815491, 0.8021342158317566, -0.1967901587486267]","[0.703565239906311, 0.837970495223999, -0.177980437874794]","[0.67423415184021, 0.8360036611557007, -0.1553601324558258]"
L,"[0.5216297507286072, 0.9011916518211365, 7.129229970814777e-07]","[0.6469911336898804, 0.8244940042495728, -0.04151191934943199]","[0.6890853047370911, 0.7296093702316284, -0.08393095433712006]","[0.6935257911682129, 0.6451476216316223, -0.12851707637310028]","[0.6989350914955139, 0.5814102292060852, -0.1699729859828949]","[0.645357608795166, 0.6023930311203003, -0.07017456740140915]","[0.6701600551605225, 0.5614010691642761, -0.1423877328634262]","[0.700130045413971, 0.5468403100967407, -0.19027601182460785]","[0.7348846793174744, 0.5366469025611877, -0.2194349616765976]","[0.5752401351928711, 0.6046178936958313, -0.08369464427232742]","[0.6480722427368164, 0.6331913471221924, -0.17242005467414856]","[0.69127357006073, 0.6927461624145508, -0.20170368254184723]","[0.7135570645332336, 0.7402542233467102, -0.20897118747234344]","[0.516940176486969, 0.6377248167991638, -0.10354253649711609]","[0.6031621694564819, 0.7212239503860474, -0.1923123449087143]","[0.6264979839324951, 0.8040770292282104, -0.19315458834171295]","[0.6269446015357971, 0.8590631484985352, -0.17365910112857819]","[0.46753740310668945, 0.6835318207740784, -0.12785346806049347]","[0.5513930320739746, 0.7621385455131531, -0.18724772334098816]","[0.573447048664093, 0.8177608847618103, -0.1893223375082016]","[0.5760200619697571, 0.8492988348007202, -0.17788851261138916]"
