Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
R,"[0.5455183982849121, 0.7895898222923279, 5.052042979514226e-07]","[0.46927815675735474, 0.8186725378036499, -0.05751070752739906]","[0.4303744435310364, 0.8614558577537537, -0.10793939977884293]","[0.46146172285079956, 0.9153454303741455, -0.14042524993419647]","[0.48227325081825256, 0.977409303188324, -0.17161007225513458]","[0.45558834075927734, 0.7023720741271973, -0.19215932488441467]","[0.5174099802970886, 0.78498375415802, -0.2563284635543823]","[0.538665771484375, 0.8614636063575745, -0.2879219055175781]","[0.557903528213501, 0.9167802333831787, -0.30419790744781494]","[0.5405002236366272, 0.6732759475708008, -0.18263906240463257]","[0.587570071220398, 0.8508309125900269, -0.2483646273612976]","[0.5642247796058655, 0.8874258995056152, -0.25311529636383057]","[0.5442763566970825, 0.8733095526695251, -0.2521827518939972]","[0.6062232851982117, 0.6878685355186462, -0.16709381341934204]","[0.6305599808692932, 0.8622211813926697, -0.21570473909378052]","[0.6004208326339722, 0.8741194605827332, -0.1883593499660492]","[0.5780284404754639, 0.8424165844917297, -0.16320864856243134]","[0.6581565141677856, 0.7217676639556885, -0.15449535846710205]","[0.6693758368492126, 0.8416420817375183, -0.17775414884090424]","[0.6389085054397583, 0.8593345284461975, -0.15508171916007996]","[0.6164437532424927, 0.8435794115066528, -0.13850337266921997]"
R,"[0.5213084816932678, 0.8004080057144165, -6.221307558007538e-07]","[0.4446112811565399, 0.8009945154190063, -0.04617520049214363]","[0.36915090680122375, 0.8142613172531128, -0.09128013998270035]","[0.3196946084499359, 0.851457953453064, -0.13281984627246857]","[0.286243200302124, 0.8845892548561096, -0.1696508675813675]","[0.3785518705844879, 0.6462700963020325, -0.08934435248374939]","[0.3270460367202759, 0.725711464881897, -0.1358870267868042]","[0.30133938789367676, 0.7809644937515259, -0.16175788640975952]","[0.2846308946609497, 0.8199256658554077, -0.17539213597774506]","[0.44163790345191956, 0.6435665488243103, -0.09107409417629242]","[0.3849995732307434, 0.7925953269004822, -0.12185041606426239]","[0.40240126848220825, 0.8172036409378052, -0.12428456544876099]","[0.43022364377975464, 0.8081623315811157, -0.12659558653831482]","[0.501089334487915, 0.670989453792572, -0.09611611813306808]","[0.44495564699172974, 0.812946617603302, -0.11819178611040115]","[0.46068328619003296, 0.8257789611816406, -0.09839729964733124]","[0.4813995361328125, 0.8076707124710083, -0.08428052812814713]","[0.5488119125366211, 0.7102407217025757, -0.10826871544122696]","[0.5059366226196289, 0.814363420009613, -0.12760645151138306]","[0.5112998485565186, 0.825980544090271, -0.11585360765457153]","[0.5256868004798889, 0.8049643039703369, -0.10125410556793213]"
L,"[0.48040100932121277, 0.7142311334609985, 2.413769379927544e-07]","[0.5533664226531982, 0.7523444294929504, -0.08194349706172943]","[0.5918264389038086, 0.8034343123435974, -0.15977467596530914]","[0.5968196988105774, 0.8724182844161987, -0.22596175968647003]","[0.5807430744171143, 0.9316776394844055, -0.2899520993232727]","[0.5709057450294495, 0.6802582740783691, -0.20143017172813416]","[0.5800140500068665, 0.7825989127159119, -0.2813873887062073]","[0.5857089161872864, 0.8476328253746033, -0.3209093511104584]","[0.5783410668373108, 0.8769762516021729, -0.3432541489601135]","[0.4905642569065094, 0.6714954972267151, -0.1977316290140152]","[0.500677227973938, 0.814154326915741, -0.2622409164905548]","[0.5147771239280701, 0.8455420732498169, -0.2662273943424225]","[0.5188027620315552, 0.8350837230682373, -0.2745365500450134]","[0.4241696000099182, 0.690947949886322, -0.19580665230751038]","[0.44817858934402466, 0.8332196474075317, -0.24105854332447052]","[0.4647897779941559, 0.8491283655166626, -0.2193552702665329]","[0.4731886088848114, 0.8284827470779419, -0.20875735580921173]","[0.3742300271987915, 0.7202574014663696, -0.2036912441253662]","[0.3966459333896637, 0.8340880274772644, -0.23534594476222992]","[0.4150053858757019, 0.8506515026092529, -0.2243167757987976]","[0.4228365421295166, 0.8356128931045532, -0.21845397353172302]"
R,"[0.493633508682251, 0.7626193761825562, -5.744963686993287e-07]","[0.4340589642524719, 0.7678449749946594, -0.05963313952088356]","[0.37401679158210754, 0.7839187383651733, -0.11069034039974213]","[0.3449997305870056, 0.842742919921875, -0.15295441448688507]","[0.3392041027545929, 0.8914740085601807, -0.19003933668136597]","[0.387088418006897, 0.6782625317573547, -0.13321030139923096]","[0.3488878309726715, 0.783306360244751, -0.19521015882492065]","[0.33215439319610596, 0.8551142811775208, -0.22385837137699127]","[0.3169741630554199, 0.8978410363197327, -0.23602083325386047]","[0.45738404989242554, 0.6787369847297668, -0.1280573010444641]","[0.42054301500320435, 0.8398281931877136, -0.17639683187007904]","[0.4252127408981323, 0.8413649797439575, -0.17623327672481537]","[0.42922839522361755, 0.8136393427848816, -0.1723017543554306]","[0.5233595371246338, 0.7034444808959961, -0.12547223269939423]","[0.4758817255496979, 0.8546316623687744, -0.15534628927707672]","[0.4760546386241913, 0.8479246497154236, -0.12173791229724884]","[0.48066961765289307, 0.8130232095718384, -0.0945749282836914]","[0.5722674131393433, 0.7364434003829956, -0.1313435435295105]","[0.531282365322113, 0.8473174571990967, -0.15658849477767944]","[0.5209919214248657, 0.8433378338813782, -0.1388273984193802]","[0.5227633714675903, 0.8103153705596924, -0.11697826534509659]"
R,"[0.4864390194416046, 0.7321527004241943, -6.388924020939157e-07]","[0.4100404977798462, 0.7257739901542664, -0.1034223884344101]","[0.33381861448287964, 0.7191963195800781, -0.18762026727199554]","[0.31073570251464844, 0.747299313545227, -0.2585621476173401]","[0.31683745980262756, 0.7818001508712769, -0.31995144486427307]","[0.36912938952445984, 0.5267682075500488, -0.18267060816287994]","[0.33819380402565, 0.58304762840271, -0.27605336904525757]","[0.33035680651664734, 0.6521005034446716, -0.31192588806152344]","[0.33072787523269653, 0.6868233680725098, -0.32726892828941345]","[0.4450661838054657, 0.5250792503356934, -0.16752375662326813]","[0.41123029589653015, 0.6475069522857666, -0.25606587529182434]","[0.40267613530158997, 0.7129671573638916, -0.25950321555137634]","[0.4112032353878021, 0.7038520574569702, -0.25300633907318115]","[0.5136004090309143, 0.5518952012062073, -0.16121476888656616]","[0.4767511487007141, 0.6973822712898254, -0.23342114686965942]","[0.4498547315597534, 0.7463572025299072, -0.21155573427677155]","[0.4432804584503174, 0.725556492805481, -0.18936435878276825]","[0.5714372396469116, 0.5883547067642212, -0.16602246463298798]","[0.5354127883911133, 0.7045654058456421, -0.21370403468608856]","[0.5036197304725647, 0.745274543762207, -0.20966236293315887]","[0.4922983646392822, 0.7268366813659668, -0.1999012976884842]"
L,"[0.5689178705215454, 0.8440116047859192, -6.780134640393953e-07]","[0.52903151512146, 0.8559108972549438, -0.12384751439094543]","[0.4329223334789276, 0.8672435879707336, -0.1728406697511673]","[0.3430398106575012, 0.9066357612609863, -0.19161704182624817]","[0.26960986852645874, 0.9425807595252991, -0.20693343877792358]","[0.3832952082157135, 0.6826751828193665, -0.1439562886953354]","[0.27460503578186035, 0.7682504057884216, -0.18369339406490326]","[0.2114143669605255, 0.829607367515564, -0.21316124498844147]","[0.1631990373134613, 0.8764822483062744, -0.2294882982969284]","[0.36464211344718933, 0.6847314834594727, -0.08475478738546371]","[0.28382357954978943, 0.8021208047866821, -0.1311766803264618]","[0.28570666909217834, 0.8939465284347534, -0.15836742520332336]","[0.29821228981018066, 0.9499636888504028, -0.16792431473731995]","[0.3486432731151581, 0.7095088958740234, -0.029360627755522728]","[0.27978989481925964, 0.8136812448501587, -0.06915333867073059]","[0.3001609444618225, 0.8805235028266907, -0.09153838455677032]","[0.32146698236465454, 0.9140188694000244, -0.09602578729391098]","[0.3390834927558899, 0.7423095703125, 0.017784181982278824]","[0.29672902822494507, 0.8274542689323425, -0.019211651757359505]","[0.30931276082992554, 0.8740725517272949, -0.033966097980737686]","[0.32559388875961304, 0.8995544910430908, -0.03264137730002403]"
R,"[0.4681962728500366, 0.6857873797416687, -7.722762802586658e-07]","[0.40150150656700134, 0.6934056878089905, -0.06373067200183868]","[0.32423529028892517, 0.7008413672447205, -0.11917835474014282]","[0.2918893098831177, 0.7535360455513, -0.16790471971035004]","[0.29172074794769287, 0.8065207004547119, -0.20878452062606812]","[0.34119388461112976, 0.5406836271286011, -0.12057935446500778]","[0.2931877672672272, 0.6229307651519775, -0.18686813116073608]","[0.2696250081062317, 0.6895090937614441, -0.21737390756607056]","[0.25323686003685, 0.7388625144958496, -0.23055419325828552]","[0.4194689095020294, 0.5343484282493591, -0.11590106040239334]","[0.3739023208618164, 0.7084610462188721, -0.16945074498653412]","[0.382945716381073, 0.7406333088874817, -0.1705985963344574]","[0.39821192622184753, 0.726908802986145, -0.16721805930137634]","[0.4906575679779053, 0.5593425631523132, -0.11667642742395401]","[0.44551414251327515, 0.7317718863487244, -0.15735657513141632]","[0.4379793107509613, 0.7438868284225464, -0.13180555403232574]","[0.4397869408130646, 0.7085219621658325, -0.10982304811477661]","[0.5482327342033386, 0.5952626466751099, -0.1263445019721985]","[0.5044248104095459, 0.7284249067306519, -0.1590430587530136]","[0.4930435121059418, 0.7419851422309875, -0.14903198182582855]","[0.49668407440185547, 0.7060282826423645, -0.13301163911819458]"
L,"[0.4961901903152466, 0.7151871919631958, -1.380914937954003e-07]","[0.5613418817520142, 0.7743132710456848, -0.07040157169103622]","[0.5880614519119263, 0.8384127616882324, -0.12970584630966187]","[0.5351349115371704, 0.8912146091461182, -0.18002010881900787]","[0.4580143094062805, 0.9486689567565918, -0.22763855755329132]","[0.5435757637023926, 0.7060586214065552, -0.1566047966480255]","[0.47084301710128784, 0.7304852604866028, -0.23325566947460175]","[0.42048609256744385, 0.8092317581176758, -0.2748595178127289]","[0.3782792091369629, 0.8673801422119141, -0.2945387661457062]","[0.459440678358078, 0.6766725778579712, -0.15236100554466248]","[0.4060323238372803, 0.7176330089569092, -0.22266621887683868]","[0.396328330039978, 0.8125791549682617, -0.23729747533798218]","[0.3893130421638489, 0.8785886764526367, -0.24532721936702728]","[0.40132299065589905, 0.6710914969444275, -0.14995639026165009]","[0.3589816093444824, 0.7299646139144897, -0.21295100450515747]","[0.3523580729961395, 0.8133566379547119, -0.2072436362504959]","[0.35043156147003174, 0.8740683794021606, -0.1963828206062317]","[0.36250102519989014, 0.687131941318512, -0.15463469922542572]","[0.32507234811782837, 0.7515816688537598, -0.19884252548217773]","[0.32169124484062195, 0.8143690228462219, -0.19551143050193787]","[0.3234860897064209, 0.8620677590370178, -0.18950484693050385]"
L,"[0.49240753054618835, 0.6726179122924805, 1.5355742277733953e-07]","[0.5780767798423767, 0.6765657067298889, -0.08167794346809387]","[0.6345007419586182, 0.6982338428497314, -0.15044012665748596]","[0.6121340394020081, 0.7647857069969177, -0.20653359591960907]","[0.5586335062980652, 0.8367156982421875, -0.257519394159317]","[0.5779472589492798, 0.5322848558425903, -0.17303353548049927]","[0.5527610182762146, 0.6402499675750732, -0.2535368502140045]","[0.5343255996704102, 0.707679033279419, -0.29676488041877747]","[0.506659746170044, 0.7266340255737305, -0.3196152150630951]","[0.48482078313827515, 0.5424941182136536, -0.1640777438879013]","[0.4795650243759155, 0.7106962203979492, -0.22078780829906464]","[0.5192742943763733, 0.7459580302238464, -0.2238827496767044]","[0.539698600769043, 0.7274590134620667, -0.22875218093395233]","[0.41344037652015686, 0.5779341459274292, -0.15928788483142853]","[0.42646893858909607, 0.7387606501579285, -0.19560368359088898]","[0.468013733625412, 0.7539326548576355, -0.1677602380514145]","[0.4932990074157715, 0.723204493522644, -0.14923350512981415]","[0.36445701122283936, 0.6211917400360107, -0.16555233299732208]","[0.38076165318489075, 0.738064169883728, -0.18752877414226532]","[0.4200276732444763, 0.7552326917648315, -0.16878877580165863]","[0.44638943672180176, 0.7387902140617371, -0.15301911532878876]"
R,"[0.5193937420845032, 0.7502672672271729, -5.392457751440816e-07]","[0.45456236600875854, 0.7585509419441223, -0.09802364557981491]","[0.3887213468551636, 0.7678905725479126, -0.17877747118473053]","[0.3678807318210602, 0.8078123927116394, -0.24136798083782196]","[0.3637460172176361, 0.8494348526000977, -0.2977733910083771]","[0.4167329967021942, 0.6528818011283875, -0.21340397000312805]","[0.3946453928947449, 0.7495225071907043, -0.3115167021751404]","[0.39055269956588745, 0.8287944793701172, -0.3616195619106293]","[0.3889254331588745, 0.87690269947052, -0.38673025369644165]","[0.4947573244571686, 0.6617850661277771, -0.1994873434305191]","[0.4766780436038971, 0.7968697547912598, -0.29141953587532043]","[0.4628804624080658, 0.8349611759185791, -0.3054845929145813]","[0.4535039961338043, 0.8355342745780945, -0.30766168236732483]","[0.563200831413269, 0.6919614672660828, -0.18904311954975128]","[0.5320889353752136, 0.8386255502700806, -0.25707316398620605]","[0.49763938784599304, 0.8627291917800903, -0.23257127404212952]","[0.47996434569358826, 0.8458191156387329, -0.20906835794448853]","[0.6143500804901123, 0.7254036664962769, -0.1887265294790268]","[0.5809729695320129, 0.8402625322341919, -0.23628295958042145]","[0.5419901013374329, 0.8668734431266785, -0.22526554763317108]","[0.5223537683486938, 0.8544268012046814, -0.20965085923671722]"
