Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.48591601848602295, 0.7611023187637329]","[0.41664546728134155, 0.6867677569389343]","[0.40312254428863525, 0.5870909094810486]","[0.4423443078994751, 0.5080349445343018]","[0.4777666926383972, 0.4379950165748596]","[0.4432429373264313, 0.5427044034004211]","[0.44396737217903137, 0.45305362343788147]","[0.440607488155365, 0.39456215500831604]","[0.4445107579231262, 0.34351760149002075]","[0.4891120195388794, 0.5451857447624207]","[0.4748069941997528, 0.4348621368408203]","[0.4490964710712433, 0.37588241696357727]","[0.43417051434516907, 0.3217107355594635]","[0.5333548188209534, 0.5610209703445435]","[0.5128123164176941, 0.4674118459224701]","[0.4817444682121277, 0.5472375750541687]","[0.4766477346420288, 0.6088598966598511]","[0.5808320641517639, 0.5833104252815247]","[0.5352271795272827, 0.5280544757843018]","[0.5096530914306641, 0.5799264311790466]","[0.5126921534538269, 0.6245678663253784]"
"[0.4739536643028259, 0.7650665640830994]","[0.4056711792945862, 0.6814782619476318]","[0.40218013525009155, 0.5798182487487793]","[0.4380473494529724, 0.503878653049469]","[0.4653615653514862, 0.4347788095474243]","[0.4602954387664795, 0.5366162061691284]","[0.4507504105567932, 0.444327712059021]","[0.4349879324436188, 0.3870960474014282]","[0.42828744649887085, 0.3363568186759949]","[0.5045500993728638, 0.5443993210792542]","[0.4904530346393585, 0.430786669254303]","[0.4560807943344116, 0.37728673219680786]","[0.4364275336265564, 0.3317609131336212]","[0.5457298755645752, 0.5651629567146301]","[0.5060433745384216, 0.4787825047969818]","[0.47281748056411743, 0.5527966022491455]","[0.47319746017456055, 0.6101492643356323]","[0.5856568813323975, 0.5941333174705505]","[0.5306438207626343, 0.5339034795761108]","[0.5006382465362549, 0.5867432355880737]","[0.5060865879058838, 0.6326704621315002]"
"[0.5120980739593506, 0.7732778787612915]","[0.4646279811859131, 0.6749206781387329]","[0.45243072509765625, 0.58939129114151]","[0.48095232248306274, 0.5119373798370361]","[0.5105577707290649, 0.43521368503570557]","[0.4191093146800995, 0.5192651748657227]","[0.436601847410202, 0.43739786744117737]","[0.4605224132537842, 0.3806275725364685]","[0.48405468463897705, 0.3364711403846741]","[0.47593143582344055, 0.5330604910850525]","[0.4739375710487366, 0.42707011103630066]","[0.4785914123058319, 0.3766266107559204]","[0.48142969608306885, 0.33048662543296814]","[0.5303782820701599, 0.5593055486679077]","[0.5441509485244751, 0.4918431043624878]","[0.5331581234931946, 0.5599161982536316]","[0.5251097083091736, 0.6005048155784607]","[0.5832662582397461, 0.5803524255752563]","[0.5845649838447571, 0.5380366444587708]","[0.5694575905799866, 0.5940622687339783]","[0.5595228672027588, 0.6358582377433777]"
"[0.5231202840805054, 0.8022189736366272]","[0.46910059452056885, 0.7069330215454102]","[0.44780033826828003, 0.612197756767273]","[0.474779337644577, 0.5276430249214172]","[0.5011914968490601, 0.43656522035598755]","[0.4022572934627533, 0.5245261788368225]","[0.4246272146701813, 0.42985114455223083]","[0.457438588142395, 0.36739933490753174]","[0.49254679679870605, 0.3154725730419159]","[0.46476882696151733, 0.5398481488227844]","[0.45634108781814575, 0.4245334267616272]","[0.46905508637428284, 0.36456620693206787]","[0.4801366627216339, 0.3107374906539917]","[0.5262976288795471, 0.5653467178344727]","[0.5469009876251221, 0.4967024028301239]","[0.540192723274231, 0.5802738070487976]","[0.5316398739814758, 0.6280301809310913]","[0.5861763954162598, 0.5829322338104248]","[0.5917176604270935, 0.5397754907608032]","[0.5781768560409546, 0.605161190032959]","[0.5657233595848083, 0.6513954401016235]"
"[0.49873167276382446, 0.7964351177215576]","[0.42586931586265564, 0.6866230964660645]","[0.4084097146987915, 0.5887327790260315]","[0.45406395196914673, 0.51460200548172]","[0.48513710498809814, 0.4421648383140564]","[0.43575921654701233, 0.5315898060798645]","[0.43320778012275696, 0.42518293857574463]","[0.44123291969299316, 0.36576735973358154]","[0.4556565284729004, 0.3124949038028717]","[0.4945392608642578, 0.5564129948616028]","[0.48268941044807434, 0.4625663161277771]","[0.4554527997970581, 0.5239171981811523]","[0.44284939765930176, 0.5695444941520691]","[0.546251654624939, 0.5831442475318909]","[0.5323759317398071, 0.4992857277393341]","[0.4989268481731415, 0.5826283097267151]","[0.49226003885269165, 0.6346126794815063]","[0.5961759090423584, 0.6038103699684143]","[0.5642383098602295, 0.5555995106697083]","[0.5366753339767456, 0.6105964183807373]","[0.5382373332977295, 0.6504473090171814]"
"[0.49754756689071655, 0.7716915011405945]","[0.4237714409828186, 0.6834549307823181]","[0.414079874753952, 0.5830049514770508]","[0.44854891300201416, 0.5083907842636108]","[0.46352750062942505, 0.4382709562778473]","[0.4567898213863373, 0.5279955267906189]","[0.4476531744003296, 0.4379027485847473]","[0.4411656856536865, 0.38614606857299805]","[0.44330546259880066, 0.3349875807762146]","[0.5028147101402283, 0.538551390171051]","[0.49065735936164856, 0.4331023693084717]","[0.46699342131614685, 0.3951765298843384]","[0.45440927147865295, 0.35846203565597534]","[0.5445656180381775, 0.5612041354179382]","[0.5110727548599243, 0.48536163568496704]","[0.485123872756958, 0.5606088638305664]","[0.4870615303516388, 0.6155800223350525]","[0.5856716632843018, 0.5880743265151978]","[0.5400941371917725, 0.5377923250198364]","[0.5176871418952942, 0.5865432620048523]","[0.5255182981491089, 0.6275423169136047]"
"[0.5086199641227722, 0.8244445323944092]","[0.4368601143360138, 0.7123093008995056]","[0.42057177424430847, 0.6058847308158875]","[0.45929819345474243, 0.508067786693573]","[0.4907318651676178, 0.4130510091781616]","[0.404732346534729, 0.5353942513465881]","[0.4207354784011841, 0.42599713802337646]","[0.4465215802192688, 0.3531641960144043]","[0.4725210964679718, 0.29405686259269714]","[0.47290313243865967, 0.5497121810913086]","[0.459625780582428, 0.42310792207717896]","[0.4589855372905731, 0.35810190439224243]","[0.4579869210720062, 0.29525965452194214]","[0.5365810990333557, 0.5795794725418091]","[0.5494949817657471, 0.4871499538421631]","[0.5349993109703064, 0.5723965167999268]","[0.523737907409668, 0.6303725838661194]","[0.597032368183136, 0.6027786731719971]","[0.5938833355903625, 0.5477316975593567]","[0.5746156573295593, 0.6120851039886475]","[0.5621827244758606, 0.6638532280921936]"
"[0.5045850276947021, 0.8349648714065552]","[0.4184044599533081, 0.7238472700119019]","[0.40153151750564575, 0.6106151938438416]","[0.4540158808231354, 0.5133332014083862]","[0.4862869381904602, 0.426029771566391]","[0.40676337480545044, 0.5369588732719421]","[0.41842660307884216, 0.42552992701530457]","[0.4400685131549835, 0.3570476174354553]","[0.464168518781662, 0.29011791944503784]","[0.4756643772125244, 0.5460289120674133]","[0.4558942914009094, 0.4136953353881836]","[0.44116082787513733, 0.3396369218826294]","[0.4319283068180084, 0.2738402187824249]","[0.541257917881012, 0.5761356949806213]","[0.5451029539108276, 0.4744141101837158]","[0.5218403339385986, 0.5654178857803345]","[0.5129740834236145, 0.6292887330055237]","[0.6070422530174255, 0.6135057210922241]","[0.5895326733589172, 0.5463827848434448]","[0.5585222840309143, 0.6124260425567627]","[0.5514236688613892, 0.6646131873130798]"
"[0.517379105091095, 0.813396155834198]","[0.6070324182510376, 0.7254111766815186]","[0.6123078465461731, 0.5952795743942261]","[0.5669078826904297, 0.4919382929801941]","[0.5354601144790649, 0.4093220829963684]","[0.565079927444458, 0.5437861680984497]","[0.5651800036430359, 0.4288627505302429]","[0.5692669749259949, 0.3588741719722748]","[0.5794925689697266, 0.3005445599555969]","[0.513738214969635, 0.5480019450187683]","[0.5201354622840881, 0.4193175435066223]","[0.5592636466026306, 0.36196595430374146]","[0.5915061235427856, 0.3180781602859497]","[0.4608745276927948, 0.5649773478507996]","[0.5027996301651001, 0.46914416551589966]","[0.5278415083885193, 0.566246747970581]","[0.5278088450431824, 0.6337715983390808]","[0.4170951247215271, 0.59437096118927]","[0.47596418857574463, 0.5327423810958862]","[0.4969693720340729, 0.602013111114502]","[0.494285523891449, 0.6544857621192932]"
"[0.5293704271316528, 0.8115390539169312]","[0.4749196171760559, 0.7240968942642212]","[0.45942413806915283, 0.6157765984535217]","[0.49143826961517334, 0.5167722105979919]","[0.5199014544487, 0.4258456826210022]","[0.4034668207168579, 0.5397500991821289]","[0.434407114982605, 0.43422117829322815]","[0.46661439538002014, 0.3722676634788513]","[0.5017584562301636, 0.3191772997379303]","[0.4718886911869049, 0.5477020740509033]","[0.463268518447876, 0.4186059236526489]","[0.47440600395202637, 0.3554772734642029]","[0.4833771586418152, 0.30599164962768555]","[0.5336931943893433, 0.573347270488739]","[0.5627221465110779, 0.4933966398239136]","[0.564876139163971, 0.5813013315200806]","[0.5574333667755127, 0.6405307054519653]","[0.5922781229019165, 0.5982098579406738]","[0.6018161177635193, 0.5376412868499756]","[0.5940926671028137, 0.6012948155403137]","[0.5856436491012573, 0.6540787816047668]"
"[0.48809587955474854, 0.7622690796852112]","[0.5639881491661072, 0.6756486892700195]","[0.5700442790985107, 0.5789352655410767]","[0.5325640439987183, 0.5006564259529114]","[0.5042130351066589, 0.4348450303077698]","[0.5891364812850952, 0.5332086086273193]","[0.5670589804649353, 0.4462783634662628]","[0.5421823263168335, 0.37540045380592346]","[0.5174597501754761, 0.32057541608810425]","[0.5314275026321411, 0.5371319055557251]","[0.541674017906189, 0.42731088399887085]","[0.5554214715957642, 0.36986392736434937]","[0.5638369917869568, 0.3258470892906189]","[0.47530442476272583, 0.5576684474945068]","[0.4675496816635132, 0.4709371328353882]","[0.47828763723373413, 0.5467892289161682]","[0.48996561765670776, 0.59709233045578]","[0.4194182753562927, 0.588579535484314]","[0.4292849004268646, 0.5311985611915588]","[0.44295164942741394, 0.5905002355575562]","[0.45610755681991577, 0.6345630288124084]"
"[0.5070777535438538, 0.7890340089797974]","[0.5864596366882324, 0.7135224342346191]","[0.6002090573310852, 0.6002147197723389]","[0.5708538889884949, 0.5106968283653259]","[0.5325644612312317, 0.45058193802833557]","[0.5410451292991638, 0.5453816652297974]","[0.5460735559463501, 0.4407655596733093]","[0.5484045147895813, 0.3820935785770416]","[0.5517298579216003, 0.33062902092933655]","[0.49658307433128357, 0.5477074384689331]","[0.5011576414108276, 0.4359179139137268]","[0.5364945530891418, 0.3784430921077728]","[0.5642966628074646, 0.33198297023773193]","[0.4505108594894409, 0.5608221292495728]","[0.4943859875202179, 0.46711570024490356]","[0.5191827416419983, 0.5546272993087769]","[0.519649088382721, 0.6149024963378906]","[0.4172917604446411, 0.5888591408729553]","[0.478784441947937, 0.5363483428955078]","[0.5009917616844177, 0.5967880487442017]","[0.49715080857276917, 0.6415782570838928]"
"[0.5023556351661682, 0.8499173521995544]","[0.4106498062610626, 0.7506561279296875]","[0.3964565396308899, 0.6200572848320007]","[0.4531234800815582, 0.5147728323936462]","[0.48599153757095337, 0.4221979081630707]","[0.420688271522522, 0.5468393564224243]","[0.42941975593566895, 0.42439788579940796]","[0.4378282427787781, 0.35197603702545166]","[0.4509514570236206, 0.2823484241962433]","[0.48515087366104126, 0.5513489842414856]","[0.46434032917022705, 0.41083312034606934]","[0.43681687116622925, 0.34228354692459106]","[0.42423391342163086, 0.2798922657966614]","[0.5481957197189331, 0.5801352262496948]","[0.5320644974708557, 0.47127464413642883]","[0.5003541707992554, 0.5695133209228516]","[0.49663451313972473, 0.6391547918319702]","[0.6134833693504333, 0.6225475668907166]","[0.5740651488304138, 0.5429378151893616]","[0.5435283184051514, 0.6139547824859619]","[0.5477005243301392, 0.668620765209198]"
"[0.4853973686695099, 0.7835848927497864]","[0.5725131630897522, 0.7039679288864136]","[0.5828037858009338, 0.5895601511001587]","[0.5392056107521057, 0.4954797327518463]","[0.5034732222557068, 0.4282512664794922]","[0.5940067172050476, 0.5319775938987732]","[0.5782641172409058, 0.43445101380348206]","[0.5583096146583557, 0.3521963357925415]","[0.5384168028831482, 0.29378312826156616]","[0.5325585007667542, 0.5354174375534058]","[0.5467114448547363, 0.41393017768859863]","[0.5589573383331299, 0.3519456088542938]","[0.5682008862495422, 0.3019202947616577]","[0.4713681936264038, 0.5582637190818787]","[0.472162663936615, 0.4612669050693512]","[0.4839285612106323, 0.5481388568878174]","[0.49531835317611694, 0.604771614074707]","[0.41124480962753296, 0.5983655452728271]","[0.43014734983444214, 0.528374969959259]","[0.4499967098236084, 0.5949804782867432]","[0.4599723517894745, 0.6507167816162109]"
"[0.4948709309101105, 0.7879130840301514]","[0.5797220468521118, 0.6945106387138367]","[0.5812983512878418, 0.5880844593048096]","[0.53794926404953, 0.5096299052238464]","[0.5058884620666504, 0.43397316336631775]","[0.5813440680503845, 0.5326520800590515]","[0.5634447932243347, 0.4392036199569702]","[0.5444717407226562, 0.36632412672042847]","[0.5207183957099915, 0.3118516504764557]","[0.5231261253356934, 0.5443766713142395]","[0.5376657247543335, 0.42656275629997253]","[0.5563624501228333, 0.3590907156467438]","[0.5659591555595398, 0.30246981978416443]","[0.46515393257141113, 0.5694075226783752]","[0.47001466155052185, 0.4793277084827423]","[0.4948597848415375, 0.5605588555335999]","[0.5076294541358948, 0.6150386929512024]","[0.4086393117904663, 0.5973817110061646]","[0.43368077278137207, 0.5415784120559692]","[0.454257994890213, 0.6018704175949097]","[0.46566182374954224, 0.6444125175476074]"
"[0.5074098706245422, 0.8393896818161011]","[0.4185599684715271, 0.7358065247535706]","[0.4020577073097229, 0.6168623566627502]","[0.4502747058868408, 0.5213050842285156]","[0.4824948310852051, 0.4239662289619446]","[0.42685002088546753, 0.5398931503295898]","[0.4317913353443146, 0.4276699423789978]","[0.44444066286087036, 0.35297495126724243]","[0.4579535722732544, 0.29056528210639954]","[0.49279147386550903, 0.5536791086196899]","[0.464447557926178, 0.41838985681533813]","[0.4362775981426239, 0.34835734963417053]","[0.4169015884399414, 0.2811618745326996]","[0.5544978976249695, 0.5852539539337158]","[0.5332466959953308, 0.4791780114173889]","[0.5024844408035278, 0.5798296928405762]","[0.4967822730541229, 0.6470984220504761]","[0.6167817711830139, 0.6162084341049194]","[0.5748714208602905, 0.5579705238342285]","[0.5460647940635681, 0.6265244483947754]","[0.5477854013442993, 0.6746759414672852]"
"[0.4803728461265564, 0.8192893266677856]","[0.5730842351913452, 0.7209795713424683]","[0.5801413059234619, 0.6015046834945679]","[0.5362895727157593, 0.5076013803482056]","[0.5020712614059448, 0.4341561794281006]","[0.5878288745880127, 0.5391017198562622]","[0.5673283338546753, 0.4336308538913727]","[0.5410064458847046, 0.35048091411590576]","[0.513480544090271, 0.2871863543987274]","[0.5220766067504883, 0.5437220931053162]","[0.5341299772262573, 0.41979485750198364]","[0.5539018511772156, 0.3500517010688782]","[0.563683032989502, 0.2986835539340973]","[0.4560794532299042, 0.5696960687637329]","[0.45606711506843567, 0.47419238090515137]","[0.47664210200309753, 0.5641547441482544]","[0.48983317613601685, 0.6258655190467834]","[0.3919576406478882, 0.6103696227073669]","[0.4175175428390503, 0.5413615703582764]","[0.4370449483394623, 0.6101968288421631]","[0.44927915930747986, 0.6641454696655273]"
"[0.4848397374153137, 0.775501012802124]","[0.41260141134262085, 0.6910185813903809]","[0.40921926498413086, 0.5875054597854614]","[0.43556103110313416, 0.5129236578941345]","[0.461309015750885, 0.4438425898551941]","[0.47747135162353516, 0.5474889278411865]","[0.4652170240879059, 0.4599621891975403]","[0.44996798038482666, 0.4065578877925873]","[0.4393344521522522, 0.3588655889034271]","[0.5202685594558716, 0.5524739623069763]","[0.5090241432189941, 0.445701539516449]","[0.4718150496482849, 0.39215290546417236]","[0.4409385919570923, 0.346966952085495]","[0.5544351935386658, 0.5662028193473816]","[0.5059270858764648, 0.48570820689201355]","[0.47168055176734924, 0.5589087605476379]","[0.4721551537513733, 0.6136178374290466]","[0.5871212482452393, 0.5815132260322571]","[0.5153353214263916, 0.5433224439620972]","[0.48933401703834534, 0.5958424210548401]","[0.5014001727104187, 0.6374896764755249]"
