Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
R,"[0.4759742319583893, 0.7978711724281311, 2.3426407835813734e-07]","[0.39336493611335754, 0.7294295430183411, -0.012307442724704742]","[0.36578503251075745, 0.6398172378540039, -0.01724887825548649]","[0.3827398717403412, 0.5632519125938416, -0.033441610634326935]","[0.43232086300849915, 0.5030701160430908, -0.04860636591911316]","[0.4217838644981384, 0.5678927302360535, 0.055580347776412964]","[0.4121568500995636, 0.4670325219631195, 0.04387218505144119]","[0.40903300046920776, 0.40325313806533813, 0.03485338017344475]","[0.4149601459503174, 0.35135143995285034, 0.027152428403496742]","[0.4703231155872345, 0.5714068412780762, 0.03664813190698624]","[0.45402708649635315, 0.4446589946746826, 0.014156864956021309]","[0.44408464431762695, 0.3661298453807831, -0.006083708722144365]","[0.43923893570899963, 0.30554935336112976, -0.014910359866917133]","[0.5138492584228516, 0.5898301005363464, 0.008386480621993542]","[0.47082436084747314, 0.5127137899398804, -0.04091407731175423]","[0.44473159313201904, 0.5901014804840088, -0.05716952681541443]","[0.44880813360214233, 0.6418352127075195, -0.05310945585370064]","[0.56163090467453, 0.6096976399421692, -0.02118813432753086]","[0.5041290521621704, 0.5640819072723389, -0.06531622260808945]","[0.47981762886047363, 0.618857204914093, -0.07874418795108795]","[0.4861629903316498, 0.6584402322769165, -0.07967129349708557]"
R,"[0.5056476593017578, 0.7861822843551636, 5.354795575840399e-07]","[0.4381144046783447, 0.7173463702201843, -0.060374584048986435]","[0.4151404798030853, 0.633420467376709, -0.07500779628753662]","[0.44644084572792053, 0.5534786581993103, -0.08527915924787521]","[0.4950999915599823, 0.4899647831916809, -0.09107337146997452]","[0.3953721821308136, 0.5594696998596191, -0.0039568617939949036]","[0.38473308086395264, 0.4588523209095001, -0.02346780337393284]","[0.38376832008361816, 0.3986067771911621, -0.03502994403243065]","[0.3867642283439636, 0.34252679347991943, -0.04328496381640434]","[0.45295250415802, 0.5590080618858337, 0.00714268209412694]","[0.4345129132270813, 0.442751944065094, -0.02417326532304287]","[0.4287201762199402, 0.3696894943714142, -0.042810577899217606]","[0.42012739181518555, 0.3100111186504364, -0.04944772645831108]","[0.5030890703201294, 0.582424521446228, 0.007478514686226845]","[0.5084293484687805, 0.5166045427322388, -0.05632948502898216]","[0.5002932548522949, 0.5928279757499695, -0.07424259185791016]","[0.49782559275627136, 0.6362957954406738, -0.06628233194351196]","[0.5495463013648987, 0.6085479855537415, 0.004016046412289143]","[0.5425861477851868, 0.5676906108856201, -0.05826771631836891]","[0.5324056148529053, 0.6230974197387695, -0.07739890366792679]","[0.530672550201416, 0.6566042900085449, -0.077684685587883]"
L,"[0.49717846512794495, 0.7963054776191711, 7.907717076705012e-07]","[0.5806868672370911, 0.7413514852523804, -0.07047121226787567]","[0.6073225140571594, 0.6419379711151123, -0.07996228337287903]","[0.5691843628883362, 0.5605810284614563, -0.08290542662143707]","[0.5224425196647644, 0.4995589554309845, -0.08047204464673996]","[0.6196011900901794, 0.5648778080940247, 0.010548270307481289]","[0.6260596513748169, 0.46440252661705017, -0.007341697812080383]","[0.6251466870307922, 0.3941991925239563, -0.022979920729994774]","[0.6268301010131836, 0.3408207297325134, -0.03315163403749466]","[0.562126636505127, 0.5629438757896423, 0.020481456071138382]","[0.5682134628295898, 0.43860018253326416, -0.006145305000245571]","[0.5792115926742554, 0.3602895140647888, -0.029190177097916603]","[0.5842191576957703, 0.2969110608100891, -0.03743099421262741]","[0.5031696557998657, 0.5824536681175232, 0.01631811074912548]","[0.5018482208251953, 0.5018224716186523, -0.060226697474718094]","[0.510840892791748, 0.5859513282775879, -0.09083463996648788]","[0.5183238983154297, 0.6395252346992493, -0.08523515611886978]","[0.4455840587615967, 0.6112857460975647, 0.008120840415358543]","[0.45942777395248413, 0.5600258708000183, -0.06991229206323624]","[0.4700193405151367, 0.6241557002067566, -0.09377998113632202]","[0.47791165113449097, 0.6695801019668579, -0.09366154670715332]"
R,"[0.49194976687431335, 0.7763490676879883, 5.644034786200791e-07]","[0.4205707311630249, 0.7039923667907715, -0.03951060771942139]","[0.3952585458755493, 0.6244795918464661, -0.04337381571531296]","[0.4254957139492035, 0.5500351190567017, -0.04918920248746872]","[0.467825323343277, 0.48659810423851013, -0.05198310688138008]","[0.37907731533050537, 0.5510085225105286, 0.04064473509788513]","[0.36943480372428894, 0.4586810767650604, 0.027265403419733047]","[0.3710382878780365, 0.3978458642959595, 0.016239535063505173]","[0.37595266103744507, 0.34654462337493896, 0.0075599984265863895]","[0.4384239614009857, 0.5586428642272949, 0.039695896208286285]","[0.41843292117118835, 0.4454083740711212, 0.012254467234015465]","[0.41625940799713135, 0.3715246915817261, -0.010955600067973137]","[0.41056063771247864, 0.3077983558177948, -0.020517725497484207]","[0.491055428981781, 0.582726240158081, 0.026607343927025795]","[0.4885947108268738, 0.5117166042327881, -0.04301133006811142]","[0.4838022291660309, 0.5867515802383423, -0.07416819781064987]","[0.4812171459197998, 0.6335574984550476, -0.07406396418809891]","[0.5405527949333191, 0.6007060408592224, 0.011983048170804977]","[0.5289993286132812, 0.5630931258201599, -0.06438275426626205]","[0.5196159482002258, 0.6198634505271912, -0.09705409407615662]","[0.5155147314071655, 0.6583651900291443, -0.10535208135843277]"
R,"[0.5273013710975647, 0.8110257387161255, 1.0404278327769134e-06]","[0.48028644919395447, 0.7454150915145874, -0.10713014006614685]","[0.4592292904853821, 0.6515291929244995, -0.12092915177345276]","[0.48098626732826233, 0.5718470215797424, -0.11537761986255646]","[0.5127280950546265, 0.48968854546546936, -0.10111740976572037]","[0.3818395733833313, 0.5610235333442688, -0.026966800913214684]","[0.37966617941856384, 0.452455997467041, -0.044330257922410965]","[0.3777086138725281, 0.382199227809906, -0.052957311272621155]","[0.37812814116477966, 0.32255974411964417, -0.0545782744884491]","[0.441836416721344, 0.5602453351020813, 0.011957531794905663]","[0.42829540371894836, 0.4304192066192627, -0.01014125905930996]","[0.4296843409538269, 0.35016748309135437, -0.021585946902632713]","[0.42540693283081055, 0.28435206413269043, -0.01835639216005802]","[0.4978952407836914, 0.5819922685623169, 0.03395666182041168]","[0.511256754398346, 0.5232312679290771, -0.03888222575187683]","[0.5153723359107971, 0.6089820265769958, -0.07087452709674835]","[0.514383852481842, 0.6507493257522583, -0.064498670399189]","[0.5427922606468201, 0.6042490601539612, 0.04999520257115364]","[0.5509176850318909, 0.5551484227180481, -0.022196006029844284]","[0.5469797253608704, 0.6208605766296387, -0.04856928065419197]","[0.5371920466423035, 0.6624616384506226, -0.04895802214741707]"
L,"[0.5435580015182495, 0.797405481338501, 8.695541282577324e-07]","[0.6115059852600098, 0.7309936881065369, -0.03359759971499443]","[0.6324776411056519, 0.6350088715553284, -0.04646827653050423]","[0.6078335046768188, 0.5552947521209717, -0.06186625361442566]","[0.5599589943885803, 0.5003980398178101, -0.07348001003265381]","[0.5741898417472839, 0.5679242014884949, -0.00335539854131639]","[0.5839706063270569, 0.4688524007797241, -0.030142251402139664]","[0.5878404974937439, 0.41047126054763794, -0.04758064076304436]","[0.5870295166969299, 0.3571540117263794, -0.058775853365659714]","[0.5307486653327942, 0.5697745084762573, -0.010806465521454811]","[0.5359659194946289, 0.4468509554862976, -0.05242485553026199]","[0.5495609045028687, 0.3697187006473541, -0.0785403624176979]","[0.5526749491691589, 0.3030388057231903, -0.09031093865633011]","[0.4845736026763916, 0.5881307721138, -0.023994436487555504]","[0.5201417207717896, 0.5064655542373657, -0.09195510298013687]","[0.550004243850708, 0.585970401763916, -0.09566466510295868]","[0.5534113049507141, 0.6427311301231384, -0.07590414583683014]","[0.4408683180809021, 0.6175055503845215, -0.03894475847482681]","[0.4913262128829956, 0.5635865926742554, -0.09402946382761002]","[0.519185483455658, 0.6209514141082764, -0.09163559228181839]","[0.515548825263977, 0.6660831570625305, -0.07546522468328476]"
R,"[0.5263141393661499, 0.8633549809455872, 9.272490615330753e-07]","[0.4798876941204071, 0.7671874761581421, -0.12258690595626831]","[0.4636918604373932, 0.6571328043937683, -0.11662229895591736]","[0.48638537526130676, 0.5624778270721436, -0.08021088689565659]","[0.5141992568969727, 0.47811487317085266, -0.028790339827537537]","[0.35163432359695435, 0.574683666229248, -0.024718696251511574]","[0.3500301241874695, 0.44488954544067383, -0.04295969009399414]","[0.34562331438064575, 0.36164599657058716, -0.05178259685635567]","[0.34912726283073425, 0.2933139204978943, -0.0514446459710598]","[0.4186437726020813, 0.5755544900894165, 0.03598765283823013]","[0.39992207288742065, 0.4242502450942993, 0.01505284570157528]","[0.40867847204208374, 0.3335524797439575, 0.001315864734351635]","[0.41314399242401123, 0.2604036331176758, 0.004212759435176849]","[0.4854419529438019, 0.5946887731552124, 0.07715778052806854]","[0.5135862827301025, 0.5189535617828369, 0.0003555368457455188]","[0.5305752754211426, 0.6076256632804871, -0.0478978268802166]","[0.5285456776618958, 0.6546691656112671, -0.04871272295713425]","[0.5396706461906433, 0.6081568598747253, 0.11213642358779907]","[0.5566446781158447, 0.5611587762832642, 0.02729598805308342]","[0.5591835379600525, 0.6216822862625122, -0.02089030295610428]","[0.5431023240089417, 0.661285400390625, -0.03318218141794205]"
R,"[0.49776753783226013, 0.8960372805595398, 4.19665809658909e-07]","[0.41406765580177307, 0.8013337850570679, -0.07435473054647446]","[0.386006623506546, 0.6855197548866272, -0.08092590421438217]","[0.42300087213516235, 0.5788030028343201, -0.08123546838760376]","[0.4744645357131958, 0.48616868257522583, -0.07454733550548553]","[0.34511545300483704, 0.5787671804428101, 0.01392345316708088]","[0.3302021622657776, 0.44869133830070496, -0.006131813861429691]","[0.3277522325515747, 0.36509349942207336, -0.018320150673389435]","[0.3320503234863281, 0.2854269742965698, -0.028373876586556435]","[0.42570123076438904, 0.5719215273857117, 0.026392696425318718]","[0.3993167281150818, 0.41687795519828796, -0.015380652621388435]","[0.39306557178497314, 0.31905654072761536, -0.042003460228443146]","[0.38412436842918396, 0.23503464460372925, -0.052030809223651886]","[0.4974258244037628, 0.5986061096191406, 0.024075821042060852]","[0.501646876335144, 0.5175939202308655, -0.06914381682872772]","[0.4941181540489197, 0.6239674091339111, -0.09728831052780151]","[0.4918769299983978, 0.6834510564804077, -0.08767261356115341]","[0.5636016130447388, 0.6304688453674316, 0.01777215301990509]","[0.5520194172859192, 0.572974443435669, -0.07866287231445312]","[0.534641683101654, 0.654604434967041, -0.10919366776943207]","[0.527949333190918, 0.7056331634521484, -0.11117444187402725]"
R,"[0.47033172845840454, 0.8563706874847412, 2.1624083501592395e-07]","[0.38097184896469116, 0.7733955979347229, -0.022814622148871422]","[0.34883034229278564, 0.6607053875923157, -0.03014625422656536]","[0.37176480889320374, 0.5688397288322449, -0.04777469113469124]","[0.42117875814437866, 0.4948155879974365, -0.061716798692941666]","[0.40139973163604736, 0.574944257736206, 0.04559134319424629]","[0.3856481909751892, 0.4654020071029663, 0.020887969061732292]","[0.37741923332214355, 0.3997146487236023, 0.004038942512124777]","[0.3772519826889038, 0.33988434076309204, -0.008391829207539558]","[0.45709776878356934, 0.5740287899971008, 0.025074239820241928]","[0.44424939155578613, 0.4287932515144348, -0.017523469403386116]","[0.42982733249664307, 0.342752069234848, -0.04480233043432236]","[0.4233818054199219, 0.27503859996795654, -0.05573374405503273]","[0.5104172229766846, 0.5971741080284119, -0.005314612295478582]","[0.471608430147171, 0.5037952065467834, -0.07688441872596741]","[0.44046497344970703, 0.597421407699585, -0.08164309710264206]","[0.4406720995903015, 0.6594808101654053, -0.062720388174057]","[0.5644053220748901, 0.6333853006362915, -0.03824502229690552]","[0.5087058544158936, 0.5706783533096313, -0.09416817128658295]","[0.4831641614437103, 0.6377204060554504, -0.09442908316850662]","[0.4903547763824463, 0.6840702295303345, -0.08193907141685486]"
R,"[0.4673883616924286, 0.7796025276184082, 6.883931291667977e-08]","[0.39529144763946533, 0.7132956981658936, -0.01860317587852478]","[0.36867615580558777, 0.6245390176773071, -0.02260747365653515]","[0.39333781599998474, 0.5535856485366821, -0.034531813114881516]","[0.4430435299873352, 0.49312782287597656, -0.045293111354112625]","[0.42004328966140747, 0.5598218441009521, 0.04777872562408447]","[0.40518519282341003, 0.47140181064605713, 0.0388653539121151]","[0.3995378911495209, 0.4140733778476715, 0.030297623947262764]","[0.404954195022583, 0.3634028434753418, 0.0209210105240345]","[0.46967679262161255, 0.5600410103797913, 0.03431646153330803]","[0.4515329599380493, 0.4397907257080078, 0.013316651806235313]","[0.43494686484336853, 0.36713242530822754, -0.005991098005324602]","[0.42524704337120056, 0.3105143904685974, -0.016029303893446922]","[0.5137495398521423, 0.5773745179176331, 0.012102773413062096]","[0.4823719263076782, 0.4952212870121002, -0.036232609301805496]","[0.4503891170024872, 0.5742297768592834, -0.05180379003286362]","[0.44999566674232483, 0.6281067728996277, -0.049141526222229004]","[0.5625466108322144, 0.6011964678764343, -0.011704284697771072]","[0.5115804672241211, 0.5547133088111877, -0.0591580830514431]","[0.48580971360206604, 0.6085520386695862, -0.07470221817493439]","[0.4911156892776489, 0.646119236946106, -0.07771255820989609]"
