Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
R,"[0.5045433044433594, 0.8501218557357788, 5.486444365487841e-07]","[0.41538262367248535, 0.7930799722671509, 0.01036265678703785]","[0.38481518626213074, 0.7196105718612671, -0.00736997602507472]","[0.38830339908599854, 0.6416720151901245, -0.04492340236902237]","[0.41966360807418823, 0.5787333846092224, -0.08127563446760178]","[0.43563228845596313, 0.6057500839233398, 0.04225941374897957]","[0.4228518009185791, 0.49648192524909973, 0.018516937270760536]","[0.42096418142318726, 0.4337523579597473, 0.003983704838901758]","[0.4233250319957733, 0.38768529891967773, -0.008869366720318794]","[0.4864538013935089, 0.608917236328125, 0.0009378326358273625]","[0.5047231912612915, 0.4765266478061676, -0.02877398580312729]","[0.5115020871162415, 0.39762693643569946, -0.04927981644868851]","[0.5233191847801208, 0.333101749420166, -0.06303112208843231]","[0.5216920375823975, 0.6296508312225342, -0.04597270116209984]","[0.49096304178237915, 0.5127615332603455, -0.08108972012996674]","[0.44399288296699524, 0.5720183253288269, -0.06927818804979324]","[0.4314204156398773, 0.622027575969696, -0.0544450469315052]","[0.5464661717414856, 0.6613225936889648, -0.09534682333469391]","[0.4821833670139313, 0.5874158143997192, -0.12323404103517532]","[0.4446980655193329, 0.6284357905387878, -0.11823271214962006]","[0.4410322308540344, 0.6737832427024841, -0.11087348312139511]"
R,"[0.48442769050598145, 0.9239485263824463, 4.931575290356704e-07]","[0.3980674147605896, 0.8651625514030457, -0.04836808145046234]","[0.3630487322807312, 0.7749744653701782, -0.08076440542936325]","[0.39077872037887573, 0.6822909116744995, -0.11671123653650284]","[0.4503405690193176, 0.6247692108154297, -0.1467684507369995]","[0.40580275654792786, 0.6208370327949524, -0.023161757737398148]","[0.3900896906852722, 0.47790518403053284, -0.07060881704092026]","[0.37951529026031494, 0.4003947377204895, -0.10226194560527802]","[0.37871164083480835, 0.33922648429870605, -0.12308463454246521]","[0.4783783555030823, 0.6238102912902832, -0.033304814249277115]","[0.5171521306037903, 0.4625011086463928, -0.08668677508831024]","[0.5338028073310852, 0.3596491813659668, -0.12223701924085617]","[0.5541006326675415, 0.2820182740688324, -0.14155110716819763]","[0.5310249328613281, 0.6538530588150024, -0.050883155316114426]","[0.5374437570571899, 0.5333595275878906, -0.11655428260564804]","[0.48711466789245605, 0.6077679395675659, -0.11265243589878082]","[0.46682125329971313, 0.672373354434967, -0.09184140712022781]","[0.573165237903595, 0.7031372785568237, -0.07323618233203888]","[0.5385789275169373, 0.6160653829574585, -0.12581774592399597]","[0.487297922372818, 0.6755358576774597, -0.11730024218559265]","[0.4652494490146637, 0.7384195923805237, -0.09740856289863586]"
L,"[0.5224139094352722, 0.8199901580810547, 9.624554877518676e-07]","[0.511654257774353, 0.8071907758712769, -0.11172113567590714]","[0.47488126158714294, 0.7403640747070312, -0.15410159528255463]","[0.41246718168258667, 0.6742686629295349, -0.17815054953098297]","[0.3722752332687378, 0.6040891408920288, -0.19471141695976257]","[0.5526370406150818, 0.6079621315002441, -0.099807970225811]","[0.569150984287262, 0.4826695919036865, -0.13867385685443878]","[0.5787891149520874, 0.4055865406990051, -0.15886741876602173]","[0.5882903933525085, 0.34273338317871094, -0.16928644478321075]","[0.5102190375328064, 0.5942554473876953, -0.06187429651618004]","[0.4974706768989563, 0.4710010886192322, -0.10438841581344604]","[0.48667845129966736, 0.39145559072494507, -0.12760284543037415]","[0.4849412143230438, 0.3280356824398041, -0.13558164238929749]","[0.4660531282424927, 0.6054523587226868, -0.03353521227836609]","[0.42514556646347046, 0.5546764135360718, -0.09143348783254623]","[0.4178142249584198, 0.614510178565979, -0.10756319761276245]","[0.4302486777305603, 0.6502667665481567, -0.09962070733308792]","[0.4261474311351776, 0.6271646022796631, -0.013677651062607765]","[0.37640249729156494, 0.6088109016418457, -0.06241656467318535]","[0.37957078218460083, 0.6503793597221375, -0.07516022771596909]","[0.39996814727783203, 0.67524653673172, -0.07134640216827393]"
L,"[0.4956400990486145, 0.8686553239822388, 5.166512551113556e-07]","[0.5593769550323486, 0.8110834360122681, -0.04765574634075165]","[0.5612195134162903, 0.7069560289382935, -0.0597761794924736]","[0.493926465511322, 0.6375592947006226, -0.0697680115699768]","[0.43217700719833374, 0.590914249420166, -0.07754212617874146]","[0.5726736783981323, 0.5920459032058716, -0.01632608287036419]","[0.5970962643623352, 0.48821914196014404, -0.030978728085756302]","[0.6077424883842468, 0.42139604687690735, -0.04412493854761124]","[0.6132708191871643, 0.36278265714645386, -0.05641944333910942]","[0.5087276697158813, 0.5846906304359436, -0.01636728271842003]","[0.48178791999816895, 0.46710649132728577, -0.03687496855854988]","[0.4629289209842682, 0.39723777770996094, -0.05825452879071236]","[0.4433993101119995, 0.3372954726219177, -0.07204294204711914]","[0.4539017379283905, 0.6107364296913147, -0.022811520844697952]","[0.4209507703781128, 0.5316223502159119, -0.07024657726287842]","[0.4432479441165924, 0.597051203250885, -0.0885341688990593]","[0.4592473804950714, 0.6441377401351929, -0.08706957846879959]","[0.40970098972320557, 0.6572018265724182, -0.0326017327606678]","[0.3887993097305298, 0.5911625623703003, -0.07560721784830093]","[0.4132223129272461, 0.6315884590148926, -0.08367294073104858]","[0.43969860672950745, 0.6727709174156189, -0.08034083247184753]"
L,"[0.48206430673599243, 0.8861308097839355, -1.803310611947495e-09]","[0.5725059509277344, 0.8242394328117371, -0.008129753172397614]","[0.6123894453048706, 0.7399467825889587, -0.014052375219762325]","[0.6052027940750122, 0.6603903770446777, -0.02697240188717842]","[0.5613403916358948, 0.6026670336723328, -0.040662311017513275]","[0.5655827522277832, 0.62577885389328, 0.007470888551324606]","[0.5823547840118408, 0.5055305361747742, -0.002232873812317848]","[0.5851979851722717, 0.44215577840805054, -0.013874323107302189]","[0.5854703187942505, 0.38026440143585205, -0.027664154767990112]","[0.518903374671936, 0.6236921548843384, -0.011991174891591072]","[0.48334917426109314, 0.477150022983551, -0.037880465388298035]","[0.4708542227745056, 0.39709174633026123, -0.06121668964624405]","[0.45606696605682373, 0.3275933563709259, -0.0789228305220604]","[0.477506160736084, 0.6482616066932678, -0.033702362328767776]","[0.49526017904281616, 0.5391530990600586, -0.08026096969842911]","[0.5450031161308289, 0.5892035365104675, -0.0970735177397728]","[0.5666742324829102, 0.6376500725746155, -0.09976553916931152]","[0.4486975371837616, 0.6891288757324219, -0.055009614676237106]","[0.48483777046203613, 0.6112287044525146, -0.09938133507966995]","[0.52677321434021, 0.6457231640815735, -0.10800328850746155]","[0.5503187775611877, 0.6894662380218506, -0.10807766765356064]"
R,"[0.49810242652893066, 0.8649232387542725, 9.71333520283224e-07]","[0.4077166020870209, 0.8304176926612854, -0.018797237426042557]","[0.3727723956108093, 0.7472831606864929, -0.03976128622889519]","[0.3935561776161194, 0.6732760667800903, -0.07263807952404022]","[0.42800432443618774, 0.6041997075080872, -0.10410880297422409]","[0.4225710928440094, 0.6149221062660217, 0.020196836441755295]","[0.40723106265068054, 0.49761390686035156, -0.0045195394195616245]","[0.40381306409835815, 0.42377161979675293, -0.01800358109176159]","[0.4074338376522064, 0.36847513914108276, -0.029203152284026146]","[0.47974303364753723, 0.6223980784416199, -0.008976295590400696]","[0.5062907934188843, 0.49185431003570557, -0.04413424804806709]","[0.5191611051559448, 0.4064314365386963, -0.07125796377658844]","[0.5321155786514282, 0.34575772285461426, -0.08598457276821136]","[0.5215829610824585, 0.6474116444587708, -0.04630309343338013]","[0.5078089237213135, 0.5408310294151306, -0.10737963765859604]","[0.4673011600971222, 0.5884145498275757, -0.12521347403526306]","[0.45312583446502686, 0.6411528587341309, -0.12267748266458511]","[0.5572952032089233, 0.6779826879501343, -0.08531717211008072]","[0.5001476407051086, 0.6097944378852844, -0.1422804892063141]","[0.4606461226940155, 0.6504012942314148, -0.15847530961036682]","[0.44920945167541504, 0.7003414630889893, -0.1603827178478241]"
L,"[0.5094568729400635, 0.893242359161377, 8.19501849491644e-07]","[0.5720177292823792, 0.830030083656311, -0.08028443157672882]","[0.565356433391571, 0.721193253993988, -0.09860815107822418]","[0.49234694242477417, 0.6426954865455627, -0.1084635928273201]","[0.42968645691871643, 0.5812782049179077, -0.11292488127946854]","[0.594518780708313, 0.5971310138702393, -0.012843966484069824]","[0.6167045831680298, 0.486625075340271, -0.02632714994251728]","[0.626564085483551, 0.4118616580963135, -0.042358119040727615]","[0.6334067583084106, 0.3512795567512512, -0.05735618621110916]","[0.5263251066207886, 0.5925835967063904, 0.0024484742898494005]","[0.4910354018211365, 0.46747416257858276, -0.015263534151017666]","[0.46809494495391846, 0.38926538825035095, -0.04129938781261444]","[0.4479619860649109, 0.32489728927612305, -0.05823246017098427]","[0.4655749797821045, 0.6190940737724304, 0.005047806538641453]","[0.4315415024757385, 0.5359358787536621, -0.05184653773903847]","[0.4444252848625183, 0.5978626608848572, -0.08823726326227188]","[0.4551790952682495, 0.6406606435775757, -0.09639988094568253]","[0.4175812005996704, 0.6637473106384277, 0.0017558949766680598]","[0.3866284191608429, 0.6071492433547974, -0.059887733310461044]","[0.4024468660354614, 0.6513734459877014, -0.0885607898235321]","[0.426149845123291, 0.688500702381134, -0.09759095311164856]"
L,"[0.5068838596343994, 0.8886730074882507, 4.622735332304728e-07]","[0.5789682865142822, 0.8307586312294006, -0.05168365314602852]","[0.5887991189956665, 0.7283514142036438, -0.07159598916769028]","[0.5247822403907776, 0.6541481018066406, -0.09072514623403549]","[0.4630568325519562, 0.5989377498626709, -0.10826410353183746]","[0.5868140459060669, 0.5988230109214783, -0.02161998488008976]","[0.6078763604164124, 0.4920094311237335, -0.043714672327041626]","[0.6153991222381592, 0.42336517572402954, -0.06401311606168747]","[0.6214046478271484, 0.36090198159217834, -0.08216919004917145]","[0.5209956169128418, 0.5972416996955872, -0.025646701455116272]","[0.49225950241088867, 0.47018587589263916, -0.05792027711868286]","[0.4724036455154419, 0.39481204748153687, -0.08652651309967041]","[0.4520696699619293, 0.32897481322288513, -0.10490155965089798]","[0.4635733962059021, 0.6270936131477356, -0.03705724701285362]","[0.4394280016422272, 0.5391696691513062, -0.09595011174678802]","[0.46776169538497925, 0.6105791926383972, -0.11716349422931671]","[0.48640280961990356, 0.6646419167518616, -0.11671598255634308]","[0.4183526635169983, 0.6755853295326233, -0.05213090032339096]","[0.4039258062839508, 0.6066915392875671, -0.10223571211099625]","[0.43146154284477234, 0.6483613848686218, -0.11303900182247162]","[0.4576786756515503, 0.6915163993835449, -0.11206679046154022]"
R,"[0.4484891891479492, 0.9278743267059326, 5.312616053743113e-07]","[0.4341636896133423, 0.8829391002655029, -0.16280463337898254]","[0.47707653045654297, 0.7928990125656128, -0.19958576560020447]","[0.5561994314193726, 0.7105321288108826, -0.20209656655788422]","[0.627799928188324, 0.6309014558792114, -0.19491428136825562]","[0.39190173149108887, 0.6317594647407532, -0.12696467339992523]","[0.38097089529037476, 0.49511075019836426, -0.15739111602306366]","[0.3682481050491333, 0.40392589569091797, -0.18336687982082367]","[0.35955411195755005, 0.3319968581199646, -0.2040974497795105]","[0.4591900408267975, 0.632416844367981, -0.05868230015039444]","[0.48791199922561646, 0.46860694885253906, -0.07712133228778839]","[0.509187638759613, 0.37408506870269775, -0.10866601765155792]","[0.5218102335929871, 0.29982617497444153, -0.1363854855298996]","[0.5226209759712219, 0.6606317758560181, -0.005540209822356701]","[0.5781461000442505, 0.5420053005218506, -0.06034015864133835]","[0.5842585563659668, 0.5794256925582886, -0.12433860450983047]","[0.5741011500358582, 0.6108605861663818, -0.16015206277370453]","[0.5759665369987488, 0.6939346790313721, 0.03764336183667183]","[0.6163939833641052, 0.6203877329826355, -0.030065985396504402]","[0.6283302307128906, 0.6469672322273254, -0.08564189821481705]","[0.6182135939598083, 0.676267147064209, -0.11960600316524506]"
R,"[0.4852156937122345, 0.8800785541534424, 8.206702659663279e-07]","[0.4211543798446655, 0.8197813034057617, -0.09132447093725204]","[0.4070799946784973, 0.7343267798423767, -0.12217874079942703]","[0.46533119678497314, 0.6665125489234924, -0.14553537964820862]","[0.5229814052581787, 0.6030359268188477, -0.16317258775234222]","[0.4066615104675293, 0.6014056205749512, -0.028314469382166862]","[0.3886067271232605, 0.48776960372924805, -0.0625017061829567]","[0.37997448444366455, 0.41685837507247925, -0.09010237455368042]","[0.37782588601112366, 0.3589359521865845, -0.11007362604141235]","[0.4753803014755249, 0.6022069454193115, -0.012508542276918888]","[0.501801073551178, 0.4759088456630707, -0.05085674673318863]","[0.5263230204582214, 0.3932618498802185, -0.08342356234788895]","[0.5501771569252014, 0.32658350467681885, -0.10192150622606277]","[0.5304548740386963, 0.6308750510215759, -0.010891553945839405]","[0.5541365146636963, 0.5424909591674805, -0.08630160987377167]","[0.5271743535995483, 0.6049366593360901, -0.11658411473035812]","[0.5095759034156799, 0.6599909067153931, -0.11700508743524551]","[0.5761588215827942, 0.670661211013794, -0.016162829473614693]","[0.5813872814178467, 0.6120195984840393, -0.09192457795143127]","[0.5520462393760681, 0.6596966981887817, -0.1158919632434845]","[0.5336827635765076, 0.7070572972297668, -0.11813552677631378]"
