Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.5396913290023804, 0.8730899095535278]","[0.4902982711791992, 0.8452182412147522]","[0.48326656222343445, 0.7767655253410339]","[0.5312721133232117, 0.7074825763702393]","[0.5838543176651001, 0.6478735208511353]","[0.4421922564506531, 0.6250672936439514]","[0.3974960446357727, 0.5247581005096436]","[0.3759365677833557, 0.45546960830688477]","[0.3619385361671448, 0.3963606059551239]","[0.5035147666931152, 0.6156589984893799]","[0.4890393614768982, 0.49034032225608826]","[0.4875354766845703, 0.4141242206096649]","[0.4847770035266876, 0.34575337171554565]","[0.5621666312217712, 0.6293591260910034]","[0.5793359875679016, 0.5267223715782166]","[0.5854423642158508, 0.45548057556152344]","[0.5896719694137573, 0.3824489116668701]","[0.6107106804847717, 0.6582399010658264]","[0.6062716841697693, 0.6081834435462952]","[0.5884817242622375, 0.6472129225730896]","[0.5708047747612, 0.6879002451896667]"
"[0.4977840781211853, 0.9294995069503784]","[0.5664141178131104, 0.8899692893028259]","[0.5809435844421387, 0.8069906234741211]","[0.5148553252220154, 0.7296416163444519]","[0.4464440941810608, 0.67447429895401]","[0.6013381481170654, 0.643643319606781]","[0.6511597037315369, 0.5245949625968933]","[0.6749133467674255, 0.4525555968284607]","[0.6955007314682007, 0.3846907615661621]","[0.5334113240242004, 0.6247376203536987]","[0.5435031652450562, 0.48141443729400635]","[0.5462097525596619, 0.39563900232315063]","[0.552099347114563, 0.3200533986091614]","[0.472980797290802, 0.6410678625106812]","[0.4628661572933197, 0.5176935195922852]","[0.4553143084049225, 0.44737815856933594]","[0.4483698010444641, 0.37384212017059326]","[0.4177430272102356, 0.696277916431427]","[0.43619853258132935, 0.609505295753479]","[0.4631725549697876, 0.6500838994979858]","[0.4772995412349701, 0.7067197561264038]"
"[0.4660867154598236, 0.9093430638313293]","[0.5493797063827515, 0.8763374090194702]","[0.5665396451950073, 0.7751201391220093]","[0.4948447346687317, 0.6998383402824402]","[0.42120471596717834, 0.6450797319412231]","[0.5833627581596375, 0.6392842531204224]","[0.6262533068656921, 0.5272696614265442]","[0.6503704190254211, 0.45445460081100464]","[0.6706758737564087, 0.3915542662143707]","[0.5135002136230469, 0.6295390129089355]","[0.5259605050086975, 0.48610806465148926]","[0.531093955039978, 0.401478111743927]","[0.532293438911438, 0.3264469504356384]","[0.45250850915908813, 0.6429039835929871]","[0.4460386037826538, 0.5169930458068848]","[0.43565255403518677, 0.4419989585876465]","[0.4238625168800354, 0.3604547083377838]","[0.4038563370704651, 0.6807430982589722]","[0.4165616035461426, 0.6082449555397034]","[0.4441176652908325, 0.6540370583534241]","[0.45028719305992126, 0.711699903011322]"
"[0.49843910336494446, 0.8861977458000183]","[0.4811535179615021, 0.8512293100357056]","[0.5044144988059998, 0.7662349939346313]","[0.5678618550300598, 0.6997784376144409]","[0.6233254075050354, 0.6382688879966736]","[0.43893781304359436, 0.6123813390731812]","[0.40186524391174316, 0.5032994747161865]","[0.3844038248062134, 0.4272606372833252]","[0.3681306540966034, 0.36835813522338867]","[0.48866331577301025, 0.6143336892127991]","[0.47890958189964294, 0.4763239026069641]","[0.47392457723617554, 0.39899617433547974]","[0.46123310923576355, 0.3313623070716858]","[0.5440672636032104, 0.6337560415267944]","[0.5792773962020874, 0.5157190561294556]","[0.5907494425773621, 0.44344377517700195]","[0.5893810987472534, 0.36485952138900757]","[0.591764509677887, 0.6640010476112366]","[0.6170738935470581, 0.6123452186584473]","[0.617577075958252, 0.6391600966453552]","[0.5986062288284302, 0.6654545664787292]"
"[0.438834547996521, 0.9910320043563843]","[0.5396223664283752, 0.9483116865158081]","[0.5917619466781616, 0.8388063907623291]","[0.5548190474510193, 0.7396197319030762]","[0.4841499924659729, 0.6760053038597107]","[0.5742403268814087, 0.667909562587738]","[0.6149395704269409, 0.5344836711883545]","[0.6281205415725708, 0.45660343766212463]","[0.6416119337081909, 0.38642218708992004]","[0.5034722685813904, 0.6498655080795288]","[0.5063718557357788, 0.4825536608695984]","[0.5085061192512512, 0.3837842047214508]","[0.5096462368965149, 0.30185356736183167]","[0.44146043062210083, 0.6677703261375427]","[0.433289110660553, 0.5127834677696228]","[0.43736711144447327, 0.422084778547287]","[0.4363621175289154, 0.33789998292922974]","[0.3904869854450226, 0.7201834917068481]","[0.4447224736213684, 0.6186853051185608]","[0.48830121755599976, 0.6673821210861206]","[0.5101960897445679, 0.729367196559906]"
"[0.496134489774704, 0.759936511516571]","[0.5496112108230591, 0.7739484310150146]","[0.5789061188697815, 0.7512384057044983]","[0.5530632734298706, 0.7106974720954895]","[0.5081459879875183, 0.655811607837677]","[0.5775977373123169, 0.6077703833580017]","[0.6097824573516846, 0.5119901299476624]","[0.6255193948745728, 0.446342408657074]","[0.6355593800544739, 0.39395374059677124]","[0.5266704559326172, 0.5874795913696289]","[0.519737184047699, 0.46055883169174194]","[0.509104311466217, 0.38819849491119385]","[0.5086876153945923, 0.32347947359085083]","[0.48187869787216187, 0.589238703250885]","[0.46886399388313293, 0.4946868419647217]","[0.4650295674800873, 0.4366348385810852]","[0.4695311188697815, 0.37562742829322815]","[0.44475752115249634, 0.6062685251235962]","[0.449965238571167, 0.5926881432533264]","[0.46075162291526794, 0.6310253143310547]","[0.4703015089035034, 0.6656914353370667]"
"[0.4817115068435669, 0.8925111293792725]","[0.5558529496192932, 0.8462481498718262]","[0.5784276723861694, 0.7475147843360901]","[0.5254837274551392, 0.6643471717834473]","[0.462090402841568, 0.6122074723243713]","[0.5916805267333984, 0.6254807114601135]","[0.6322202682495117, 0.5204988121986389]","[0.6495684385299683, 0.45918339490890503]","[0.6662914156913757, 0.4006347954273224]","[0.5315619111061096, 0.6071892976760864]","[0.5416189432144165, 0.4783012270927429]","[0.5434701442718506, 0.40420418977737427]","[0.5447555780410767, 0.33852919936180115]","[0.4745485186576843, 0.6206790804862976]","[0.4650332033634186, 0.5040464401245117]","[0.46004629135131836, 0.43742525577545166]","[0.45474720001220703, 0.36813420057296753]","[0.42437294125556946, 0.662519633769989]","[0.443961501121521, 0.5864602327346802]","[0.4719535708427429, 0.6203729510307312]","[0.4858652651309967, 0.6664772033691406]"
"[0.5572731494903564, 0.8730490207672119]","[0.45798999071121216, 0.819413423538208]","[0.4101811647415161, 0.7518049478530884]","[0.4079952836036682, 0.6770070791244507]","[0.4467339813709259, 0.6169390678405762]","[0.4512895345687866, 0.6341298222541809]","[0.42250490188598633, 0.5314634442329407]","[0.40707728266716003, 0.4699859917163849]","[0.4062739312648773, 0.4200347661972046]","[0.491800993680954, 0.6268618702888489]","[0.4951603412628174, 0.4913218319416046]","[0.4927254617214203, 0.41169238090515137]","[0.497265487909317, 0.34874287247657776]","[0.5276969075202942, 0.6398205161094666]","[0.5271012187004089, 0.5081636905670166]","[0.5164861679077148, 0.4350408911705017]","[0.5189169645309448, 0.3773382902145386]","[0.5509704351425171, 0.667716920375824]","[0.511481761932373, 0.5626581311225891]","[0.4695068895816803, 0.5873674154281616]","[0.4518490135669708, 0.6437600255012512]"
"[0.45457741618156433, 0.870093822479248]","[0.5188577175140381, 0.8341974020004272]","[0.5305807590484619, 0.779757022857666]","[0.48343920707702637, 0.7036358714103699]","[0.4207761585712433, 0.653172492980957]","[0.5454277992248535, 0.6274480819702148]","[0.5965859293937683, 0.5145105123519897]","[0.6163755059242249, 0.44936224818229675]","[0.6344545483589172, 0.39093974232673645]","[0.4868699014186859, 0.6084682941436768]","[0.4932822287082672, 0.47785767912864685]","[0.4947251081466675, 0.40042173862457275]","[0.5035642385482788, 0.33242082595825195]","[0.43016284704208374, 0.625514030456543]","[0.4156012237071991, 0.5134406685829163]","[0.41251111030578613, 0.4436345100402832]","[0.4171484708786011, 0.3779873251914978]","[0.3831385672092438, 0.6842924356460571]","[0.3948824107646942, 0.5982518196105957]","[0.4223862290382385, 0.6174118518829346]","[0.4389107823371887, 0.6601352691650391]"
"[0.5082380175590515, 0.8495383262634277]","[0.4483281075954437, 0.8321412205696106]","[0.44243091344833374, 0.7669581174850464]","[0.48771917819976807, 0.6934365630149841]","[0.5449262261390686, 0.630648672580719]","[0.42589154839515686, 0.6273014545440674]","[0.39385318756103516, 0.5133391618728638]","[0.3706730604171753, 0.44074344635009766]","[0.36059826612472534, 0.3828917145729065]","[0.49101048707962036, 0.6166506409645081]","[0.48249325156211853, 0.47470223903656006]","[0.470586895942688, 0.40104639530181885]","[0.461681991815567, 0.3381866216659546]","[0.547396719455719, 0.6295347809791565]","[0.5716878771781921, 0.5172315835952759]","[0.5745022296905518, 0.46398526430130005]","[0.5783416628837585, 0.41429439187049866]","[0.5896506309509277, 0.6540501713752747]","[0.5862131118774414, 0.5882253646850586]","[0.5657685995101929, 0.6158106923103333]","[0.5468040108680725, 0.6514184474945068]"
"[0.4877347946166992, 0.9291099905967712]","[0.5302677154541016, 0.8888198137283325]","[0.519903302192688, 0.7958047986030579]","[0.44105374813079834, 0.721578061580658]","[0.3774368166923523, 0.6588043570518494]","[0.5682190656661987, 0.6381134390830994]","[0.6092390418052673, 0.5173674821853638]","[0.6344316601753235, 0.4401127099990845]","[0.6582732200622559, 0.3702789843082428]","[0.5037471652030945, 0.6239109635353088]","[0.5122172832489014, 0.4772190451622009]","[0.5159196853637695, 0.38637033104896545]","[0.5194141268730164, 0.3139714002609253]","[0.44245225191116333, 0.6412161588668823]","[0.42036306858062744, 0.5166200995445251]","[0.40707308053970337, 0.4406746029853821]","[0.4011818766593933, 0.3696404993534088]","[0.39589253067970276, 0.6869287490844727]","[0.3823598027229309, 0.6323272585868835]","[0.39503008127212524, 0.6688385605812073]","[0.40722399950027466, 0.7133452892303467]"
"[0.5629979968070984, 0.9106713533401489]","[0.4648685157299042, 0.8680337071418762]","[0.41295838356018066, 0.7857822775840759]","[0.4127669930458069, 0.705451250076294]","[0.4656012952327728, 0.6408386826515198]","[0.4418869614601135, 0.6513540148735046]","[0.4079325199127197, 0.5359142422676086]","[0.3892834186553955, 0.46353232860565186]","[0.38475194573402405, 0.40382564067840576]","[0.4970066249370575, 0.6426064968109131]","[0.4971241056919098, 0.4931733310222626]","[0.49494820833206177, 0.4045056104660034]","[0.4990595579147339, 0.3337862193584442]","[0.5424140095710754, 0.6556378602981567]","[0.5397761464118958, 0.5148731470108032]","[0.5270798802375793, 0.4320129156112671]","[0.5304672122001648, 0.3670180141925812]","[0.575042188167572, 0.6902438402175903]","[0.5283640027046204, 0.5838936567306519]","[0.48366132378578186, 0.6186929941177368]","[0.4662655293941498, 0.6798819303512573]"
