Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.44750577211380005, 0.8306407928466797]","[0.5457565784454346, 0.7456846237182617]","[0.6070085167884827, 0.6540457010269165]","[0.6464533805847168, 0.5816450715065002]","[0.6673417091369629, 0.5193864703178406]","[0.5415083765983582, 0.6225148439407349]","[0.5138463973999023, 0.5520862936973572]","[0.5106149911880493, 0.6128315329551697]","[0.5300111770629883, 0.6412161588668823]","[0.4793705344200134, 0.6521884202957153]","[0.458539217710495, 0.575130820274353]","[0.4640983045101166, 0.6474848985671997]","[0.4829297661781311, 0.6752434968948364]","[0.4252341389656067, 0.673225462436676]","[0.3996202051639557, 0.6053734421730042]","[0.4214314818382263, 0.6687619090080261]","[0.4489723742008209, 0.6964432597160339]","[0.38230594992637634, 0.6788365840911865]","[0.3618575632572174, 0.6130353808403015]","[0.3508480191230774, 0.5845233798027039]","[0.3462950885295868, 0.5466258525848389]"
"[0.4667075574398041, 0.8417510986328125]","[0.5347000360488892, 0.7797941565513611]","[0.55403733253479, 0.7024362087249756]","[0.5675402879714966, 0.6290324330329895]","[0.5487040877342224, 0.5720652341842651]","[0.48350539803504944, 0.6208489537239075]","[0.4772716462612152, 0.5582852959632874]","[0.45669087767601013, 0.5508531928062439]","[0.44151929020881653, 0.522778332233429]","[0.4768446683883667, 0.6251072883605957]","[0.5073330402374268, 0.5755863785743713]","[0.5137450098991394, 0.6735894680023193]","[0.5161719918251038, 0.7136906385421753]","[0.4699501097202301, 0.6282768249511719]","[0.5018250942230225, 0.5874224305152893]","[0.5212631821632385, 0.6918086409568787]","[0.5207535028457642, 0.739436149597168]","[0.46558839082717896, 0.6352132558822632]","[0.4839063584804535, 0.5483231544494629]","[0.5069811344146729, 0.4982531666755676]","[0.5152616500854492, 0.43590712547302246]"
"[0.5162833333015442, 0.8097232580184937]","[0.4345407485961914, 0.7408747673034668]","[0.4010173976421356, 0.6502178311347961]","[0.3740539848804474, 0.5859772562980652]","[0.34696871042251587, 0.539288341999054]","[0.4748173654079437, 0.5914539098739624]","[0.43626850843429565, 0.5331361889839172]","[0.4303150177001953, 0.5968261957168579]","[0.4470260739326477, 0.6321036219596863]","[0.5106089115142822, 0.6021500825881958]","[0.4667186141014099, 0.557765543460846]","[0.4559829533100128, 0.6383870244026184]","[0.4800705909729004, 0.654052734375]","[0.5459580421447754, 0.6168588995933533]","[0.5051755309104919, 0.5757866501808167]","[0.49274688959121704, 0.6528476476669312]","[0.5102612376213074, 0.6907764077186584]","[0.5810580849647522, 0.6288207769393921]","[0.5824198722839355, 0.543582558631897]","[0.5828402638435364, 0.49150216579437256]","[0.594062328338623, 0.43726974725723267]"
"[0.45404335856437683, 0.9175823330879211]","[0.5534238219261169, 0.844835638999939]","[0.6184688806533813, 0.7063403129577637]","[0.6654733419418335, 0.6039473414421082]","[0.7020012140274048, 0.5346243977546692]","[0.516396164894104, 0.6271028518676758]","[0.5261075496673584, 0.5603383183479309]","[0.5308237075805664, 0.6502207517623901]","[0.5202472805976868, 0.684476375579834]","[0.44999247789382935, 0.6428576111793518]","[0.4651491641998291, 0.5932741165161133]","[0.4846433699131012, 0.7065465450286865]","[0.48043179512023926, 0.7344233393669128]","[0.39006802439689636, 0.6640954613685608]","[0.3994641900062561, 0.6210777759552002]","[0.43526533246040344, 0.7258120775222778]","[0.4417688548564911, 0.7628514766693115]","[0.3348318934440613, 0.6843082308769226]","[0.3079254627227783, 0.5851453542709351]","[0.3050370514392853, 0.5292065143585205]","[0.2889123558998108, 0.45371323823928833]"
"[0.4608621895313263, 0.8436084389686584]","[0.5036122798919678, 0.7595317959785461]","[0.5471703410148621, 0.6638448238372803]","[0.5814374685287476, 0.5840352177619934]","[0.6044870018959045, 0.5110388994216919]","[0.5280200839042664, 0.592260479927063]","[0.46162623167037964, 0.5365238189697266]","[0.45870253443717957, 0.5991070866584778]","[0.4853639304637909, 0.6301953196525574]","[0.4674869179725647, 0.6248090267181396]","[0.41226762533187866, 0.5578978657722473]","[0.41703876852989197, 0.6374671459197998]","[0.4438576102256775, 0.6749641299247742]","[0.4146876037120819, 0.6425003409385681]","[0.358733594417572, 0.597874641418457]","[0.37407398223876953, 0.6678078174591064]","[0.41276153922080994, 0.697609007358551]","[0.37238627672195435, 0.6483332514762878]","[0.34046822786331177, 0.5766909718513489]","[0.3119870722293854, 0.5330820679664612]","[0.29666274785995483, 0.4814009666442871]"
"[0.5442492365837097, 0.8101708292961121]","[0.4875471293926239, 0.7328512668609619]","[0.4504682719707489, 0.6425500512123108]","[0.42051446437835693, 0.5677799582481384]","[0.3919883072376251, 0.5120706558227539]","[0.5039530992507935, 0.5776746273040771]","[0.5477330088615417, 0.5363597869873047]","[0.5471566915512085, 0.5972040891647339]","[0.5320168137550354, 0.6281630396842957]","[0.5468599796295166, 0.5988984107971191]","[0.5951599478721619, 0.5593245625495911]","[0.5830478668212891, 0.6399906277656555]","[0.5587930083274841, 0.6613094210624695]","[0.5933432579040527, 0.6154876351356506]","[0.6277250647544861, 0.5850027203559875]","[0.6097258925437927, 0.6576090455055237]","[0.585158109664917, 0.6793178915977478]","[0.6359162330627441, 0.6178223490715027]","[0.6634509563446045, 0.5462178587913513]","[0.6768220663070679, 0.5085397958755493]","[0.686850905418396, 0.4628124237060547]"
"[0.44444918632507324, 0.8667463064193726]","[0.5482364892959595, 0.7836345434188843]","[0.6064108610153198, 0.6695093512535095]","[0.6589148640632629, 0.5890880227088928]","[0.6810514330863953, 0.525630533695221]","[0.5259808301925659, 0.6027148365974426]","[0.5085266828536987, 0.5381616950035095]","[0.5129278302192688, 0.6166558265686035]","[0.5188636183738708, 0.6583003401756287]","[0.46274954080581665, 0.6284791827201843]","[0.45205745100975037, 0.5652371048927307]","[0.4676559865474701, 0.6661051511764526]","[0.4812183678150177, 0.6964856386184692]","[0.4075068533420563, 0.6484174728393555]","[0.38575229048728943, 0.5969526171684265]","[0.42022424936294556, 0.6821511387825012]","[0.44640201330184937, 0.7168729305267334]","[0.35500460863113403, 0.6546484231948853]","[0.3291480541229248, 0.5641529560089111]","[0.310516893863678, 0.5112245678901672]","[0.29457950592041016, 0.4454226493835449]"
"[0.4535398483276367, 0.8450800776481628]","[0.5267917513847351, 0.7803478837013245]","[0.5838965177536011, 0.6709901094436646]","[0.6293692588806152, 0.5815783143043518]","[0.6651660799980164, 0.5147438645362854]","[0.5340121984481812, 0.5914715528488159]","[0.46836671233177185, 0.5408269762992859]","[0.47825610637664795, 0.6230884194374084]","[0.5093513131141663, 0.6504660844802856]","[0.4639029800891876, 0.6091859340667725]","[0.40304580330848694, 0.5780000686645508]","[0.4329500198364258, 0.6770906448364258]","[0.4735046625137329, 0.6938347220420837]","[0.4024340510368347, 0.6258316040039062]","[0.35071271657943726, 0.6029555797576904]","[0.38330480456352234, 0.6902059316635132]","[0.4219777286052704, 0.7209697961807251]","[0.35152411460876465, 0.6353119611740112]","[0.3161572813987732, 0.5570886731147766]","[0.29863929748535156, 0.5179272890090942]","[0.28607654571533203, 0.462612509727478]"
"[0.5505903959274292, 0.8464754223823547]","[0.4959332346916199, 0.7581855058670044]","[0.44160956144332886, 0.6512094736099243]","[0.4037359952926636, 0.5719380974769592]","[0.36693453788757324, 0.5138987898826599]","[0.4884635806083679, 0.5862704515457153]","[0.5389821529388428, 0.5326693058013916]","[0.5472766757011414, 0.6052129864692688]","[0.5309335589408875, 0.6402787566184998]","[0.5323482751846313, 0.6092060208320618]","[0.5944095253944397, 0.5565747022628784]","[0.5909403562545776, 0.6492459177970886]","[0.5611713528633118, 0.6766125559806824]","[0.5817927122116089, 0.6250757575035095]","[0.6332337260246277, 0.5849327445030212]","[0.6189054250717163, 0.6684646010398865]","[0.5876221656799316, 0.6944960951805115]","[0.6262931227684021, 0.6313163042068481]","[0.653668224811554, 0.5516750812530518]","[0.673990786075592, 0.5128329992294312]","[0.688903272151947, 0.4660046100616455]"
"[0.4238860011100769, 0.8624739050865173]","[0.5242477059364319, 0.7963129878044128]","[0.5931323170661926, 0.6792575716972351]","[0.6405536532402039, 0.5948609113693237]","[0.6716320514678955, 0.5314956903457642]","[0.5156735181808472, 0.6164851784706116]","[0.5088081955909729, 0.5479460954666138]","[0.5141014456748962, 0.6236322522163391]","[0.5152587890625, 0.6688998937606812]","[0.460049033164978, 0.632613480091095]","[0.45714789628982544, 0.5775986313819885]","[0.47071242332458496, 0.675394594669342]","[0.4762505888938904, 0.719692051410675]","[0.4014553129673004, 0.6513394713401794]","[0.3953273892402649, 0.6104581356048584]","[0.4262726902961731, 0.6994309425354004]","[0.44129621982574463, 0.7464383244514465]","[0.3432219624519348, 0.6716498136520386]","[0.32303813099861145, 0.5890175104141235]","[0.31422561407089233, 0.5413956642150879]","[0.29904383420944214, 0.4793217182159424]"
"[0.4649961590766907, 0.9290256500244141]","[0.5595285296440125, 0.8570653796195984]","[0.6271880865097046, 0.7059113383293152]","[0.6722655296325684, 0.6082332134246826]","[0.700385332107544, 0.5415827035903931]","[0.5221782922744751, 0.6215475797653198]","[0.5483110547065735, 0.5436096787452698]","[0.557860791683197, 0.6371064186096191]","[0.5493012070655823, 0.6915082335472107]","[0.46440258622169495, 0.6333836913108826]","[0.5007431507110596, 0.5728042721748352]","[0.5179012417793274, 0.6885342001914978]","[0.5063571333885193, 0.7416129112243652]","[0.4073267877101898, 0.6487724781036377]","[0.44282078742980957, 0.5967891216278076]","[0.4745199382305145, 0.713078498840332]","[0.47165796160697937, 0.771329939365387]","[0.3531820774078369, 0.6654839515686035]","[0.34422630071640015, 0.554742693901062]","[0.3458739221096039, 0.48969584703445435]","[0.3337588906288147, 0.40980854630470276]"
