Handedness,Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
L,"[0.5221835374832153, 0.827426552772522, 7.94859261077363e-07]","[0.5739150047302246, 0.7989804744720459, -0.10324611514806747]","[0.5786559581756592, 0.7369570732116699, -0.16378775238990784]","[0.49803557991981506, 0.7070921659469604, -0.21032050251960754]","[0.41884762048721313, 0.6860266327857971, -0.25091463327407837]","[0.5472800731658936, 0.5862171053886414, -0.10174688696861267]","[0.5256234407424927, 0.4888536334037781, -0.16505837440490723]","[0.5193008780479431, 0.4191935658454895, -0.20174092054367065]","[0.5099545121192932, 0.35402417182922363, -0.22533203661441803]","[0.478940486907959, 0.6030222773551941, -0.0817733183503151]","[0.45020776987075806, 0.5747249126434326, -0.15122582018375397]","[0.4756740927696228, 0.6773013472557068, -0.15302813053131104]","[0.4952719807624817, 0.7002434730529785, -0.13688986003398895]","[0.425481379032135, 0.6333981156349182, -0.07527582347393036]","[0.3887072801589966, 0.6087548732757568, -0.139978289604187]","[0.4285351037979126, 0.6943908929824829, -0.11807944625616074]","[0.4565214514732361, 0.7036622762680054, -0.08868494629859924]","[0.38098448514938354, 0.6752210259437561, -0.07905503362417221]","[0.3544125556945801, 0.6695029139518738, -0.12295755743980408]","[0.3948405981063843, 0.722320556640625, -0.10931260138750076]","[0.4234151542186737, 0.7341852784156799, -0.08924467861652374]"
R,"[0.4691990315914154, 0.902025580406189, -4.880926098849159e-07]","[0.3955397605895996, 0.8555788397789001, -0.04915088787674904]","[0.3392409086227417, 0.7887446880340576, -0.09497971087694168]","[0.3639988303184509, 0.7382791638374329, -0.14051000773906708]","[0.4339146316051483, 0.7213355302810669, -0.180993914604187]","[0.3824414014816284, 0.609649121761322, -0.06658586114645004]","[0.36098146438598633, 0.4960346519947052, -0.12677979469299316]","[0.34636247158050537, 0.4226110875606537, -0.1662287414073944]","[0.3404436707496643, 0.35803329944610596, -0.19839078187942505]","[0.4620707333087921, 0.6135832071304321, -0.07445837557315826]","[0.4177270829677582, 0.6053026914596558, -0.13503994047641754]","[0.401222825050354, 0.6977987885475159, -0.13821269571781158]","[0.417781263589859, 0.7280088067054749, -0.13456358015537262]","[0.5221596956253052, 0.6517732739448547, -0.09034806489944458]","[0.48137861490249634, 0.6560121178627014, -0.1380165070295334]","[0.449715256690979, 0.7280052304267883, -0.10397188365459442]","[0.4596857726573944, 0.7434602975845337, -0.07785824686288834]","[0.565374493598938, 0.7083649039268494, -0.11444220691919327]","[0.5206471085548401, 0.722546398639679, -0.15070462226867676]","[0.4861113131046295, 0.7695999145507812, -0.13505403697490692]","[0.4917699694633484, 0.7791136503219604, -0.11907470971345901]"
L,"[0.4729710817337036, 0.7639353275299072, 6.035119781699905e-07]","[0.5555329918861389, 0.746512770652771, -0.0313396155834198]","[0.6047263741493225, 0.7183197140693665, -0.07770892232656479]","[0.6380564570426941, 0.7058963179588318, -0.12444787472486496]","[0.6144822239875793, 0.6958097219467163, -0.16956600546836853]","[0.5810959935188293, 0.5817488431930542, -0.10570430010557175]","[0.6246616244316101, 0.5089028477668762, -0.17044825851917267]","[0.6645062565803528, 0.4569259285926819, -0.21490423381328583]","[0.6846984028816223, 0.4093712568283081, -0.24362604320049286]","[0.5216801166534424, 0.5831591486930847, -0.12232416123151779]","[0.6025633811950684, 0.6064997911453247, -0.18193119764328003]","[0.6112235188484192, 0.6727518439292908, -0.1877748817205429]","[0.5924863815307617, 0.6942279934883118, -0.1849161982536316]","[0.4785660207271576, 0.6200105547904968, -0.1404191106557846]","[0.5663950443267822, 0.6324453353881836, -0.19301141798496246]","[0.5800560116767883, 0.6966243982315063, -0.17073608934879303]","[0.5541855096817017, 0.7090245485305786, -0.1469925343990326]","[0.45588988065719604, 0.6658067107200623, -0.16203126311302185]","[0.5373964905738831, 0.687267541885376, -0.1894109547138214]","[0.555472731590271, 0.7223391532897949, -0.16549688577651978]","[0.5295568704605103, 0.7243226766586304, -0.14380066096782684]"
R,"[0.4610792398452759, 0.9337774515151978, -1.756820893206168e-07]","[0.3955492675304413, 0.8790445923805237, -0.10153015702962875]","[0.3695671558380127, 0.8096059560775757, -0.1716347336769104]","[0.435356080532074, 0.7783586978912354, -0.23019470274448395]","[0.5192771553993225, 0.7554453015327454, -0.2793511748313904]","[0.4188466966152191, 0.6178148984909058, -0.14071401953697205]","[0.43120914697647095, 0.47953927516937256, -0.23131832480430603]","[0.4371001422405243, 0.40006107091903687, -0.2854537069797516]","[0.44666361808776855, 0.3252502679824829, -0.3225967288017273]","[0.5039809942245483, 0.6406465172767639, -0.12819764018058777]","[0.5021423101425171, 0.6225755214691162, -0.21153241395950317]","[0.47037649154663086, 0.7315295338630676, -0.21554914116859436]","[0.4658241868019104, 0.7553343176841736, -0.21040238440036774]","[0.5697417259216309, 0.6862861514091492, -0.12786611914634705]","[0.5872763395309448, 0.6745906472206116, -0.21162310242652893]","[0.5349109768867493, 0.7654321193695068, -0.17802079021930695]","[0.5099578499794006, 0.7768311500549316, -0.14418372511863708]","[0.617585301399231, 0.7404027581214905, -0.13769224286079407]","[0.6288444995880127, 0.7463268637657166, -0.20197175443172455]","[0.5879919528961182, 0.806114137172699, -0.18453413248062134]","[0.5631535649299622, 0.8155879974365234, -0.16146685183048248]"
R,"[0.5266168117523193, 0.822184145450592, -3.3022041634467314e-07]","[0.46265292167663574, 0.7926566004753113, -0.04589574411511421]","[0.4167343080043793, 0.7407971024513245, -0.08572593331336975]","[0.44566476345062256, 0.7041286826133728, -0.1241290494799614]","[0.5003668665885925, 0.6865336298942566, -0.15766194462776184]","[0.4553527534008026, 0.5915443897247314, -0.05962888151407242]","[0.43848010897636414, 0.5004691481590271, -0.11292988806962967]","[0.42641592025756836, 0.4398701786994934, -0.14599591493606567]","[0.42144542932510376, 0.3851448893547058, -0.17179006338119507]","[0.5212149620056152, 0.5951039791107178, -0.06441625207662582]","[0.48580846190452576, 0.5869489908218384, -0.11393082141876221]","[0.46769994497299194, 0.6681737899780273, -0.11178120970726013]","[0.4858408570289612, 0.6861761808395386, -0.10491620004177094]","[0.5701794624328613, 0.6259814500808716, -0.07683051377534866]","[0.5387160778045654, 0.6302929520606995, -0.11722566187381744]","[0.5032557845115662, 0.6965433359146118, -0.081787109375]","[0.5109380483627319, 0.7071126103401184, -0.05455564334988594]","[0.6054174304008484, 0.6723625659942627, -0.09676145017147064]","[0.5668525695800781, 0.6903702020645142, -0.12728950381278992]","[0.5335137248039246, 0.7330325841903687, -0.10959918797016144]","[0.539207398891449, 0.7382642030715942, -0.09224697202444077]"
L,"[0.47983789443969727, 0.8350768089294434, 4.254472116826946e-07]","[0.5617527961730957, 0.8145887851715088, -0.036989063024520874]","[0.611831784248352, 0.7630323171615601, -0.07303184270858765]","[0.6283615231513977, 0.7188988327980042, -0.1078973188996315]","[0.5809263586997986, 0.6938504576683044, -0.14161431789398193]","[0.5833377242088318, 0.5980821847915649, -0.08671048283576965]","[0.6170447468757629, 0.48265692591667175, -0.1484907567501068]","[0.6497387290000916, 0.40879595279693604, -0.1943371444940567]","[0.6660305261611938, 0.34168827533721924, -0.2252102643251419]","[0.5133852362632751, 0.597243070602417, -0.10036924481391907]","[0.5788534283638, 0.5870305299758911, -0.15881924331188202]","[0.5894160270690918, 0.6756951212882996, -0.16845166683197021]","[0.5717155337333679, 0.7033668160438538, -0.1668201982975006]","[0.4573008418083191, 0.6309756636619568, -0.11707091331481934]","[0.5224642157554626, 0.613950252532959, -0.1787329763174057]","[0.5464464426040649, 0.6968485116958618, -0.1641770452260971]","[0.5274755954742432, 0.7151737809181213, -0.14300115406513214]","[0.41328954696655273, 0.6796271204948425, -0.13644374907016754]","[0.47927922010421753, 0.674515426158905, -0.17097444832324982]","[0.5112096667289734, 0.7297856211662292, -0.14607052505016327]","[0.49523159861564636, 0.7492246627807617, -0.12228720635175705]"
L,"[0.5645503997802734, 0.89821457862854, 4.1552075913386943e-07]","[0.6059291958808899, 0.8445279598236084, -0.11255674064159393]","[0.5808544754981995, 0.7638111114501953, -0.16424991190433502]","[0.46576082706451416, 0.7400149703025818, -0.19773024320602417]","[0.368140310049057, 0.7277340292930603, -0.22302933037281036]","[0.5365970730781555, 0.5862721800804138, -0.10296634584665298]","[0.4860948622226715, 0.46483343839645386, -0.16963928937911987]","[0.4540674090385437, 0.38334527611732483, -0.21177266538143158]","[0.4254833161830902, 0.3073779344558716, -0.23950105905532837]","[0.4611297845840454, 0.6237881183624268, -0.07609061151742935]","[0.3876017928123474, 0.5835594534873962, -0.15274985134601593]","[0.43588048219680786, 0.6937166452407837, -0.1648741066455841]","[0.4775409400463104, 0.7264161705970764, -0.1551363170146942]","[0.40448078513145447, 0.674529492855072, -0.0630098357796669]","[0.3335684537887573, 0.6431155204772949, -0.133163720369339]","[0.3909616470336914, 0.725375771522522, -0.11696357280015945]","[0.438502699136734, 0.7389564514160156, -0.08944772928953171]","[0.36933082342147827, 0.7381490468978882, -0.06079909950494766]","[0.3098921477794647, 0.7178425192832947, -0.10636255890130997]","[0.35209324955940247, 0.760509192943573, -0.09283473342657089]","[0.3929263949394226, 0.7761432528495789, -0.07122168689966202]"
L,"[0.47574397921562195, 0.8231516480445862, 7.218452537927078e-07]","[0.5744994878768921, 0.7927373051643372, -0.05246095731854439]","[0.6182612776756287, 0.7593419551849365, -0.12038185447454453]","[0.6376941800117493, 0.7276384234428406, -0.18919262290000916]","[0.5940027236938477, 0.7062815427780151, -0.25582870841026306]","[0.5890493392944336, 0.5902445316314697, -0.11230159550905228]","[0.6272667646408081, 0.5100959539413452, -0.1805143803358078]","[0.6578449010848999, 0.4432269334793091, -0.22293439507484436]","[0.667786180973053, 0.3925515115261078, -0.2514914870262146]","[0.5202274918556213, 0.5966448783874512, -0.13087084889411926]","[0.5947104096412659, 0.6128578186035156, -0.20629660785198212]","[0.5993822813034058, 0.6874232888221741, -0.21432675421237946]","[0.5849587917327881, 0.7122900485992432, -0.20943118631839752]","[0.46842333674430847, 0.6310766339302063, -0.15463440120220184]","[0.5511434674263, 0.6542971730232239, -0.21987737715244293]","[0.56764817237854, 0.719569742679596, -0.19996637105941772]","[0.5532328486442566, 0.7369128465652466, -0.17733687162399292]","[0.4335101246833801, 0.6785368919372559, -0.18495196104049683]","[0.5081174373626709, 0.7102454900741577, -0.2232029139995575]","[0.5323641300201416, 0.7484258413314819, -0.2068122923374176]","[0.5213592052459717, 0.7559869289398193, -0.1901203691959381]"
R,"[0.5359440445899963, 0.8717654943466187, -4.719434514299792e-07]","[0.46389514207839966, 0.8296159505844116, -0.04713237285614014]","[0.4178110361099243, 0.7626099586486816, -0.0851876363158226]","[0.4526018500328064, 0.7183002829551697, -0.12176144123077393]","[0.514137327671051, 0.6980146169662476, -0.15276062488555908]","[0.4535982608795166, 0.6036892533302307, -0.06116406247019768]","[0.44222524762153625, 0.4832053780555725, -0.11682500690221786]","[0.43344539403915405, 0.4144741892814636, -0.15246936678886414]","[0.43052053451538086, 0.35265734791755676, -0.17970168590545654]","[0.5208901166915894, 0.6174871325492859, -0.06539209187030792]","[0.5002413988113403, 0.5894138216972351, -0.1254519820213318]","[0.48391804099082947, 0.6802059412002563, -0.1311706006526947]","[0.4935254156589508, 0.710913896560669, -0.12756679952144623]","[0.5760653614997864, 0.6513380408287048, -0.07671045511960983]","[0.5616061687469482, 0.6248264312744141, -0.12917259335517883]","[0.5283512473106384, 0.7015044093132019, -0.09851107746362686]","[0.5293214917182922, 0.7249784469604492, -0.0705273225903511]","[0.619629979133606, 0.6977280974388123, -0.09445270895957947]","[0.596971869468689, 0.6830938458442688, -0.13340838253498077]","[0.5629031658172607, 0.7316085696220398, -0.1159125491976738]","[0.5610007643699646, 0.7461719512939453, -0.09618628025054932]"
L,"[0.5973078012466431, 0.9014264345169067, 4.834600630942987e-08]","[0.6260057687759399, 0.8344491124153137, -0.08431427925825119]","[0.5941017866134644, 0.7456849813461304, -0.11779230087995529]","[0.49122491478919983, 0.7242059707641602, -0.14075824618339539]","[0.40255802869796753, 0.7133670449256897, -0.15620927512645721]","[0.5612974762916565, 0.5752825736999512, -0.06627241522073746]","[0.5261580348014832, 0.4470478296279907, -0.1212671548128128]","[0.4967084228992462, 0.3718332350254059, -0.15727651119232178]","[0.4705125689506531, 0.30166956782341003, -0.18265916407108307]","[0.4946284890174866, 0.6133863925933838, -0.05231085047125816]","[0.42906874418258667, 0.5867619514465332, -0.12410897016525269]","[0.47531142830848694, 0.6781206727027893, -0.14249545335769653]","[0.5237005352973938, 0.7029821276664734, -0.14102423191070557]","[0.43893498182296753, 0.6610642671585083, -0.04994241148233414]","[0.3722941279411316, 0.6379513740539551, -0.1200835183262825]","[0.42895811796188354, 0.7153740525245667, -0.11475729197263718]","[0.47807469964027405, 0.7253524661064148, -0.09641624987125397]","[0.40018773078918457, 0.7180930972099304, -0.05608842521905899]","[0.3483017086982727, 0.7104941606521606, -0.10560474544763565]","[0.3966310918331146, 0.7576683163642883, -0.10097670555114746]","[0.4435402750968933, 0.7694368362426758, -0.08634220063686371]"
R,"[0.47865405678749084, 0.8104076385498047, -4.364220629327065e-08]","[0.4147275686264038, 0.789623498916626, -0.07165911048650742]","[0.370867520570755, 0.7452818751335144, -0.12721794843673706]","[0.40604904294013977, 0.7144948840141296, -0.1765328049659729]","[0.4632348418235779, 0.6974126696586609, -0.21895460784435272]","[0.4011583924293518, 0.6037713289260864, -0.09189717471599579]","[0.39103373885154724, 0.5165081024169922, -0.16272708773612976]","[0.38955163955688477, 0.45521605014801025, -0.20155003666877747]","[0.3930024206638336, 0.40139031410217285, -0.22765988111495972]","[0.4630022943019867, 0.6020489931106567, -0.0883285328745842]","[0.4524356722831726, 0.5989705920219421, -0.15792810916900635]","[0.43520888686180115, 0.6814937591552734, -0.15212850272655487]","[0.4398254156112671, 0.6879588961601257, -0.13709457218647003]","[0.514538049697876, 0.6254245042800903, -0.0960206687450409]","[0.5099358558654785, 0.6337646842002869, -0.1600109338760376]","[0.4789896011352539, 0.70240318775177, -0.12518958747386932]","[0.47091832756996155, 0.7021857500076294, -0.09246262162923813]","[0.5560601949691772, 0.6620776057243347, -0.11286726593971252]","[0.5459818243980408, 0.6934440732002258, -0.1639666110277176]","[0.514184832572937, 0.7402015924453735, -0.15204769372940063]","[0.5023909211158752, 0.7391232848167419, -0.1347460150718689]"
L,"[0.5630146861076355, 0.8482130765914917, 3.137602107017301e-07]","[0.580885112285614, 0.8010317087173462, -0.11444374173879623]","[0.5418209433555603, 0.727986752986908, -0.15816518664360046]","[0.4473825991153717, 0.704764723777771, -0.18385517597198486]","[0.36561280488967896, 0.6841060519218445, -0.20002716779708862]","[0.5157381296157837, 0.5702340006828308, -0.08177483826875687]","[0.4712730944156647, 0.4694775938987732, -0.13881102204322815]","[0.4410656690597534, 0.4043757915496826, -0.17031623423099518]","[0.4182162284851074, 0.34009218215942383, -0.18887582421302795]","[0.4608294367790222, 0.6033506393432617, -0.050309617072343826]","[0.38631361722946167, 0.585794985294342, -0.12179972976446152]","[0.4228017330169678, 0.6722991466522217, -0.13328075408935547]","[0.4663199186325073, 0.6908563375473022, -0.12254456430673599]","[0.4140056073665619, 0.6437547206878662, -0.034646373242139816]","[0.34429073333740234, 0.6337376832962036, -0.11113736778497696]","[0.39192408323287964, 0.7061704993247986, -0.1074572205543518]","[0.4372977018356323, 0.7052175998687744, -0.0849662646651268]","[0.3814051151275635, 0.6889678239822388, -0.029447315260767937]","[0.3305925130844116, 0.6862942576408386, -0.08503435552120209]","[0.3673178255558014, 0.7299318313598633, -0.08494751155376434]","[0.4053901433944702, 0.7387858629226685, -0.0704139694571495]"
L,"[0.5283632874488831, 0.8451048135757446, 6.504693033093645e-07]","[0.5621886253356934, 0.7967078685760498, -0.14170826971530914]","[0.5354273915290833, 0.7200247049331665, -0.19917862117290497]","[0.44063806533813477, 0.6979129314422607, -0.23404720425605774]","[0.3541659116744995, 0.6826330423355103, -0.2573965787887573]","[0.5177323222160339, 0.5605287551879883, -0.10722236335277557]","[0.4760674238204956, 0.45963335037231445, -0.17528626322746277]","[0.45526883006095886, 0.3931029140949249, -0.2121424525976181]","[0.44157490134239197, 0.32041022181510925, -0.23283427953720093]","[0.45515990257263184, 0.5994960069656372, -0.06726185977458954]","[0.3914986252784729, 0.5820947885513306, -0.1517038345336914]","[0.4315864145755768, 0.6706886291503906, -0.16602906584739685]","[0.4694840908050537, 0.6926952004432678, -0.15574677288532257]","[0.40162473917007446, 0.6428859233856201, -0.047217391431331635]","[0.3368825912475586, 0.6350674033164978, -0.134613037109375]","[0.39531081914901733, 0.7103485465049744, -0.13703277707099915]","[0.444373220205307, 0.7064505219459534, -0.11758049577474594]","[0.362443745136261, 0.683564305305481, -0.040053822100162506]","[0.3192388117313385, 0.6889221668243408, -0.09817881882190704]","[0.36152535676956177, 0.738189697265625, -0.10337775945663452]","[0.3989866077899933, 0.7466646432876587, -0.09440671652555466]"
R,"[0.5586333870887756, 0.8740193843841553, -7.142689639749733e-08]","[0.4592141807079315, 0.8397374153137207, -0.049164824187755585]","[0.3985009789466858, 0.7989614009857178, -0.1149132177233696]","[0.37024256587028503, 0.7560989260673523, -0.18502473831176758]","[0.41503822803497314, 0.7357056736946106, -0.2528775930404663]","[0.43531298637390137, 0.6124064922332764, -0.073767751455307]","[0.38235723972320557, 0.5120846629142761, -0.14884835481643677]","[0.3431485891342163, 0.44041621685028076, -0.1916283518075943]","[0.32150423526763916, 0.37960922718048096, -0.22225141525268555]","[0.5080847144126892, 0.6069411039352417, -0.08873378485441208]","[0.40440958738327026, 0.6207879781723022, -0.15407782793045044]","[0.40742066502571106, 0.7219341993331909, -0.14281335473060608]","[0.4476943016052246, 0.7292051315307617, -0.12535612285137177]","[0.5641818046569824, 0.6429983377456665, -0.11459725350141525]","[0.45992663502693176, 0.6679342985153198, -0.16330820322036743]","[0.45072388648986816, 0.7456773519515991, -0.11695477366447449]","[0.4836985766887665, 0.7520798444747925, -0.08176159113645554]","[0.5953490138053894, 0.6997677683830261, -0.14974723756313324]","[0.5116341710090637, 0.7343283891677856, -0.18498651683330536]","[0.4863520860671997, 0.7812483310699463, -0.16541078686714172]","[0.5039555430412292, 0.7887494564056396, -0.14556527137756348]"
L,"[0.5841118097305298, 0.8799961805343628, 7.612517833877064e-07]","[0.6355576515197754, 0.8577340841293335, -0.11458142101764679]","[0.6405037045478821, 0.8034610748291016, -0.18788281083106995]","[0.5510812401771545, 0.7835074067115784, -0.24469514191150665]","[0.4644196629524231, 0.7625472545623779, -0.29535138607025146]","[0.5995357632637024, 0.6196223497390747, -0.14773081243038177]","[0.5754560828208923, 0.5116885900497437, -0.2385181039571762]","[0.5628392100334167, 0.4396824240684509, -0.28829142451286316]","[0.5442249774932861, 0.35855725407600403, -0.32134926319122314]","[0.5208268761634827, 0.6375439763069153, -0.1286488175392151]","[0.4827612638473511, 0.6223892569541931, -0.21589648723602295]","[0.5267723202705383, 0.7449345588684082, -0.21509267389774323]","[0.557884693145752, 0.7532824277877808, -0.20057065784931183]","[0.45576977729797363, 0.6771014928817749, -0.12388360500335693]","[0.41888707876205444, 0.6781554222106934, -0.20084211230278015]","[0.4773674011230469, 0.7772372364997864, -0.16151566803455353]","[0.5190628170967102, 0.7726931571960449, -0.12381469458341599]","[0.40417563915252686, 0.729110836982727, -0.13095605373382568]","[0.3755021095275879, 0.7480263710021973, -0.18167823553085327]","[0.42457008361816406, 0.806627094745636, -0.1596471220254898]","[0.45932868123054504, 0.8039395809173584, -0.1356361359357834]"
L,"[0.5611043572425842, 0.877621054649353, 3.6557085536514933e-07]","[0.6213064193725586, 0.8352285027503967, -0.06057753041386604]","[0.6420827507972717, 0.7751394510269165, -0.10006946325302124]","[0.5607240200042725, 0.7503693103790283, -0.13324454426765442]","[0.48776984214782715, 0.7390504479408264, -0.16351889073848724]","[0.5991775393486023, 0.6091648936271667, -0.08158911764621735]","[0.5917458534240723, 0.515268862247467, -0.12934568524360657]","[0.5848718881607056, 0.4484253227710724, -0.16231822967529297]","[0.5751779079437256, 0.3847850561141968, -0.19020821154117584]","[0.5267376899719238, 0.6177379488945007, -0.08289927244186401]","[0.5163760781288147, 0.6339972019195557, -0.13895578682422638]","[0.5430606007575989, 0.7188736796379089, -0.15330621600151062]","[0.564436137676239, 0.7430996298789978, -0.15799292922019958]","[0.46897822618484497, 0.6545212268829346, -0.0905725285410881]","[0.45488566160202026, 0.6909151673316956, -0.14104703068733215]","[0.4942934513092041, 0.759056031703949, -0.13214045763015747]","[0.526344895362854, 0.7619097232818604, -0.12108565121889114]","[0.42513683438301086, 0.7048723697662354, -0.10512328892946243]","[0.4175414443016052, 0.7443903088569641, -0.13829520344734192]","[0.4553282558917999, 0.7896609902381897, -0.13013309240341187]","[0.48382437229156494, 0.7893797159194946, -0.12052270025014877]"
L,"[0.5611968636512756, 0.8486029505729675, 3.643258708052599e-07]","[0.6150870323181152, 0.8089621067047119, -0.051681406795978546]","[0.6395900845527649, 0.7475221157073975, -0.0829644426703453]","[0.5695977807044983, 0.7148741483688354, -0.10884353518486023]","[0.5037341713905334, 0.6982628107070923, -0.131003737449646]","[0.6002681851387024, 0.5938067436218262, -0.06494711339473724]","[0.6012768149375916, 0.5023831129074097, -0.10557468980550766]","[0.595579206943512, 0.43908074498176575, -0.13304482400417328]","[0.5876967906951904, 0.37924814224243164, -0.15682773292064667]","[0.5312216281890869, 0.6018828749656677, -0.0668216422200203]","[0.5296851992607117, 0.6078410148620605, -0.11549194902181625]","[0.5556779503822327, 0.6869895458221436, -0.12815634906291962]","[0.5749725103378296, 0.7099291086196899, -0.13207128643989563]","[0.47720521688461304, 0.6330434679985046, -0.07455138862133026]","[0.47504329681396484, 0.6558409929275513, -0.12186489999294281]","[0.5112088322639465, 0.7207704782485962, -0.11694356054067612]","[0.5370779037475586, 0.7226606011390686, -0.10810774564743042]","[0.4360302686691284, 0.679092288017273, -0.0877392590045929]","[0.4426991939544678, 0.7010287642478943, -0.12030209600925446]","[0.47844526171684265, 0.7440294623374939, -0.1149207204580307]","[0.5016196370124817, 0.7452262043952942, -0.10687477886676788]"
L,"[0.4885580539703369, 0.8347157835960388, 3.909310635208385e-07]","[0.5512931942939758, 0.8005185127258301, -0.04111182689666748]","[0.5817735195159912, 0.7472942471504211, -0.07168502360582352]","[0.5161503553390503, 0.718715250492096, -0.09996942430734634]","[0.4507685899734497, 0.7082085609436035, -0.12651975452899933]","[0.5414744019508362, 0.59906405210495, -0.06034113094210625]","[0.5392661690711975, 0.5114985108375549, -0.09749539196491241]","[0.5353222489356995, 0.45066338777542114, -0.12363023310899734]","[0.5271400213241577, 0.39379143714904785, -0.1474800407886505]","[0.47324278950691223, 0.6079131364822388, -0.0679309293627739]","[0.4730513095855713, 0.6033532023429871, -0.11979468911886215]","[0.4961644113063812, 0.6819319725036621, -0.13611958920955658]","[0.5114749073982239, 0.71273273229599, -0.14159582555294037]","[0.4182078540325165, 0.6401506066322327, -0.07926337420940399]","[0.4142962396144867, 0.6521552801132202, -0.12811726331710815]","[0.44872111082077026, 0.7168058753013611, -0.12439724057912827]","[0.47403764724731445, 0.72979736328125, -0.11577129364013672]","[0.37828442454338074, 0.6864432096481323, -0.09480318427085876]","[0.3832387328147888, 0.712532103061676, -0.12760908901691437]","[0.41537877917289734, 0.754201352596283, -0.12318679690361023]","[0.4379481077194214, 0.7565938234329224, -0.11634834855794907]"
L,"[0.5765851140022278, 0.848944902420044, 4.203368177968514e-07]","[0.6292243003845215, 0.8120997548103333, -0.08903928101062775]","[0.6389378905296326, 0.7418011426925659, -0.13755227625370026]","[0.5697628855705261, 0.7105413675308228, -0.17513175308704376]","[0.4961888790130615, 0.6883900165557861, -0.20658569037914276]","[0.6075966954231262, 0.5918685793876648, -0.08931481838226318]","[0.5964881777763367, 0.4867769479751587, -0.14905843138694763]","[0.5883485674858093, 0.4172391891479492, -0.17975421249866486]","[0.5788214206695557, 0.35530975461006165, -0.1988823413848877]","[0.5454088449478149, 0.6127070188522339, -0.0771338939666748]","[0.5223731994628906, 0.5843238830566406, -0.14827892184257507]","[0.5496407747268677, 0.6775704622268677, -0.15480975806713104]","[0.5688060522079468, 0.6969572305679321, -0.14296357333660126]","[0.49367207288742065, 0.6458300352096558, -0.07667277008295059]","[0.46603983640670776, 0.6294924020767212, -0.14865881204605103]","[0.509462833404541, 0.711729884147644, -0.131922647356987]","[0.5363918542861938, 0.7180154323577881, -0.1046709269285202]","[0.45004022121429443, 0.6902016401290894, -0.08455298840999603]","[0.43383634090423584, 0.6869154572486877, -0.13347627222537994]","[0.4750138223171234, 0.7378028631210327, -0.12111423164606094]","[0.49813777208328247, 0.7469416260719299, -0.10113658756017685]"
