Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.6866658926010132, 0.8633406162261963]","[0.7462761402130127, 0.7047179341316223]","[0.7436122894287109, 0.5757085084915161]","[0.718539834022522, 0.4634079933166504]","[0.6839288473129272, 0.3599403500556946]","[0.6490310430526733, 0.6705536246299744]","[0.4985050559043884, 0.6138203144073486]","[0.3918253779411316, 0.577877402305603]","[0.3016695976257324, 0.5407293438911438]","[0.6066614389419556, 0.7153282165527344]","[0.43301767110824585, 0.6636874675750732]","[0.3198992609977722, 0.6065006256103516]","[0.2271524965763092, 0.5665127635002136]","[0.5790827870368958, 0.7423204779624939]","[0.406791627407074, 0.6886031031608582]","[0.3029768168926239, 0.6340869665145874]","[0.22090044617652893, 0.5897387862205505]","[0.5684205889701843, 0.7600843906402588]","[0.42894697189331055, 0.6958857178688049]","[0.341214120388031, 0.6522487998008728]","[0.2693898379802704, 0.6117873191833496]"
"[0.5389540195465088, 0.6470543742179871]","[0.5706833600997925, 0.5729935169219971]","[0.5622544288635254, 0.5237513184547424]","[0.5500622391700745, 0.4688453674316406]","[0.5352643728256226, 0.4214353859424591]","[0.42811596393585205, 0.5625115036964417]","[0.34496229887008667, 0.5780520439147949]","[0.29451948404312134, 0.5480548143386841]","[0.25805455446243286, 0.5257126092910767]","[0.3948950171470642, 0.5722109079360962]","[0.29182612895965576, 0.5611224174499512]","[0.2599982023239136, 0.502386212348938]","[0.2542110085487366, 0.4552488923072815]","[0.3722396194934845, 0.5715991258621216]","[0.2769668698310852, 0.5519325733184814]","[0.2503364086151123, 0.49376946687698364]","[0.24661709368228912, 0.4489959478378296]","[0.3614482283592224, 0.562913179397583]","[0.2955763339996338, 0.5429120063781738]","[0.27412644028663635, 0.5004032254219055]","[0.2695922553539276, 0.4637604355812073]"
"[0.3600335717201233, 0.8892404437065125]","[0.35173261165618896, 0.8505095839500427]","[0.33195051550865173, 0.8061487674713135]","[0.32247239351272583, 0.7688472867012024]","[0.313268780708313, 0.730848491191864]","[0.2787066400051117, 0.8154720067977905]","[0.27538034319877625, 0.7484912276268005]","[0.2832384705543518, 0.6912156343460083]","[0.29526570439338684, 0.6477686166763306]","[0.282906711101532, 0.8249542713165283]","[0.2814509868621826, 0.7490602135658264]","[0.28930044174194336, 0.6897328495979309]","[0.3004707992076874, 0.643840491771698]","[0.296026349067688, 0.8307091593742371]","[0.2918379604816437, 0.7561067938804626]","[0.29773470759391785, 0.7006299495697021]","[0.3083707094192505, 0.6567925214767456]","[0.31482425332069397, 0.8354121446609497]","[0.31241434812545776, 0.7785195112228394]","[0.31431859731674194, 0.7350099086761475]","[0.31924858689308167, 0.7006595730781555]"
"[0.19510824978351593, 0.7280974388122559]","[0.13468560576438904, 0.6063876152038574]","[0.16487649083137512, 0.47007718682289124]","[0.19142422080039978, 0.35582607984542847]","[0.22434410452842712, 0.2648431062698364]","[0.43408575654029846, 0.5605039596557617]","[0.6032570004463196, 0.5110540390014648]","[0.7134892344474792, 0.4229962229728699]","[0.7785470485687256, 0.3456120789051056]","[0.4786570072174072, 0.5806366801261902]","[0.6517339944839478, 0.49925699830055237]","[0.7495492696762085, 0.37557876110076904]","[0.8144478797912598, 0.2684217691421509]","[0.49958017468452454, 0.5860157012939453]","[0.6603800058364868, 0.49891865253448486]","[0.7444647550582886, 0.3848152160644531]","[0.802383303642273, 0.2838442325592041]","[0.495808482170105, 0.5815392136573792]","[0.6348801255226135, 0.5114307999610901]","[0.7155625224113464, 0.4269584119319916]","[0.7710833549499512, 0.3508857488632202]"
"[0.36243894696235657, 0.5799707770347595]","[0.32654526829719543, 0.5950320363044739]","[0.2807711064815521, 0.5718197822570801]","[0.25860556960105896, 0.5263119339942932]","[0.24892760813236237, 0.47786280512809753]","[0.2654367983341217, 0.5188654661178589]","[0.2511819899082184, 0.45947182178497314]","[0.25199538469314575, 0.4115014970302582]","[0.25694361329078674, 0.3689720034599304]","[0.2785235643386841, 0.4977167844772339]","[0.2706741690635681, 0.43603530526161194]","[0.2706330418586731, 0.38718515634536743]","[0.2744961678981781, 0.3416617512702942]","[0.2919497489929199, 0.4855510890483856]","[0.28097835183143616, 0.42910414934158325]","[0.2793390452861786, 0.3869071304798126]","[0.2819252014160156, 0.3489633798599243]","[0.3053103983402252, 0.4809628427028656]","[0.2928055226802826, 0.4351722002029419]","[0.2886910140514374, 0.4001306891441345]","[0.28774169087409973, 0.3694526255130768]"
"[0.5478190779685974, 0.587330162525177]","[0.5391074419021606, 0.5538267493247986]","[0.5395213961601257, 0.5105013847351074]","[0.5292545557022095, 0.4496239423751831]","[0.5155983567237854, 0.39651957154273987]","[0.5713403820991516, 0.5892782211303711]","[0.5274894833564758, 0.5883026719093323]","[0.4874465763568878, 0.571799635887146]","[0.4505090117454529, 0.5648968815803528]","[0.5391749143600464, 0.6044840812683105]","[0.493064284324646, 0.5953202247619629]","[0.4593726098537445, 0.5741086006164551]","[0.43255501985549927, 0.561576783657074]","[0.5075157284736633, 0.5993304252624512]","[0.4639929533004761, 0.5732715725898743]","[0.4297628402709961, 0.5460157990455627]","[0.40607380867004395, 0.5315753221511841]","[0.4745861887931824, 0.5810340046882629]","[0.45515722036361694, 0.5352710485458374]","[0.44431427121162415, 0.5009952783584595]","[0.4406639635562897, 0.4792546033859253]"
"[0.5608009696006775, 0.47104185819625854]","[0.584473729133606, 0.4149775803089142]","[0.5826889276504517, 0.37703824043273926]","[0.5779963135719299, 0.338019996881485]","[0.5631767511367798, 0.3045033812522888]","[0.4500800371170044, 0.39957568049430847]","[0.3718252182006836, 0.39315810799598694]","[0.3363625407218933, 0.3538929224014282]","[0.31659212708473206, 0.3208759129047394]","[0.42972588539123535, 0.4065828323364258]","[0.3473406732082367, 0.3903096914291382]","[0.319999635219574, 0.3413418233394623]","[0.3126096725463867, 0.3007678687572479]","[0.41986045241355896, 0.4067012071609497]","[0.3442274332046509, 0.38222670555114746]","[0.31934845447540283, 0.3316621780395508]","[0.31457382440567017, 0.29262107610702515]","[0.418037086725235, 0.4020824134349823]","[0.36703044176101685, 0.37643179297447205]","[0.3472384214401245, 0.33901548385620117]","[0.34362712502479553, 0.30571186542510986]"
"[0.7432621121406555, 0.6106107831001282]","[0.6880064010620117, 0.47261184453964233]","[0.6238783597946167, 0.40561482310295105]","[0.5874678492546082, 0.33269041776657104]","[0.5409675240516663, 0.2616289258003235]","[0.4353286027908325, 0.4543772041797638]","[0.3480571508407593, 0.3757645785808563]","[0.337369441986084, 0.29374855756759644]","[0.35089367628097534, 0.2188267856836319]","[0.4291155934333801, 0.48596417903900146]","[0.32259175181388855, 0.42161044478416443]","[0.31500229239463806, 0.32962489128112793]","[0.3415684103965759, 0.24976615607738495]","[0.44214943051338196, 0.5193883776664734]","[0.3281897306442261, 0.47504767775535583]","[0.3114267587661743, 0.3919081687927246]","[0.3283396363258362, 0.3195268213748932]","[0.47435036301612854, 0.5458776354789734]","[0.3725340664386749, 0.530066192150116]","[0.33971020579338074, 0.4762958288192749]","[0.33550387620925903, 0.4195955991744995]"
"[0.14394938945770264, 0.29288822412490845]","[0.1523430347442627, 0.2638697624206543]","[0.14459717273712158, 0.22857342660427094]","[0.1316937506198883, 0.20106317102909088]","[0.11971189826726913, 0.17801403999328613]","[0.12552347779273987, 0.20870277285575867]","[0.1158718541264534, 0.16430866718292236]","[0.11150813847780228, 0.13014498353004456]","[0.10732666403055191, 0.10283252596855164]","[0.1113094612956047, 0.21293994784355164]","[0.10067372024059296, 0.16617272794246674]","[0.09443534910678864, 0.1306488811969757]","[0.08944974839687347, 0.09979312121868134]","[0.094695545732975, 0.22121745347976685]","[0.08327697217464447, 0.17764247953891754]","[0.07765652984380722, 0.14309263229370117]","[0.07417749613523483, 0.11363604664802551]","[0.07555745542049408, 0.23481790721416473]","[0.06451138108968735, 0.1994936317205429]","[0.05869072675704956, 0.17333288490772247]","[0.055786460638046265, 0.15109193325042725]"
"[0.38827744126319885, 0.3821830749511719]","[0.3719763457775116, 0.3156963288784027]","[0.3687271475791931, 0.2407989501953125]","[0.38305380940437317, 0.1797531545162201]","[0.3919812738895416, 0.1248309537768364]","[0.3515549302101135, 0.2417169213294983]","[0.36160165071487427, 0.17778503894805908]","[0.37793225049972534, 0.12524089217185974]","[0.3947800099849701, 0.08374157547950745]","[0.3639155626296997, 0.2693413496017456]","[0.3693515360355377, 0.20752698183059692]","[0.38241103291511536, 0.16077859699726105]","[0.3961840867996216, 0.12021622806787491]","[0.3806513249874115, 0.3050493597984314]","[0.38967952132225037, 0.253412663936615]","[0.40423282980918884, 0.21760934591293335]","[0.41999685764312744, 0.18635213375091553]","[0.40113404393196106, 0.3461640477180481]","[0.4274258017539978, 0.3297410011291504]","[0.45488858222961426, 0.3149309754371643]","[0.47725486755371094, 0.30048108100891113]"
